School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2021-2022,36,25,11,0.694,2.25,-2.09,,11,7,,14,3,,6,6,,2761,2432,,71.9,92.7,0.485,0.405,0.555,51.8,51.5,7.6,9.4,0.507,25.6,29.6,0.351
Air Force,2021-2022,29,11,18,0.379,-5.67,1.33,,4,13,,7,6,,2,10,,1712,1915,,63.4,104.1,0.389,0.333,0.559,55.4,47.4,8.5,11.9,0.515,17.9,29.4,0.296
Akron NCAA,2021-2022,34,24,10,0.706,0.91,-3.93,,14,6,,12,3,,8,4,,2402,2130,,64.1,97.3,0.258,0.354,0.511,47.0,41.0,8.5,7.3,0.482,16.1,25.7,0.183
Alabama NCAA,2021-2022,33,19,14,0.576,14.62,11.59,,9,9,,13,3,,3,7,,2623,2523,,73.2,104.0,0.348,0.357,0.534,47.7,46.3,10.6,11.3,0.498,15.5,30.5,0.249
Alabama A&M,2021-2022,30,12,18,0.400,-14.43,-8.86,,10,8,,7,3,,4,14,,1843,2010,,68.3,96.5,0.286,0.389,0.494,51.2,56.4,10.8,6.6,0.463,16.7,30.9,0.196
Alabama State,2021-2022,31,10,21,0.323,-12.05,-5.45,,8,10,,7,6,,3,15,,2160,2332,,71.4,104.4,0.339,0.377,0.539,51.7,53.6,10.7,10.2,0.503,16.8,33.1,0.245
Albany (NY),2021-2022,31,13,18,0.419,-9.80,-5.77,,9,9,,4,8,,8,9,,1917,2042,,65.8,99.7,0.318,0.386,0.541,51.6,53.9,8.0,11.5,0.507,18.3,27.2,0.230
Alcorn State,2021-2022,34,17,17,0.500,-8.68,-4.12,,14,4,,6,3,,9,13,,2262,2417,,69.0,102.3,0.367,0.357,0.544,48.9,55.8,9.9,9.8,0.507,16.8,27.8,0.263
American,2021-2022,32,10,22,0.313,-15.38,-7.91,,5,13,,6,5,,4,16,,2031,2270,,66.8,105.4,0.289,0.342,0.556,51.9,51.0,10.0,8.2,0.533,15.2,24.8,0.200
Appalachian State,2021-2022,34,19,15,0.559,-1.45,-1.45,,12,6,,11,5,,6,7,,2281,2146,,65.5,96.0,0.212,0.381,0.507,49.6,55.6,7.9,9.4,0.478,16.1,25.0,0.160
Arizona NCAA,2021-2022,37,33,4,0.892,22.75,6.84,,18,2,,17,0,,9,3,,3107,2518,,72.7,92.9,0.240,0.347,0.471,45.0,47.2,9.5,7.4,0.444,15.0,28.6,0.162
Arizona State,2021-2022,31,14,17,0.452,7.64,9.48,,10,10,,9,6,,5,7,,2027,2084,,67.9,97.4,0.323,0.410,0.503,52.8,57.4,8.9,8.2,0.463,16.8,30.3,0.233
Arkansas NCAA,2021-2022,37,28,9,0.757,16.27,8.62,,13,5,,17,1,,5,4,,2810,2527,,72.0,94.3,0.319,0.388,0.514,48.0,52.7,9.1,8.7,0.475,18.3,25.1,0.233
Arkansas State,2021-2022,29,18,11,0.621,-3.27,-3.50,,8,7,,11,3,,6,7,,2055,1974,,69.5,97.5,0.293,0.332,0.514,48.5,47.4,10.2,8.1,0.483,17.2,28.0,0.205
Arkansas-Pine Bluff,2021-2022,31,7,24,0.226,-18.96,-4.58,,5,13,,5,7,,2,17,,2055,2426,,69.3,112.5,0.332,0.309,0.580,56.2,53.9,10.8,10.4,0.550,16.5,34.8,0.242
Army,2021-2022,31,15,16,0.484,-10.53,-7.53,,9,9,,10,4,,4,12,,2183,2182,,69.9,99.9,0.224,0.405,0.532,48.7,54.3,10.8,11.0,0.513,17.3,26.4,0.150
Auburn NCAA,2021-2022,34,28,6,0.824,19.20,8.17,,15,3,,16,0,,8,3,,2660,2285,,71.3,92.9,0.343,0.360,0.488,47.5,49.2,10.4,10.0,0.442,17.4,28.9,0.251
Austin Peay,2021-2022,29,12,17,0.414,-10.02,-3.39,,8,10,,6,5,,6,11,,1875,2004,,66.1,103.2,0.346,0.378,0.556,51.4,53.9,10.5,11.1,0.529,18.7,30.0,0.237
Ball State,2021-2022,31,14,17,0.452,-7.99,-4.56,,9,10,,9,5,,4,9,,2304,2380,,71.6,106.8,0.323,0.427,0.553,50.4,49.8,10.3,8.6,0.522,15.2,28.0,0.232
Baylor NCAA,2021-2022,34,27,7,0.794,21.73,8.76,,14,4,,15,2,,8,3,,2619,2178,,68.6,92.7,0.277,0.362,0.509,46.6,55.9,9.3,7.4,0.478,20.1,28.8,0.195
Bellarmine,2021-2022,33,20,13,0.606,-3.77,-1.28,,11,5,,11,4,,8,8,,2314,2217,,63.8,104.9,0.280,0.466,0.546,51.7,52.1,7.8,6.6,0.520,16.1,28.1,0.199
Belmont,2021-2022,33,25,8,0.758,6.49,-2.57,,15,3,,13,1,,10,5,,2583,2264,,70.3,96.8,0.235,0.398,0.523,50.1,52.6,9.5,10.1,0.498,18.5,27.6,0.166
Bethune-Cookman,2021-2022,30,9,21,0.300,-14.70,-6.70,,7,11,,4,6,,4,13,,1901,2086,,67.4,102.4,0.343,0.374,0.547,51.8,54.3,10.0,10.9,0.509,18.0,30.0,0.253
Binghamton,2021-2022,29,12,17,0.414,-10.41,-6.18,,8,10,,5,8,,7,9,,1962,1983,,67.3,101.1,0.299,0.372,0.517,49.5,43.0,9.8,9.0,0.490,14.4,27.0,0.199
Boise State NCAA,2021-2022,35,27,8,0.771,11.93,5.22,,15,3,,13,3,,9,3,,2389,2130,,64.9,92.8,0.258,0.328,0.511,46.4,43.5,7.9,8.6,0.481,18.1,22.1,0.186
Boston College,2021-2022,33,13,20,0.394,4.03,5.22,,6,14,,9,7,,2,10,,2209,2248,,65.5,102.5,0.315,0.367,0.550,49.1,50.6,10.1,10.1,0.515,16.7,25.8,0.234
Boston University,2021-2022,35,22,13,0.629,-5.07,-7.34,,11,7,,11,4,,8,8,,2470,2369,,65.3,102.5,0.285,0.332,0.537,46.6,47.8,10.6,10.9,0.506,15.0,24.4,0.208
Bowling Green State,2021-2022,31,13,18,0.419,-8.82,-4.44,,6,14,,9,7,,3,10,,2488,2495,,74.4,107.4,0.292,0.431,0.555,49.7,50.6,8.4,6.4,0.523,15.4,29.1,0.218
Bradley,2021-2022,31,17,14,0.548,5.79,1.19,,11,7,,12,2,,3,8,,2185,2021,,68.1,95.4,0.310,0.377,0.506,45.1,43.8,10.8,6.4,0.466,16.1,23.0,0.230
Brigham Young,2021-2022,35,24,11,0.686,10.05,5.23,,9,6,,14,3,,6,5,,2599,2392,,69.1,98.2,0.307,0.375,0.508,45.2,48.5,8.8,7.7,0.477,13.7,22.5,0.210
Brown,2021-2022,29,13,16,0.448,-3.32,-1.91,,5,9,,6,7,,6,7,,2058,2015,,69.7,99.7,0.328,0.379,0.536,49.3,46.2,9.1,7.0,0.505,17.9,27.2,0.228
Bryant NCAA,2021-2022,32,22,10,0.688,-4.80,-7.41,,15,2,,14,1,,7,7,,2497,2348,,73.0,99.8,0.250,0.336,0.495,48.2,54.9,9.9,12.1,0.468,14.1,31.2,0.172
Bucknell,2021-2022,32,9,23,0.281,-14.62,-6.37,,5,13,,7,6,,2,15,,2277,2541,,68.3,113.6,0.229,0.383,0.562,52.9,53.1,12.1,8.3,0.538,11.9,29.8,0.172
Buffalo,2021-2022,30,19,11,0.633,1.90,-3.21,,13,6,,9,3,,9,6,,2398,2168,,72.5,99.7,0.287,0.324,0.506,45.0,43.3,8.5,8.3,0.474,14.5,27.7,0.202
Butler,2021-2022,33,14,19,0.424,4.45,9.16,,6,14,,9,7,,3,8,,2107,2209,,64.9,101.9,0.295,0.378,0.524,50.9,49.5,8.6,13.5,0.493,15.0,27.7,0.210
Cal Poly,2021-2022,28,7,21,0.250,-10.60,-3.30,,4,12,,4,7,,2,12,,1721,1885,,65.5,101.4,0.365,0.362,0.525,48.7,49.4,9.4,7.4,0.479,15.4,26.5,0.273
Cal State Bakersfield,2021-2022,28,9,19,0.321,-7.57,-2.01,,2,14,,6,7,,2,11,,1816,1857,,65.6,101.1,0.470,0.416,0.558,47.2,53.0,8.3,5.1,0.509,18.9,25.2,0.347
Cal State Fullerton NCAA,2021-2022,32,21,11,0.656,-0.04,-2.28,,12,5,,11,2,,7,7,,2239,2129,,67.2,99.0,0.257,0.375,0.535,48.9,54.7,9.2,8.6,0.511,18.3,27.5,0.180
Cal State Northridge,2021-2022,30,7,23,0.233,-12.02,-1.41,,3,15,,4,11,,3,11,,1847,2137,,65.7,107.1,0.345,0.384,0.556,54.0,57.8,8.4,6.8,0.515,17.0,32.5,0.263
California,2021-2022,32,12,20,0.375,3.96,6.96,,5,15,,10,8,,2,9,,2018,2114,,64.9,101.0,0.315,0.351,0.517,49.1,42.0,8.9,8.8,0.475,13.1,23.4,0.239
California Baptist,2021-2022,34,18,16,0.529,-3.53,-3.34,,7,11,,14,5,,3,9,,2402,2284,,69.3,96.6,0.324,0.332,0.501,48.2,52.0,9.0,6.5,0.468,15.5,26.3,0.222
Campbell,2021-2022,29,16,13,0.552,-4.84,-5.76,,8,8,,9,4,,5,8,,1919,1798,,63.9,96.2,0.268,0.389,0.516,50.3,46.1,9.2,8.5,0.494,16.8,24.2,0.175
Canisius,2021-2022,32,11,21,0.344,-7.48,-2.25,,7,13,,10,5,,1,15,,2192,2288,,69.6,101.9,0.315,0.319,0.542,50.7,49.5,7.4,12.0,0.508,16.4,26.1,0.229
Central Arkansas,2021-2022,31,11,20,0.355,-13.83,-1.70,,7,9,,8,4,,3,14,,2269,2515,,73.0,110.2,0.299,0.368,0.564,51.4,52.7,10.4,8.3,0.537,14.7,29.5,0.216
Central Connecticut State,2021-2022,32,8,24,0.250,-17.43,-7.09,,4,13,,4,7,,4,15,,1977,2308,,66.2,107.6,0.288,0.393,0.555,53.4,52.7,10.5,11.2,0.529,16.3,31.8,0.205
Central Michigan,2021-2022,30,7,23,0.233,-12.56,-1.52,,6,12,,2,9,,5,11,,1978,2309,,68.8,111.4,0.361,0.424,0.561,53.4,54.2,9.2,9.7,0.530,14.3,31.3,0.254
Charleston Southern,2021-2022,31,6,25,0.194,-17.56,-4.21,,1,15,,4,9,,1,13,,2122,2356,,71.3,106.1,0.297,0.377,0.561,50.0,52.8,10.9,9.0,0.530,15.6,25.2,0.221
Charlotte,2021-2022,31,17,14,0.548,-1.62,-0.42,,10,8,,11,4,,6,6,,2171,2208,,66.7,106.9,0.265,0.363,0.558,51.0,46.7,8.4,9.2,0.526,15.0,25.5,0.203
Chattanooga NCAA,2021-2022,35,27,8,0.771,6.12,-0.94,,14,4,,12,3,,12,4,,2596,2253,,66.0,96.9,0.264,0.404,0.509,46.3,45.2,8.4,9.6,0.482,16.2,26.2,0.182
Chicago State,2021-2022,32,7,25,0.219,-14.24,-1.96,,3,15,,5,9,,2,15,,1987,2380,,66.7,111.4,0.384,0.360,0.570,51.7,56.7,9.9,10.9,0.535,16.3,34.6,0.279
Cincinnati,2021-2022,33,18,15,0.545,7.44,4.28,,7,11,,12,6,,4,7,,2291,2176,,68.6,96.1,0.341,0.307,0.494,50.2,52.4,8.3,9.7,0.451,15.7,29.2,0.246
Clemson,2021-2022,33,17,16,0.515,9.59,6.31,,8,12,,11,5,,3,8,,2367,2259,,66.6,102.0,0.291,0.426,0.534,48.6,50.6,8.0,10.6,0.497,15.1,24.1,0.222
Cleveland State,2021-2022,31,20,11,0.645,-1.78,-5.64,,15,6,,15,3,,5,7,,2336,2168,,68.7,99.8,0.333,0.431,0.531,48.1,54.3,10.8,9.4,0.490,18.9,31.1,0.251
Coastal Carolina,2021-2022,33,19,14,0.576,0.66,-2.41,,8,8,,13,7,,5,5,,2404,2156,,67.6,95.6,0.241,0.456,0.487,46.1,54.9,10.4,7.4,0.458,15.4,28.1,0.171
Colgate NCAA,2021-2022,35,23,12,0.657,0.98,-6.37,,16,2,,15,1,,8,10,,2646,2349,,67.6,98.9,0.241,0.351,0.507,48.1,53.5,9.4,8.6,0.484,14.1,25.1,0.163
College of Charleston,2021-2022,32,17,15,0.531,0.52,-1.23,,8,10,,9,6,,7,8,,2502,2446,,74.3,102.1,0.376,0.353,0.550,45.3,47.1,10.7,12.7,0.512,17.1,25.0,0.272
Colorado,2021-2022,33,21,12,0.636,9.82,6.15,,12,8,,12,6,,6,4,,2345,2224,,68.4,97.9,0.270,0.369,0.513,46.4,45.6,10.1,9.7,0.481,15.5,24.4,0.196
Colorado State NCAA,2021-2022,31,25,6,0.806,11.51,4.77,,14,4,,14,1,,6,3,,2275,2047,,66.0,99.3,0.255,0.436,0.528,50.2,49.9,8.3,8.7,0.501,16.6,24.9,0.182
Columbia,2021-2022,26,4,22,0.154,-17.50,-4.62,,1,13,,3,10,,1,12,,1752,2049,,71.0,110.5,0.249,0.427,0.570,51.0,51.8,11.8,8.5,0.545,14.7,27.9,0.185
Connecticut NCAA,2021-2022,33,23,10,0.697,16.40,6.88,,13,6,,14,2,,5,5,,2469,2155,,66.8,95.9,0.317,0.326,0.495,44.9,44.5,9.3,8.2,0.460,15.6,27.6,0.218
Coppin State,2021-2022,32,9,23,0.281,-12.78,-5.03,,6,8,,3,6,,4,16,,2142,2390,,74.4,100.4,0.281,0.415,0.523,56.0,53.7,9.2,9.8,0.493,18.1,32.0,0.200
Cornell,2021-2022,26,15,11,0.577,-3.41,-3.45,,7,7,,10,2,,5,8,,2059,1941,,73.5,101.0,0.295,0.434,0.526,48.7,49.1,9.3,9.1,0.500,16.2,27.2,0.200
Creighton NCAA,2021-2022,35,23,12,0.657,11.34,8.54,,12,7,,11,4,,6,5,,2422,2324,,68.1,96.4,0.208,0.332,0.478,48.3,45.2,9.8,9.8,0.449,13.3,28.6,0.151
Dartmouth,2021-2022,25,9,16,0.360,-4.12,-2.62,,6,8,,5,5,,4,11,,1709,1705,,66.8,100.5,0.280,0.376,0.539,51.8,42.8,8.8,7.0,0.511,17.2,26.3,0.199
Davidson NCAA,2021-2022,34,27,7,0.794,10.43,1.92,,15,3,,13,1,,9,3,,2567,2244,,66.1,99.5,0.276,0.435,0.525,47.7,51.0,7.6,7.1,0.492,15.0,22.0,0.204
Dayton,2021-2022,35,24,11,0.686,10.41,2.41,,14,4,,13,4,,7,6,,2423,2143,,64.4,94.7,0.237,0.372,0.498,45.5,53.3,9.5,10.4,0.469,15.2,23.5,0.171
Delaware NCAA,2021-2022,35,22,13,0.629,0.32,-1.82,,10,8,,9,5,,8,5,,2568,2456,,68.0,102.5,0.283,0.357,0.529,50.8,45.6,9.4,7.9,0.493,16.0,30.3,0.215
Delaware State,2021-2022,28,2,26,0.071,-22.63,-7.39,,0,14,,2,11,,0,13,,1757,2058,,71.0,103.1,0.328,0.458,0.531,52.4,64.0,11.2,9.1,0.498,17.0,33.1,0.231
Denver,2021-2022,32,11,21,0.344,-10.12,-5.96,,7,11,,6,7,,4,12,,2257,2380,,68.5,107.3,0.318,0.399,0.553,51.6,46.2,7.7,9.2,0.519,14.8,27.7,0.235
DePaul,2021-2022,31,15,16,0.484,7.83,6.73,,6,14,,11,7,,4,8,,2272,2238,,70.4,102.2,0.260,0.353,0.521,48.4,48.2,9.0,8.7,0.488,14.6,28.5,0.195
Detroit Mercy,2021-2022,30,14,16,0.467,-6.33,-5.02,,10,7,,9,1,,5,15,,2122,2115,,65.8,107.2,0.299,0.408,0.564,51.3,57.3,9.2,6.7,0.538,16.8,29.4,0.212
Drake,2021-2022,36,25,11,0.694,7.34,1.04,,13,5,,14,3,,8,2,,2660,2391,,66.4,97.9,0.328,0.379,0.529,47.9,43.1,8.2,7.6,0.492,17.4,25.0,0.239
Drexel,2021-2022,29,15,14,0.517,-0.29,-1.90,,10,8,,8,4,,6,7,,2112,2038,,68.0,102.4,0.259,0.321,0.529,49.8,41.1,9.3,6.5,0.504,14.2,25.6,0.181
Duke NCAA,2021-2022,39,32,7,0.821,19.55,7.26,,16,4,,15,3,,9,2,,3122,2643,,68.2,99.1,0.190,0.336,0.492,47.2,50.4,8.8,8.2,0.471,13.5,29.0,0.132
Duquesne,2021-2022,30,6,24,0.200,-6.34,1.86,,1,16,,3,11,,1,10,,1956,2202,,66.9,108.0,0.219,0.320,0.559,52.6,53.4,8.8,9.9,0.540,16.4,31.4,0.155
East Carolina,2021-2022,30,15,15,0.500,0.49,2.66,,6,11,,12,4,,2,7,,2063,2128,,68.9,102.2,0.310,0.410,0.534,50.7,61.0,10.0,11.9,0.505,16.2,28.3,0.216
East Tennessee State,2021-2022,32,15,17,0.469,-2.76,-0.36,,7,11,,8,6,,4,10,,2306,2336,,66.6,109.3,0.256,0.461,0.552,50.0,54.9,9.0,7.2,0.527,14.6,31.0,0.183
Eastern Illinois,2021-2022,31,5,26,0.161,-21.07,-3.97,,3,15,,4,9,,1,16,,1746,2205,,66.6,106.8,0.241,0.436,0.549,55.6,61.0,12.9,12.9,0.529,16.1,33.3,0.165
Eastern Kentucky,2021-2022,31,13,18,0.419,-6.75,-5.38,,5,11,,12,5,,1,13,,2457,2327,,73.0,100.8,0.279,0.391,0.557,52.5,55.8,8.4,9.1,0.532,20.6,30.7,0.199
Eastern Michigan,2021-2022,31,10,21,0.323,-10.86,-3.03,,5,15,,8,7,,2,14,,2143,2356,,70.7,104.9,0.293,0.361,0.541,52.3,45.8,9.4,9.7,0.513,15.0,28.2,0.205
Eastern Washington,2021-2022,34,18,16,0.529,-5.20,-5.14,,11,9,,9,3,,8,11,,2613,2536,,71.6,103.4,0.306,0.419,0.535,48.3,47.9,8.5,8.1,0.497,14.2,25.1,0.231
Elon,2021-2022,32,10,22,0.313,-6.15,1.39,,7,11,,7,7,,3,11,,2147,2311,,67.3,107.4,0.425,0.383,0.548,51.5,48.3,11.0,10.0,0.500,14.3,28.5,0.318
Evansville,2021-2022,30,6,24,0.200,-10.95,1.40,,2,16,,4,9,,2,11,,1775,2122,,64.2,108.0,0.302,0.339,0.587,56.2,45.8,8.1,8.5,0.561,16.2,21.2,0.222
Fairfield,2021-2022,33,15,18,0.455,-3.88,-4.09,,8,12,,6,9,,8,8,,2239,2177,,65.5,99.7,0.306,0.303,0.509,49.8,42.3,8.1,9.9,0.476,14.9,27.7,0.214
FDU,2021-2022,26,4,22,0.154,-18.13,-6.21,,4,11,,3,6,,1,16,,1748,2058,,70.4,111.4,0.341,0.351,0.566,53.9,57.5,9.0,10.4,0.538,15.6,34.1,0.238
Florida,2021-2022,34,20,14,0.588,11.93,7.84,,9,9,,13,5,,4,7,,2400,2261,,66.8,98.9,0.304,0.329,0.524,51.0,49.1,11.3,8.6,0.494,18.7,32.5,0.212
