School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Florida A&M,2021-2022,30,13,17,0.433,-12.05,-6.70,,11,7,,8,4,,5,12,,1952,2064,,67.3,101.4,0.382,0.355,0.519,53.3,51.9,9.1,5.2,0.485,16.2,33.6,0.256
Florida Atlantic,2021-2022,34,19,15,0.559,2.63,-1.82,,11,7,,14,5,,4,8,,2519,2315,,68.7,98.7,0.310,0.340,0.534,46.9,44.3,8.7,8.8,0.505,17.8,24.8,0.215
Florida Gulf Coast,2021-2022,34,22,12,0.647,-3.07,-4.91,,10,6,,16,3,,6,9,,2641,2505,,70.3,102.5,0.241,0.380,0.522,47.4,49.7,9.4,7.1,0.500,14.1,27.1,0.163
Florida International,2021-2022,32,15,17,0.469,-6.47,-3.27,,5,13,,11,5,,1,11,,2264,2274,,69.0,101.1,0.312,0.388,0.526,51.1,53.0,10.1,9.7,0.492,16.4,29.6,0.222
Florida State,2021-2022,31,17,14,0.548,6.39,7.32,,10,10,,11,4,,4,8,,2201,2230,,68.6,104.0,0.304,0.423,0.551,50.2,55.1,8.5,7.8,0.522,18.1,31.0,0.216
Fordham,2021-2022,32,16,16,0.500,-0.89,-0.20,,8,10,,10,4,,3,9,,2115,2137,,68.6,95.8,0.304,0.345,0.509,50.1,49.2,8.3,9.6,0.480,17.3,26.2,0.207
Fresno State,2021-2022,36,23,13,0.639,8.36,1.94,,8,9,,14,4,,6,8,,2384,2139,,62.4,93.5,0.272,0.422,0.508,47.2,49.9,8.7,6.5,0.478,17.5,22.5,0.191
Furman,2021-2022,34,22,12,0.647,6.20,-1.44,,12,6,,12,3,,8,8,,2640,2336,,66.1,101.7,0.243,0.366,0.540,50.2,51.3,8.7,9.9,0.513,16.9,27.8,0.177
Gardner-Webb,2021-2022,31,18,13,0.581,-2.35,-4.43,,11,5,,11,3,,6,9,,2154,1989,,69.7,92.1,0.347,0.416,0.494,48.0,51.7,9.4,8.8,0.448,16.8,22.2,0.255
George Mason,2021-2022,30,14,16,0.467,4.18,1.98,,7,9,,10,4,,4,8,,2122,2056,,66.6,100.7,0.296,0.422,0.530,48.7,49.9,10.0,9.4,0.496,15.2,23.6,0.217
George Washington,2021-2022,30,12,18,0.400,-4.07,0.40,,8,9,,8,5,,3,10,,2051,2185,,69.7,103.3,0.293,0.345,0.527,53.8,50.3,9.5,10.8,0.496,15.5,31.1,0.210
Georgetown,2021-2022,31,6,25,0.194,1.71,8.03,,0,19,,6,11,,0,11,,2192,2388,,71.0,108.4,0.276,0.416,0.563,49.9,61.0,9.7,11.4,0.536,15.8,29.9,0.200
Georgia,2021-2022,32,6,26,0.188,-0.63,8.06,,1,17,,6,13,,0,10,,2234,2512,,69.8,112.4,0.241,0.411,0.567,51.6,56.2,11.2,14.7,0.546,13.7,30.1,0.173
Georgia Southern,2021-2022,29,13,16,0.448,-7.04,-3.04,,5,11,,7,5,,4,10,,1927,1903,,67.1,96.9,0.338,0.389,0.508,50.0,49.5,11.1,7.8,0.473,17.5,29.5,0.233
Georgia State NCAA,2021-2022,29,18,11,0.621,-1.11,-1.34,,9,5,,8,4,,6,5,,2049,1906,,68.6,94.6,0.314,0.367,0.515,49.3,56.2,9.0,8.9,0.484,20.3,30.3,0.216
Georgia Tech,2021-2022,32,12,20,0.375,2.24,6.08,,5,15,,8,10,,3,8,,2195,2264,,68.6,101.5,0.319,0.388,0.531,51.0,59.1,9.5,8.5,0.497,16.5,27.9,0.229
Gonzaga NCAA,2021-2022,32,28,4,0.875,25.46,4.50,,13,1,,16,0,,5,1,,2790,2119,,73.8,89.7,0.227,0.333,0.461,44.3,41.3,8.2,7.1,0.431,14.3,23.4,0.159
Grambling,2021-2022,32,12,20,0.375,-12.35,-5.08,,8,9,,6,4,,4,14,,2092,2273,,70.5,100.8,0.391,0.359,0.521,51.8,51.8,10.1,10.9,0.484,16.9,31.1,0.268
Grand Canyon,2021-2022,31,23,8,0.742,5.81,-2.57,,12,5,,15,2,,6,5,,2204,1898,,67.7,90.4,0.317,0.345,0.471,45.9,43.1,8.6,8.5,0.432,16.7,27.1,0.219
Green Bay,2021-2022,30,5,25,0.167,-13.89,-5.44,,4,16,,4,9,,1,13,,1852,2068,,64.9,106.2,0.311,0.346,0.564,51.6,47.6,10.8,8.7,0.528,16.1,27.9,0.238
Hampton,2021-2022,28,9,19,0.321,-13.54,-6.00,,5,11,,7,4,,2,11,,1814,1946,,69.2,99.5,0.364,0.338,0.500,53.4,46.0,8.7,8.3,0.465,14.7,31.2,0.241
Hartford,2021-2022,32,12,20,0.375,-10.03,-7.69,,9,9,,7,5,,5,13,,2234,2309,,67.1,107.2,0.289,0.383,0.546,51.7,47.6,9.8,9.5,0.516,14.4,28.4,0.210
Harvard,2021-2022,26,13,13,0.500,-4.68,-4.20,,5,9,,9,6,,4,7,,1858,1797,,69.7,97.8,0.307,0.395,0.547,50.2,51.0,8.9,8.7,0.515,19.3,23.1,0.224
Hawaii,2021-2022,28,17,11,0.607,-0.52,-3.06,,12,5,,10,4,,5,5,,1928,1796,,66.2,96.9,0.307,0.305,0.503,46.6,37.9,9.8,8.4,0.466,14.2,24.1,0.221
High Point,2021-2022,32,14,18,0.438,-6.53,-3.39,,7,9,,10,6,,3,10,,2225,2232,,67.7,100.3,0.343,0.369,0.515,50.4,53.9,9.5,9.0,0.486,15.5,29.7,0.227
Hofstra,2021-2022,32,21,11,0.656,1.80,-0.60,,13,5,,12,2,,8,8,,2494,2333,,70.5,102.6,0.245,0.420,0.555,51.8,56.5,7.5,8.1,0.530,18.3,26.8,0.180
Holy Cross,2021-2022,31,9,22,0.290,-16.84,-7.87,,7,11,,5,9,,4,11,,2022,2192,,67.9,104.1,0.301,0.323,0.547,51.1,51.1,8.9,8.3,0.522,16.0,27.7,0.207
Houston NCAA,2021-2022,38,32,6,0.842,22.55,6.47,,15,3,,16,1,,7,3,,2844,2233,,65.0,89.5,0.347,0.427,0.478,45.1,55.2,9.0,6.4,0.433,18.8,28.0,0.249
Houston Christian,2021-2022,29,11,18,0.379,-14.47,-6.71,,6,8,,7,6,,3,8,,2190,2220,,72.2,104.3,0.356,0.359,0.570,47.5,48.3,10.8,8.8,0.534,17.9,25.2,0.266
Howard,2021-2022,29,16,13,0.552,-6.76,-8.53,,9,5,,9,4,,5,8,,2215,2019,,73.4,94.4,0.340,0.326,0.517,51.7,47.6,9.7,8.8,0.481,20.9,32.7,0.239
Idaho,2021-2022,31,9,22,0.290,-13.19,-4.78,,6,14,,8,7,,1,12,,2263,2468,,71.3,110.7,0.332,0.335,0.565,51.0,41.6,8.7,9.9,0.539,12.9,25.7,0.231
Idaho State,2021-2022,30,7,23,0.233,-14.96,-5.28,,5,15,,5,8,,2,14,,1931,2146,,65.9,108.1,0.345,0.364,0.564,50.1,45.0,10.3,8.5,0.529,15.0,27.0,0.253
Illinois NCAA,2021-2022,33,23,10,0.697,16.69,9.48,,15,5,,13,3,,7,4,,2456,2218,,67.9,98.2,0.282,0.296,0.495,46.2,41.3,9.7,8.7,0.460,13.5,26.6,0.202
Illinois State,2021-2022,33,13,20,0.394,-0.78,0.74,,5,13,,11,6,,1,11,,2447,2466,,69.2,105.2,0.309,0.374,0.541,49.7,50.1,10.2,6.8,0.505,15.2,29.0,0.231
Illinois-Chicago,2021-2022,30,14,16,0.467,-8.78,-6.37,,9,10,,6,6,,8,8,,2159,2188,,69.4,103.8,0.334,0.272,0.544,51.5,43.4,9.6,6.4,0.509,15.2,26.6,0.241
Incarnate Word,2021-2022,32,7,25,0.219,-17.03,-4.34,,3,11,,5,10,,1,11,,2145,2445,,68.4,111.6,0.296,0.358,0.584,54.4,48.8,9.7,7.8,0.561,16.3,31.1,0.210
Indiana NCAA,2021-2022,35,21,14,0.600,12.71,8.08,,9,11,,14,4,,3,8,,2478,2316,,67.9,96.5,0.307,0.401,0.504,48.2,47.7,9.6,6.9,0.462,15.5,25.1,0.232
Indiana State,2021-2022,31,11,20,0.355,-3.49,1.94,,4,14,,8,6,,2,11,,2184,2230,,69.4,101.5,0.250,0.365,0.534,50.7,47.5,9.1,10.9,0.504,14.5,22.0,0.188
Iona,2021-2022,33,25,8,0.758,5.47,-1.14,,17,3,,13,0,,7,5,,2482,2264,,70.2,97.0,0.338,0.332,0.504,48.8,47.4,10.0,8.4,0.466,16.5,29.8,0.239
Iowa NCAA,2021-2022,36,26,10,0.722,18.90,6.87,,12,8,,15,3,,6,6,,2995,2562,,70.3,100.5,0.263,0.363,0.525,49.0,54.6,7.4,7.4,0.497,16.7,29.9,0.187
Iowa State NCAA,2021-2022,35,22,13,0.629,12.38,9.33,,7,11,,14,5,,4,6,,2296,2189,,67.2,92.4,0.367,0.380,0.521,50.7,53.6,10.8,11.5,0.480,21.7,28.3,0.264
IU Indy,2021-2022,29,3,26,0.103,-23.61,-6.50,,1,16,,2,11,,1,13,,1521,1947,,63.4,105.9,0.359,0.412,0.557,51.0,52.9,12.0,9.1,0.518,18.0,31.7,0.266
