School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2010-2011,32,16,16,0.500,2.71,3.31,,6,10,,12,5,,3,11,,2074,2082,,62.5,102.9,0.326,0.454,0.519,54.7,63.7,8.6,10.3,0.482,16.9,34.3,0.234
Akron NCAA,2010-2011,36,23,13,0.639,2.15,-1.02,,9,7,,14,2,,5,9,,2524,2365,,67.0,96.4,0.383,0.302,0.499,52.1,51.1,8.8,6.6,0.464,17.8,32.7,0.253
Alabama,2010-2011,37,25,12,0.676,11.70,4.27,,12,4,,19,0,,4,6,,2473,2198,,65.3,90.3,0.363,0.320,0.477,48.0,50.1,9.1,9.1,0.437,20.1,33.8,0.245
Alabama A&M,2010-2011,28,13,15,0.464,-15.19,-11.75,,10,8,,9,4,,4,10,,1808,1870,,71.6,92.9,0.415,0.277,0.490,51.2,55.2,11.0,10.1,0.457,19.6,33.6,0.259
Alabama State NCAA,2010-2011,35,17,18,0.486,-13.37,-10.31,,11,7,,10,3,,4,14,,2146,2234,,66.5,95.2,0.515,0.296,0.506,49.3,55.9,11.2,6.8,0.454,19.8,33.4,0.352
Albany (NY),2010-2011,32,16,16,0.500,-7.05,-5.96,,9,7,,7,6,,7,8,,2013,2048,,61.0,102.9,0.278,0.404,0.500,48.3,59.3,10.3,9.8,0.478,14.0,33.0,0.177
Alcorn State,2010-2011,28,4,24,0.143,-23.02,-8.02,,4,14,,2,7,,2,17,,1838,2258,,77.6,103.4,0.421,0.309,0.524,56.5,60.4,10.8,10.2,0.492,16.5,37.8,0.275
American,2010-2011,31,22,9,0.710,-3.13,-5.64,,11,3,,10,3,,10,5,,2051,1973,,61.9,101.2,0.374,0.300,0.519,47.6,51.8,8.7,6.2,0.475,14.4,26.2,0.273
Appalachian State,2010-2011,31,16,15,0.516,-4.81,-2.95,,10,8,,9,3,,6,8,,2265,2269,,68.9,105.8,0.310,0.318,0.543,50.1,52.4,9.1,6.7,0.516,15.5,30.7,0.214
Arizona NCAA,2010-2011,38,30,8,0.789,16.54,7.99,,14,4,,17,0,,7,4,,2905,2580,,66.9,100.2,0.366,0.283,0.520,46.9,52.8,8.7,9.8,0.486,16.1,29.2,0.248
