School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2013-2014,31,11,20,0.355,-19.60,-4.12,,2,12,,9,5,,0,14,,2214,2228,,67.7,104.9,0.455,0.320,0.558,49.8,53.6,9.7,12.0,0.518,17.8,30.2,0.323
Air Force,2013-2014,30,12,18,0.400,-4.08,1.71,,6,12,,8,9,,3,8,,1980,2074,,65.4,104.8,0.431,0.406,0.540,51.2,58.6,10.5,14.1,0.499,15.6,29.4,0.302
Akron,2013-2014,34,21,13,0.618,1.16,-0.48,,12,6,,13,2,,6,8,,2332,2276,,65.5,101.0,0.361,0.277,0.520,49.0,46.7,9.9,9.1,0.479,16.7,32.5,0.259
Alabama,2013-2014,32,13,19,0.406,8.34,8.88,,7,11,,13,4,,0,11,,2170,2150,,64.4,103.1,0.402,0.331,0.520,51.5,52.4,8.6,11.5,0.470,16.5,34.5,0.299
Alabama A&M,2013-2014,30,14,16,0.467,-13.86,-10.58,,10,8,,7,4,,5,11,,1936,2010,,66.5,99.6,0.524,0.285,0.508,52.9,45.3,9.8,8.9,0.452,17.3,34.3,0.365
Alabama State,2013-2014,32,19,13,0.594,-12.84,-11.40,,12,6,,13,1,,5,10,,2265,2225,,68.1,100.5,0.389,0.297,0.528,50.5,48.5,8.8,7.9,0.490,18.4,33.3,0.270
Albany (NY) NCAA,2013-2014,34,19,15,0.559,-3.31,-5.22,,9,7,,10,3,,7,11,,2239,2174,,63.1,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8.0,0.483,15.9,28.3,0.210
Alcorn State,2013-2014,31,12,19,0.387,-15.95,-9.27,,9,9,,9,3,,2,13,,1985,2101,,64.8,102.5,0.396,0.311,0.525,52.7,52.3,8.2,6.5,0.483,16.3,34.0,0.281
American NCAA,2013-2014,33,20,13,0.606,0.69,-3.25,,13,5,,11,3,,9,9,,2081,1951,,60.7,97.0,0.407,0.312,0.504,49.4,50.1,11.6,8.1,0.464,17.0,29.7,0.276
Appalachian State,2013-2014,30,9,21,0.300,-15.32,-7.13,,5,11,,7,7,,2,13,,2034,2152,,67.4,105.6,0.408,0.296,0.548,49.4,50.9,8.3,10.6,0.519,16.4,30.2,0.272
Arizona NCAA,2013-2014,38,33,5,0.868,23.36,9.04,,15,3,,18,0,,8,3,,2769,2225,,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245
Arizona State NCAA,2013-2014,33,21,12,0.636,13.32,7.41,,10,8,,16,1,,4,7,,2486,2291,,69.0,98.8,0.373,0.273,0.496,51.6,47.1,7.9,11.6,0.463,14.6,30.2,0.242
