School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Brigham Young NCAA,2020-2021,27,20,7,0.741,15.19,7.23,,10,3,,11,2,,7,2,,2109,1853,,70.2,96.4,0.295,0.350,0.499,45.3,46.6,8.8,5.5,0.469,14.2,22.9,0.201
Bryant,2020-2021,22,15,7,0.682,-1.37,-7.27,,10,4,,10,1,,5,5,,1843,1664,,77.2,97.9,0.270,0.385,0.498,49.2,53.4,9.4,9.8,0.467,15.3,30.0,0.191
Bucknell,2020-2021,12,5,7,0.417,-7.78,-5.36,,4,6,,2,3,,3,4,,899,928,,73.1,105.8,0.292,0.324,0.534,52.4,55.1,9.6,9.1,0.496,13.7,28.3,0.224
Buffalo,2020-2021,25,16,9,0.640,6.50,-1.58,,12,5,,8,3,,5,3,,2034,1823,,74.2,97.3,0.283,0.329,0.503,44.9,49.2,8.6,6.6,0.462,15.3,26.8,0.216
Butler,2020-2021,25,10,15,0.400,4.76,9.92,,8,12,,8,4,,1,9,,1588,1717,,65.1,104.0,0.285,0.376,0.555,51.2,54.5,7.8,11.0,0.530,16.6,25.2,0.200
Cal Poly,2020-2021,24,4,20,0.167,-13.69,-1.56,,1,15,,3,8,,0,11,,1475,1700,,68.5,102.9,0.359,0.336,0.535,53.6,51.8,10.5,9.2,0.499,16.2,28.8,0.254
Cal State Bakersfield,2020-2021,26,15,11,0.577,-0.13,-2.38,,11,7,,9,2,,6,8,,1811,1665,,65.7,97.1,0.402,0.410,0.536,43.8,56.3,8.8,6.7,0.497,19.2,25.5,0.284
Cal State Fullerton,2020-2021,16,6,10,0.375,-6.32,-3.05,,5,9,,5,4,,1,5,,1232,1257,,72.7,107.2,0.273,0.345,0.567,52.4,57.6,9.3,8.7,0.543,16.7,29.0,0.193
Cal State Northridge,2020-2021,22,9,13,0.409,-8.69,-1.97,,5,9,,4,7,,4,4,,1586,1709,,70.9,109.0,0.331,0.400,0.575,53.0,54.7,8.4,6.3,0.540,16.4,28.8,0.252
California,2020-2021,29,9,20,0.310,4.89,9.75,,3,17,,6,8,,1,11,,1897,2008,,66.3,104.5,0.335,0.326,0.556,50.6,51.5,9.3,9.0,0.525,15.7,24.4,0.239
California Baptist,2020-2021,23,13,10,0.565,-5.25,-5.04,,6,6,,11,4,,2,5,,1820,1674,,71.1,101.8,0.355,0.332,0.527,46.9,52.7,8.9,6.7,0.499,14.8,25.2,0.233
Campbell,2020-2021,27,17,10,0.630,-6.82,-7.34,,11,6,,9,3,,6,7,,1917,1840,,65.8,102.1,0.305,0.379,0.548,53.8,43.7,8.5,6.7,0.517,18.8,30.2,0.220
Canisius,2020-2021,13,7,6,0.538,-8.61,-7.84,,7,5,,3,1,,4,4,,915,925,,71.5,99.5,0.316,0.311,0.538,51.4,44.1,7.5,9.8,0.505,18.0,26.8,0.228
Central Arkansas,2020-2021,24,5,19,0.208,-14.86,-1.99,,4,12,,4,5,,1,14,,1701,1933,,74.0,108.9,0.292,0.384,0.556,48.9,57.2,12.6,8.8,0.526,14.1,27.6,0.214
Central Connecticut State,2020-2021,21,5,16,0.238,-15.12,-6.27,,5,13,,3,6,,2,9,,1439,1625,,72.0,107.5,0.304,0.393,0.563,55.3,57.3,10.7,8.1,0.539,17.4,32.6,0.212
Central Michigan,2020-2021,23,7,16,0.304,-12.34,-4.19,,3,13,,5,7,,2,9,,1766,1835,,74.9,106.5,0.269,0.397,0.555,51.7,52.5,8.4,9.2,0.524,16.2,30.5,0.203
Charleston Southern,2020-2021,21,3,18,0.143,-16.72,-6.22,,2,15,,1,9,,2,8,,1375,1550,,70.2,104.5,0.339,0.372,0.533,50.5,49.5,12.5,11.7,0.507,16.0,30.5,0.224
Charlotte,2020-2021,25,9,16,0.360,-5.68,-2.43,,5,11,,6,7,,3,8,,1587,1668,,64.6,100.8,0.235,0.386,0.541,50.6,54.0,10.5,10.7,0.512,16.8,24.4,0.180
Chattanooga,2020-2021,26,18,8,0.692,-1.54,-2.92,,9,7,,9,3,,9,4,,1888,1801,,68.6,100.0,0.232,0.356,0.537,50.7,49.1,7.5,10.7,0.515,17.0,24.5,0.164
Chicago State,2020-2021,9,0,9,0.000,-31.82,1.41,,,,,,,,0,7,,499,798,,71.2,124.5,0.328,0.367,0.619,62.0,59.0,9.0,8.8,0.601,13.9,37.9,0.228
Cincinnati,2020-2021,23,12,11,0.522,3.99,7.21,,8,6,,5,5,,5,5,,1585,1659,,71.3,101.2,0.378,0.351,0.541,48.9,56.2,9.6,10.3,0.496,16.6,25.3,0.285
Clemson NCAA,2020-2021,24,16,8,0.667,12.49,9.49,,10,6,,11,1,,2,5,,1558,1486,,64.9,94.9,0.289,0.409,0.516,50.1,50.9,10.0,9.9,0.487,19.0,26.9,0.202
Cleveland State NCAA,2020-2021,27,19,8,0.704,-5.12,-4.82,,16,4,,9,2,,8,5,,1914,1922,,67.6,103.0,0.376,0.424,0.532,50.6,52.5,9.3,7.6,0.490,17.1,32.2,0.275
Coastal Carolina,2020-2021,26,18,8,0.692,-2.74,-7.60,,9,5,,12,1,,3,5,,2067,1773,,72.3,93.4,0.288,0.453,0.491,43.6,53.2,10.7,6.4,0.460,16.7,25.8,0.196
Colgate NCAA,2020-2021,16,14,2,0.875,13.66,-1.90,,11,1,,8,1,,6,0,,1363,1114,,72.7,95.0,0.263,0.362,0.487,46.8,42.7,7.5,7.4,0.458,14.3,25.1,0.180
College of Charleston,2020-2021,19,9,10,0.474,-4.96,-3.13,,6,4,,8,6,,1,3,,1341,1329,,64.7,105.3,0.329,0.398,0.550,50.6,51.8,7.2,8.9,0.517,15.5,25.8,0.238
Colorado NCAA,2020-2021,32,23,9,0.719,18.88,9.57,,14,6,,11,1,,6,6,,2340,2042,,66.5,95.9,0.291,0.351,0.514,46.8,48.8,7.1,8.1,0.479,17.5,25.2,0.212
Colorado State,2020-2021,28,20,8,0.714,8.06,1.06,,14,4,,10,1,,6,4,,2072,1871,,69.5,96.1,0.263,0.435,0.510,49.4,54.2,9.1,10.5,0.490,17.4,26.8,0.168
Connecticut NCAA,2020-2021,23,15,8,0.652,15.77,8.59,,11,6,,7,3,,6,3,,1650,1485,,66.2,97.0,0.368,0.333,0.509,46.4,47.1,8.2,6.8,0.467,17.0,29.1,0.260
Coppin State,2020-2021,22,9,13,0.409,-12.37,-6.06,,8,4,,5,3,,4,9,,1602,1741,,79.3,99.7,0.270,0.408,0.512,56.3,48.8,9.1,9.5,0.479,17.4,32.5,0.198
Creighton NCAA,2020-2021,31,22,9,0.710,16.28,8.54,,14,6,,11,3,,7,4,,2355,2115,,69.6,97.3,0.255,0.392,0.499,50.6,52.7,7.9,8.3,0.470,15.5,28.0,0.179
Davidson,2020-2021,22,13,9,0.591,9.02,3.40,,7,4,,7,4,,4,2,,1579,1411,,63.6,100.3,0.287,0.409,0.528,46.5,47.4,7.4,7.9,0.496,14.7,21.9,0.208
Dayton,2020-2021,24,14,10,0.583,6.31,4.35,,9,7,,8,3,,4,6,,1674,1627,,66.2,99.8,0.263,0.378,0.505,50.1,50.4,8.3,9.7,0.485,15.0,29.0,0.167
Delaware,2020-2021,15,7,8,0.467,-5.19,-5.04,,5,4,,6,3,,1,4,,1013,1012,,67.8,99.6,0.307,0.343,0.516,48.4,44.3,9.5,8.3,0.481,14.9,25.9,0.221
Delaware State,2020-2021,19,3,16,0.158,-24.09,-6.33,,1,11,,3,6,,0,10,,1345,1629,,77.1,110.4,0.430,0.382,0.572,53.5,54.2,10.9,11.1,0.536,16.4,32.0,0.304
Denver,2020-2021,21,2,19,0.095,-16.40,-5.80,,1,13,,2,10,,0,9,,1466,1662,,71.3,109.6,0.408,0.386,0.593,53.2,42.3,9.0,9.1,0.551,16.9,26.3,0.314
DePaul,2020-2021,19,5,14,0.263,2.67,8.83,,2,13,,2,8,,2,5,,1250,1367,,70.6,100.5,0.353,0.406,0.519,49.9,55.7,10.2,9.1,0.480,17.2,31.6,0.254
