School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Abilene Christian,30,13,17,0.433,-2.79,0.90,,5,11,,9,5,,4,8,,2249,2133,,70.9,99.5,0.450,0.339,0.576,50.9,51.4,7.8,8.3,0.538,22.2,26.5,0.322,2022-2023
Air Force,32,14,18,0.438,2.00,2.12,,5,13,,10,9,,4,9,,2142,2146,,63.6,104.2,0.352,0.329,0.535,52.3,42.3,8.9,11.0,0.493,14.9,28.6,0.263,2022-2023
Akron,33,22,11,0.667,4.19,-1.65,,13,5,,15,1,,5,6,,2463,2209,,67.2,98.9,0.273,0.357,0.522,47.9,46.1,8.5,9.4,0.489,16.1,26.0,0.201,2022-2023
Alabama NCAA,37,31,6,0.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,72.6,92.1,0.326,0.300,0.458,45.6,41.1,9.8,11.6,0.413,13.6,27.9,0.232,2022-2023
Alabama A&M,33,15,18,0.455,-10.78,-7.71,,10,8,,9,8,,5,8,,2297,2340,,69.9,100.7,0.403,0.399,0.533,52.2,53.8,11.1,9.1,0.492,18.9,34.9,0.286,2022-2023
Alabama State,31,8,23,0.258,-16.33,-6.29,,6,12,,5,5,,2,18,,1963,2252,,68.6,105.5,0.344,0.345,0.526,51.5,45.8,10.2,12.6,0.494,15.1,33.9,0.236,2022-2023
Albany (NY),31,8,23,0.258,-14.36,-4.53,,3,13,,5,6,,2,16,,2086,2332,,67.9,110.4,0.370,0.335,0.582,50.2,53.8,9.6,10.8,0.550,15.4,26.3,0.269,2022-2023
Alcorn State,32,18,14,0.563,-8.74,-5.81,,15,3,,7,2,,10,10,,2165,2259,,67.8,102.5,0.392,0.406,0.547,49.8,58.9,8.3,8.3,0.514,18.3,31.4,0.270,2022-2023
American,32,17,15,0.531,-8.26,-7.73,,7,11,,8,6,,9,9,,2093,2110,,62.6,103.7,0.321,0.337,0.550,49.0,52.3,13.0,7.2,0.518,16.9,27.9,0.232,2022-2023
Appalachian State,32,16,16,0.500,-1.50,-0.98,,9,9,,10,7,,6,7,,2248,2067,,67.3,95.3,0.244,0.390,0.495,50.2,50.2,8.8,6.7,0.466,16.1,27.4,0.174,2022-2023
Arizona NCAA,35,28,7,0.800,19.08,8.34,,14,6,,15,2,,6,4,,2866,2490,,72.7,97.8,0.255,0.387,0.501,45.8,49.0,10.8,9.5,0.471,14.8,26.1,0.182,2022-2023
Arizona State NCAA,36,23,13,0.639,11.29,8.18,,11,9,,10,5,,7,6,,2559,2447,,69.0,97.4,0.335,0.390,0.504,51.2,54.8,8.7,8.2,0.465,17.2,31.5,0.237,2022-2023
Arkansas NCAA,36,22,14,0.611,15.99,9.87,,8,10,,14,3,,2,8,,2666,2446,,70.2,96.4,0.395,0.305,0.516,48.3,45.1,9.5,6.9,0.472,18.0,27.9,0.282,2022-2023
Arkansas State,33,13,20,0.394,-8.07,-3.30,,4,14,,10,8,,2,11,,2169,2232,,64.8,103.9,0.346,0.336,0.540,49.7,48.6,9.3,9.3,0.500,15.6,27.6,0.257,2022-2023
Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,,6,12,,8,5,,2,16,,2074,2162,,71.3,97.0,0.411,0.357,0.535,51.3,59.2,11.8,10.3,0.495,19.8,27.5,0.290,2022-2023
Army,33,17,16,0.515,-7.13,-7.58,,10,8,,10,5,,7,8,,2412,2322,,68.1,102.5,0.282,0.384,0.536,47.0,52.6,10.0,9.0,0.510,14.1,23.5,0.196,2022-2023
