School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2011-2012,29,13,16,0.448,-0.45,2.14,,3,11,,9,7,,2,7,,1786,1798,,62.9,97.8,0.371,0.420,0.517,56.4,60.9,10.3,9.2,0.477,19.0,33.7,0.262
Akron,2011-2012,34,22,12,0.647,6.33,0.72,,13,3,,13,2,,8,8,,2456,2241,,67.5,96.9,0.338,0.299,0.501,50.8,52.3,9.4,8.8,0.465,17.6,36.4,0.234
Alabama NCAA,2011-2012,33,21,12,0.636,13.76,7.18,,9,7,,12,3,,4,6,,2135,1918,,62.9,91.8,0.382,0.332,0.474,50.1,51.5,8.7,9.4,0.437,17.9,34.3,0.247
Alabama A&M,2011-2012,28,7,21,0.250,-19.33,-10.79,,5,13,,6,5,,1,15,,1764,1964,,68.8,101.1,0.506,0.255,0.530,54.5,45.0,11.7,10.8,0.491,17.8,37.4,0.333
Alabama State,2011-2012,31,12,19,0.387,-15.79,-9.96,,9,9,,7,4,,4,14,,1840,1995,,65.6,96.1,0.403,0.303,0.515,54.0,57.5,11.6,11.3,0.481,20.0,37.2,0.264
Albany (NY),2011-2012,34,19,15,0.559,-3.92,-6.92,,9,7,,10,4,,6,10,,2453,2351,,65.7,104.8,0.280,0.340,0.543,50.8,54.2,8.5,8.8,0.523,17.1,35.6,0.185
Alcorn State,2011-2012,32,10,22,0.313,-19.57,-10.61,,6,12,,7,5,,2,14,,1926,2148,,66.5,100.1,0.432,0.295,0.514,56.8,48.3,11.6,10.7,0.479,17.9,41.0,0.281
American,2011-2012,32,20,12,0.625,-3.12,-5.24,,10,4,,13,2,,7,10,,2059,1991,,62.9,98.6,0.327,0.337,0.498,53.5,51.3,9.2,8.0,0.464,15.0,33.4,0.224
Appalachian State,2011-2012,31,13,18,0.419,-6.93,-3.28,,7,11,,9,5,,3,11,,2121,2175,,68.0,102.8,0.388,0.281,0.514,52.1,48.6,10.1,7.1,0.479,14.5,34.6,0.260
Arizona,2011-2012,35,23,12,0.657,10.91,4.62,,12,6,,14,4,,6,4,,2416,2196,,65.0,95.8,0.327,0.303,0.483,50.9,50.4,8.6,9.6,0.449,15.4,33.2,0.217
Arizona State,2011-2012,31,10,21,0.323,-1.01,4.31,,6,12,,7,10,,2,7,,1891,2056,,63.4,104.7,0.383,0.353,0.535,50.8,60.1,11.7,8.5,0.496,15.4,32.6,0.272
Arkansas,2011-2012,32,18,14,0.563,5.76,3.63,,6,10,,17,3,,1,9,,2299,2231,,70.2,99.4,0.368,0.320,0.520,55.4,50.6,7.9,12.0,0.486,19.5,40.6,0.249
Arkansas State,2011-2012,34,14,20,0.412,-3.18,-0.52,,6,10,,10,5,,2,14,,2198,2239,,64.1,101.9,0.275,0.295,0.536,50.9,47.6,10.6,10.1,0.511,17.5,33.9,0.189
Arkansas-Pine Bluff,2011-2012,33,11,22,0.333,-16.77,-8.34,,9,9,,6,3,,3,15,,2013,2291,,66.3,104.4,0.423,0.345,0.534,54.3,54.9,11.3,9.2,0.507,18.0,38.7,0.268
Army,2011-2012,30,12,18,0.400,-11.26,-7.16,,5,9,,9,6,,3,11,,2027,2091,,69.4,99.1,0.357,0.386,0.540,55.6,54.3,9.2,9.2,0.510,19.8,33.4,0.243
Auburn,2011-2012,31,15,16,0.484,2.52,3.84,,5,11,,14,3,,1,10,,1942,1983,,65.0,97.2,0.380,0.354,0.509,52.6,56.6,10.8,10.4,0.470,18.4,35.7,0.260
Austin Peay,2011-2012,32,12,20,0.375,-4.86,-0.66,,8,8,,8,5,,4,12,,2216,2324,,68.2,105.6,0.349,0.317,0.553,53.5,52.2,10.2,7.5,0.524,18.5,39.6,0.239
Ball State,2011-2012,30,15,15,0.500,-2.93,-4.45,,6,10,,10,5,,5,9,,1901,1822,,62.5,97.2,0.327,0.358,0.507,50.9,57.6,9.3,9.6,0.472,18.7,35.6,0.228
Baylor NCAA,2011-2012,38,30,8,0.789,16.54,8.03,,12,6,,14,3,,8,3,,2839,2483,,67.1,97.1,0.334,0.328,0.507,48.0,56.1,10.3,8.5,0.473,17.9,34.6,0.229
