School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2016-2017,29,13,16,0.448,-11.86,-7.10,,7,11,,9,5,,4,11,,2009,2073,,68.0,103.3,0.431,0.373,0.553,52.9,55.5,8.9,8.8,0.522,18.5,30.1,0.287
Air Force,2016-2017,33,12,21,0.364,-3.06,1.00,,4,14,,11,7,,0,11,,2411,2477,,68.9,107.7,0.326,0.467,0.570,49.7,59.7,8.6,9.8,0.542,15.8,24.7,0.231
Akron,2016-2017,36,27,9,0.750,3.59,-1.21,,14,4,,13,2,,7,6,,2772,2550,,68.0,104.1,0.327,0.332,0.536,48.8,45.0,8.6,6.9,0.504,14.9,28.1,0.231
Alabama,2016-2017,34,19,15,0.559,11.29,7.47,,10,8,,11,6,,5,6,,2330,2200,,67.4,94.6,0.399,0.340,0.500,46.2,43.4,9.2,8.3,0.461,17.3,26.6,0.268
Alabama A&M,2016-2017,29,2,27,0.069,-26.99,-11.09,,2,16,,1,9,,1,18,,1794,2255,,65.4,117.4,0.340,0.341,0.563,53.6,49.9,10.4,9.1,0.538,11.8,36.7,0.231
Alabama State,2016-2017,31,8,23,0.258,-19.75,-10.75,,6,12,,6,5,,1,17,,2042,2305,,69.6,105.1,0.420,0.318,0.534,49.6,49.1,10.5,8.0,0.498,15.4,32.3,0.285
Albany (NY),2016-2017,35,21,14,0.600,-0.16,-4.69,,10,6,,11,5,,9,8,,2496,2301,,65.3,100.7,0.309,0.432,0.536,44.5,54.7,8.6,10.1,0.505,15.7,23.0,0.218
Alcorn State,2016-2017,32,18,14,0.563,-12.33,-10.95,,13,5,,11,2,,6,11,,2221,2175,,69.2,97.9,0.385,0.322,0.500,48.6,55.2,9.9,6.9,0.467,16.1,30.2,0.249
American,2016-2017,30,8,22,0.267,-10.30,-3.50,,5,13,,4,11,,4,11,,1845,2049,,65.2,104.4,0.414,0.306,0.560,53.4,53.6,10.1,8.3,0.525,17.8,28.0,0.291
Appalachian State,2016-2017,30,9,21,0.300,-8.67,-1.60,,4,14,,8,6,,1,14,,2208,2279,,72.1,104.9,0.432,0.300,0.550,49.3,50.0,8.3,10.1,0.515,15.6,26.5,0.296
Arizona NCAA,2016-2017,37,32,5,0.865,18.25,7.63,,16,2,,15,1,,9,1,,2833,2440,,67.3,98.0,0.286,0.364,0.506,44.9,53.4,7.0,7.7,0.477,15.2,25.7,0.196
Arizona State,2016-2017,33,15,18,0.455,4.02,7.11,,7,11,,9,7,,4,6,,2593,2695,,72.5,112.3,0.300,0.409,0.578,54.9,63.5,7.1,11.3,0.554,15.9,32.2,0.213
Arkansas NCAA,2016-2017,36,26,10,0.722,14.04,8.60,,12,6,,15,3,,6,5,,2855,2659,,71.7,103.1,0.390,0.367,0.519,50.5,50.4,7.2,7.7,0.478,15.7,33.9,0.275
Arkansas State,2016-2017,32,20,12,0.625,0.87,-2.10,,11,7,,12,1,,7,9,,2346,2211,,68.8,100.0,0.413,0.352,0.527,47.9,54.1,8.2,10.3,0.489,16.7,27.2,0.283
Arkansas-Pine Bluff,2016-2017,32,7,25,0.219,-22.81,-10.28,,6,12,,6,6,,1,19,,1977,2320,,68.7,103.5,0.564,0.399,0.561,53.2,59.1,13.6,8.4,0.512,20.6,34.9,0.399
Army,2016-2017,32,13,19,0.406,-5.84,-4.10,,6,12,,9,8,,4,10,,2324,2340,,72.0,100.3,0.336,0.349,0.529,48.2,51.7,10.2,11.4,0.498,15.4,23.5,0.232
Auburn,2016-2017,32,18,14,0.563,8.17,7.33,,7,11,,10,5,,6,6,,2573,2546,,75.2,105.0,0.388,0.388,0.545,51.6,50.5,8.1,7.9,0.506,17.1,33.2,0.279
