School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2015-2016,31,13,18,0.419,-13.93,-7.53,,8,10,,10,5,,2,12,,2209,2272,,69.7,104.3,0.442,0.292,0.565,51.0,47.5,7.3,8.6,0.527,18.2,26.9,0.313
Air Force,2015-2016,32,14,18,0.438,-5.51,0.66,,5,13,,12,5,,2,13,,2189,2330,,68.9,104.0,0.366,0.462,0.544,51.7,59.9,9.4,11.4,0.510,16.9,28.4,0.259
Akron,2015-2016,35,26,9,0.743,5.55,-1.24,,13,5,,15,0,,6,8,,2682,2381,,69.2,98.0,0.317,0.332,0.492,50.1,45.6,8.5,7.7,0.459,14.4,30.0,0.215
Alabama,2015-2016,33,18,15,0.545,7.14,8.62,,8,10,,10,4,,5,8,,2193,2242,,66.1,102.0,0.391,0.342,0.503,52.5,48.1,8.6,9.7,0.466,15.3,34.6,0.263
Alabama A&M,2015-2016,29,11,18,0.379,-13.47,-10.75,,6,12,,6,5,,4,12,,1974,2042,,65.7,105.9,0.398,0.325,0.537,50.6,48.3,8.9,8.1,0.507,14.2,31.4,0.264
Alabama State,2015-2016,31,14,17,0.452,-13.11,-9.35,,9,9,,8,3,,5,12,,2217,2308,,69.5,105.4,0.440,0.326,0.547,50.4,50.0,8.5,8.3,0.519,15.9,29.8,0.286
Albany (NY),2015-2016,33,24,9,0.727,0.93,-7.57,,13,3,,14,1,,10,8,,2495,2180,,67.8,96.4,0.272,0.395,0.508,44.6,50.4,7.8,10.4,0.482,16.6,25.9,0.184
Alcorn State,2015-2016,30,15,15,0.500,-16.01,-9.94,,13,5,,9,2,,6,9,,2014,2164,,66.5,106.3,0.386,0.354,0.547,49.2,51.3,10.1,8.4,0.511,15.3,32.0,0.271
American,2015-2016,31,12,19,0.387,-14.18,-6.08,,9,9,,5,7,,7,12,,1785,2036,,62.0,105.1,0.401,0.302,0.545,53.2,49.3,11.6,8.2,0.516,16.5,30.2,0.267
Appalachian State,2015-2016,31,9,22,0.290,-7.91,-1.10,,7,13,,6,7,,2,12,,2187,2398,,70.8,109.2,0.398,0.256,0.544,50.3,43.6,9.0,10.8,0.512,13.7,32.3,0.272
Arizona NCAA,2015-2016,34,25,9,0.735,18.79,7.23,,12,6,,17,1,,5,5,,2735,2342,,69.8,96.6,0.293,0.313,0.497,43.5,48.3,7.7,8.4,0.462,14.1,24.7,0.209
Arizona State,2015-2016,32,15,17,0.469,8.28,8.96,,5,13,,11,6,,3,9,,2345,2367,,69.8,105.1,0.381,0.349,0.553,49.6,58.2,8.3,12.9,0.520,16.1,27.8,0.267
Arkansas,2015-2016,32,16,16,0.500,10.23,6.76,,9,9,,13,4,,3,8,,2501,2390,,71.3,102.7,0.428,0.349,0.538,50.0,55.7,7.1,9.7,0.498,17.0,30.0,0.300
Arkansas State,2015-2016,31,11,20,0.355,-7.48,-2.37,,7,13,,9,6,,2,14,,2282,2353,,72.7,102.8,0.382,0.372,0.502,50.3,50.4,8.5,7.3,0.464,13.2,30.6,0.258
Arkansas-Pine Bluff,2015-2016,33,8,25,0.242,-19.31,-5.52,,6,12,,3,6,,4,17,,1867,2322,,65.3,107.3,0.537,0.327,0.544,55.4,59.0,12.5,9.4,0.492,17.0,37.4,0.381
Army,2015-2016,33,19,14,0.576,-7.32,-8.13,,9,9,,7,8,,11,6,,2539,2474,,72.2,101.6,0.318,0.279,0.521,47.9,45.4,9.6,9.2,0.493,14.5,26.9,0.213
Auburn,2015-2016,31,11,20,0.355,0.15,7.54,,5,13,,8,7,,2,11,,2192,2421,,72.5,107.3,0.401,0.355,0.542,52.8,52.8,8.3,11.9,0.505,15.2,32.3,0.280
Austin Peay NCAA,2015-2016,36,18,18,0.500,-6.04,-2.98,,7,9,,7,7,,7,9,,2740,2765,,70.5,107.4,0.309,0.389,0.558,48.2,52.7,9.8,7.7,0.531,16.2,29.5,0.218
Ball State,2015-2016,35,21,14,0.600,0.11,-2.98,,10,8,,13,6,,6,8,,2479,2338,,66.2,98.8,0.375,0.357,0.509,48.3,50.5,9.7,6.8,0.467,14.7,26.2,0.264
Baylor NCAA,2015-2016,34,22,12,0.647,16.13,9.76,,10,8,,15,5,,6,5,,2621,2366,,67.6,101.8,0.376,0.346,0.545,44.4,72.7,9.6,9.4,0.510,17.6,28.2,0.263
Belmont,2015-2016,32,20,12,0.625,1.19,-2.10,,12,4,,11,1,,8,10,,2638,2510,,72.8,107.3,0.367,0.349,0.541,50.7,48.1,9.8,10.9,0.503,14.4,30.7,0.264
Bethune-Cookman,2015-2016,32,14,18,0.438,-14.35,-9.18,,10,6,,9,2,,5,13,,2258,2330,,68.2,105.6,0.336,0.349,0.522,51.5,57.6,7.8,7.5,0.491,14.9,35.5,0.230
Binghamton,2015-2016,30,8,22,0.267,-14.08,-6.35,,5,11,,5,9,,3,13,,1827,2059,,67.4,101.4,0.344,0.362,0.528,52.0,54.5,10.4,8.3,0.496,16.0,28.4,0.238
Boise State,2015-2016,32,20,12,0.625,7.23,3.13,,11,7,,14,2,,5,7,,2480,2246,,70.5,98.8,0.358,0.379,0.544,48.7,49.4,7.4,9.8,0.511,18.6,24.9,0.250
Boston College,2015-2016,32,7,25,0.219,-1.61,7.67,,0,18,,6,11,,0,10,,1959,2256,,67.0,104.9,0.370,0.339,0.554,54.2,58.7,10.9,10.6,0.524,16.9,28.7,0.254
Boston University,2015-2016,34,19,15,0.559,-6.79,-6.37,,11,7,,9,6,,10,9,,2483,2464,,69.4,103.3,0.339,0.370,0.528,49.3,55.5,9.1,7.9,0.497,14.8,27.7,0.232
Bowling Green State,2015-2016,34,16,18,0.471,-5.88,-1.85,,5,13,,7,8,,7,8,,2400,2457,,69.4,104.2,0.346,0.377,0.533,49.4,44.4,8.8,7.6,0.502,14.9,28.2,0.239
Bradley,2015-2016,32,5,27,0.156,-10.91,3.70,,3,15,,4,11,,1,12,,1793,2238,,67.3,103.2,0.517,0.325,0.536,50.9,53.9,11.4,9.8,0.496,15.2,26.3,0.344
Brigham Young,2015-2016,37,26,11,0.703,12.36,2.36,,13,5,,17,2,,6,6,,3093,2692,,74.0,98.0,0.320,0.380,0.515,47.0,54.0,7.5,9.0,0.479,15.7,25.1,0.229
Brown,2015-2016,28,8,20,0.286,-8.05,-2.82,,3,11,,7,6,,1,13,,2040,2155,,70.5,107.2,0.357,0.355,0.534,51.7,53.0,10.8,9.8,0.502,13.8,31.2,0.245
Bryant,2015-2016,31,8,23,0.258,-18.58,-6.71,,5,13,,4,10,,4,13,,2018,2361,,68.4,110.5,0.313,0.404,0.547,53.7,57.1,10.1,9.6,0.514,13.8,33.6,0.228
Bucknell,2015-2016,31,17,14,0.548,-2.09,-5.89,,14,4,,8,7,,9,7,,2448,2288,,71.5,101.2,0.410,0.359,0.525,48.4,57.4,9.6,11.5,0.490,15.6,28.1,0.275
Buffalo NCAA,2015-2016,35,20,15,0.571,1.34,0.90,,10,8,,10,5,,5,9,,2709,2634,,72.6,102.9,0.377,0.360,0.532,48.3,50.6,7.7,8.9,0.493,15.8,28.7,0.270
Butler NCAA,2015-2016,33,22,11,0.667,16.46,7.55,,10,8,,13,3,,5,5,,2638,2344,,69.8,101.3,0.358,0.363,0.533,47.7,50.6,6.6,10.6,0.497,16.4,27.3,0.254
Cal Poly,2015-2016,30,10,20,0.333,-3.49,0.90,,4,12,,5,7,,3,12,,2171,2255,,67.8,109.0,0.383,0.318,0.555,50.2,57.4,7.3,8.8,0.522,13.8,27.8,0.266
Cal State Bakersfield NCAA,2015-2016,33,24,9,0.727,2.58,-5.15,,11,3,,14,1,,7,7,,2405,2104,,68.4,92.6,0.423,0.343,0.497,47.2,48.7,7.8,7.6,0.451,19.1,29.0,0.291
Cal State Fullerton,2015-2016,30,10,20,0.333,-7.12,-0.76,,3,13,,5,8,,5,9,,2104,2227,,70.0,105.6,0.379,0.386,0.538,49.5,58.0,7.7,10.5,0.497,14.2,28.2,0.277
Cal State Northridge,2015-2016,30,10,20,0.333,-6.85,-0.85,,5,11,,5,7,,4,12,,2143,2261,,71.4,103.5,0.347,0.331,0.535,51.4,57.8,9.0,8.7,0.504,16.4,30.8,0.237
California NCAA,2015-2016,34,23,11,0.676,15.39,7.87,,12,6,,18,0,,4,7,,2545,2289,,68.2,97.6,0.375,0.265,0.489,45.5,46.8,7.3,7.8,0.443,12.3,25.3,0.265
Campbell,2015-2016,30,12,18,0.400,-11.07,-6.67,,5,13,,7,9,,5,8,,2207,2203,,70.0,104.5,0.380,0.315,0.546,53.4,45.6,8.5,7.6,0.516,16.7,30.2,0.257
Canisius,2015-2016,33,14,19,0.424,-5.62,-3.77,,8,12,,7,7,,4,11,,2526,2587,,68.9,110.9,0.390,0.384,0.583,52.4,59.0,7.5,9.7,0.549,17.0,32.8,0.283
Central Arkansas,2015-2016,28,7,21,0.250,-15.17,-6.81,,6,12,,4,6,,2,14,,2110,2344,,73.7,113.5,0.387,0.357,0.573,49.6,54.6,9.5,9.8,0.538,13.7,29.8,0.279
Central Connecticut State,2015-2016,29,4,25,0.138,-22.35,-9.24,,3,15,,3,11,,1,14,,1888,2268,,68.9,112.1,0.305,0.327,0.558,51.2,52.7,10.1,9.3,0.534,12.8,30.3,0.211
Central Michigan,2015-2016,33,17,16,0.515,-0.67,-1.30,,10,8,,13,4,,4,8,,2495,2401,,67.4,107.6,0.333,0.343,0.535,51.7,48.5,6.3,7.8,0.504,13.7,30.7,0.231
Charleston Southern,2015-2016,30,9,21,0.300,-10.92,-2.59,,5,13,,6,8,,3,12,,2146,2253,,70.0,106.4,0.365,0.385,0.562,51.1,52.4,8.2,11.8,0.529,15.8,26.4,0.261
Charlotte,2015-2016,33,14,19,0.424,-3.14,-1.72,,9,9,,8,7,,5,8,,2584,2631,,72.1,109.0,0.309,0.337,0.575,50.1,45.6,7.8,8.5,0.548,16.2,27.6,0.223
Chattanooga NCAA,2015-2016,35,29,6,0.829,3.24,-3.46,,15,3,,13,1,,10,4,,2652,2364,,68.1,98.5,0.297,0.361,0.527,47.7,51.0,9.4,10.7,0.500,18.0,28.6,0.202
Chicago State,2015-2016,32,4,28,0.125,-17.52,-1.38,,0,14,,4,9,,0,15,,2140,2478,,72.0,107.5,0.432,0.419,0.565,52.3,66.8,9.3,10.7,0.533,17.6,32.6,0.294
