School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2017-2018,32,16,16,0.500,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,71.5,98.8,0.422,0.374,0.540,50.3,48.1,8.9,7.5,0.499,19.5,28.5,0.298
Air Force,2017-2018,31,12,19,0.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,67.7,106.5,0.328,0.431,0.576,51.3,57.2,8.3,10.6,0.549,18.3,27.8,0.234
Akron,2017-2018,32,14,18,0.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,69.0,107.9,0.383,0.401,0.567,50.8,51.1,9.0,11.7,0.532,16.2,28.0,0.277
Alabama NCAA,2017-2018,36,20,16,0.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16.0,30.8,0.250
Alabama A&M,2017-2018,31,3,28,0.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,68.2,111.5,0.298,0.323,0.562,51.8,52.2,11.2,13.8,0.540,14.4,32.4,0.204
Alabama State,2017-2018,31,8,23,0.258,-18.56,-8.62,,8,10,,4,8,,4,13,,2129,2437,,70.5,111.0,0.466,0.352,0.556,52.1,51.4,9.4,9.9,0.519,15.5,34.7,0.319
Albany (NY),2017-2018,32,22,10,0.688,0.02,-5.40,,10,6,,14,3,,8,7,,2375,2182,,67.3,101.3,0.278,0.362,0.533,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195
Alcorn State,2017-2018,32,11,21,0.344,-18.07,-8.60,,7,11,,9,5,,2,16,,2244,2388,,70.4,105.5,0.384,0.410,0.541,51.6,57.6,8.9,8.8,0.505,16.0,31.2,0.270
American,2017-2018,30,6,24,0.200,-14.63,-6.16,,3,15,,4,8,,2,16,,1961,2215,,67.3,109.3,0.408,0.325,0.582,54.9,53.1,10.3,11.9,0.549,17.8,31.0,0.291
Appalachian State,2017-2018,33,15,18,0.455,-4.83,-2.67,,9,9,,9,4,,4,11,,2520,2448,,72.0,101.6,0.361,0.328,0.535,47.7,47.5,9.1,9.3,0.497,15.8,25.2,0.260
