School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian NCAA,2018-2019,34,27,7,0.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,67.2,93.8,0.370,0.333,0.529,49.7,47.3,8.3,7.4,0.488,21.5,27.3,0.267
Air Force,2018-2019,32,14,18,0.438,-4.28,0.24,,8,10,,9,6,,3,9,,2179,2294,,67.4,104.8,0.286,0.462,0.555,49.9,54.0,10.5,8.2,0.533,15.7,23.8,0.194
Akron,2018-2019,33,17,16,0.515,4.86,1.09,,8,10,,14,3,,1,10,,2271,2107,,68.5,92.9,0.297,0.382,0.481,51.8,45.1,8.2,8.7,0.452,16.6,29.3,0.194
Alabama,2018-2019,34,18,16,0.529,9.45,9.01,,8,10,,10,6,,4,8,,2448,2433,,69.8,102.2,0.296,0.327,0.521,48.0,43.1,9.3,11.7,0.489,14.7,28.0,0.210
Alabama A&M,2018-2019,32,5,27,0.156,-19.23,-8.38,,4,14,,4,7,,0,18,,1938,2285,,67.5,104.5,0.388,0.384,0.558,52.9,53.5,11.3,8.9,0.537,18.3,31.7,0.247
Alabama State,2018-2019,31,12,19,0.387,-15.60,-7.84,,9,9,,8,3,,3,13,,2086,2235,,69.6,102.8,0.361,0.368,0.551,51.0,54.1,10.3,9.4,0.518,18.8,30.8,0.255
Albany (NY),2018-2019,32,12,20,0.375,-9.38,-6.70,,7,9,,6,8,,6,10,,2150,2216,,66.7,102.3,0.297,0.391,0.540,50.3,57.2,9.5,12.3,0.519,16.5,27.7,0.194
Alcorn State,2018-2019,31,10,21,0.323,-22.08,-8.97,,6,12,,10,3,,0,17,,1995,2194,,68.8,102.5,0.355,0.377,0.538,50.1,62.5,11.4,7.7,0.507,16.9,29.1,0.244
American,2018-2019,30,15,15,0.500,-4.19,-7.23,,9,9,,8,7,,6,8,,2161,2070,,67.7,100.2,0.348,0.304,0.520,49.6,50.2,9.2,9.2,0.482,15.5,27.3,0.248
Appalachian State,2018-2019,32,11,21,0.344,-3.73,0.10,,6,12,,9,5,,2,12,,2557,2539,,73.7,106.8,0.336,0.336,0.559,51.4,45.6,9.5,8.9,0.529,15.8,28.7,0.237
Arizona,2018-2019,32,17,15,0.531,8.32,6.32,,8,10,,12,5,,4,7,,2269,2205,,68.6,99.7,0.350,0.369,0.538,49.5,47.8,7.8,10.6,0.509,18.0,25.9,0.238
Arizona State NCAA,2018-2019,34,23,11,0.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,72.5,99.6,0.386,0.435,0.525,47.4,54.2,8.8,8.7,0.485,16.7,26.5,0.272
Arkansas,2018-2019,34,18,16,0.529,11.75,8.78,,8,10,,12,6,,5,8,,2559,2458,,71.7,100.1,0.417,0.420,0.532,53.0,54.0,8.6,9.0,0.494,19.3,34.5,0.287
Arkansas State,2018-2019,32,13,19,0.406,-7.10,-1.23,,7,11,,10,4,,2,13,,2359,2475,,70.2,107.6,0.426,0.368,0.553,48.5,50.9,8.4,9.5,0.506,15.1,29.1,0.316
Arkansas-Pine Bluff,2018-2019,32,13,19,0.406,-14.43,-8.18,,10,8,,8,2,,4,17,,2108,2269,,67.3,103.7,0.441,0.330,0.548,50.6,55.7,11.0,9.5,0.513,17.6,29.9,0.298
Army,2018-2019,32,13,19,0.406,-7.57,-4.73,,8,10,,10,4,,3,13,,2268,2305,,71.7,100.5,0.281,0.407,0.549,51.1,52.7,9.4,12.4,0.527,17.2,22.1,0.191
Auburn NCAA,2018-2019,40,30,10,0.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,69.2,98.4,0.359,0.435,0.545,50.8,52.2,8.1,11.7,0.512,21.3,31.7,0.254
Austin Peay,2018-2019,33,22,11,0.667,0.59,-4.41,,13,5,,10,2,,8,7,,2712,2413,,71.8,100.6,0.337,0.378,0.544,48.3,51.9,7.8,7.9,0.514,19.0,29.1,0.234
Ball State,2018-2019,33,16,17,0.485,3.39,1.21,,6,12,,7,7,,8,7,,2478,2362,,71.7,98.3,0.299,0.349,0.504,48.5,45.4,9.3,8.7,0.470,15.4,28.1,0.210
Baylor NCAA,2018-2019,34,20,14,0.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,66.5,101.4,0.365,0.382,0.525,45.9,55.6,8.9,12.6,0.491,16.1,28.9,0.249
Belmont NCAA,2018-2019,33,27,6,0.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,74.2,98.8,0.270,0.352,0.512,47.8,44.9,8.1,9.9,0.484,14.5,24.1,0.188
Bethune-Cookman,2018-2019,31,14,17,0.452,-11.98,-9.74,,9,7,,11,4,,3,12,,2290,2245,,74.3,96.7,0.361,0.357,0.504,47.9,55.9,9.5,10.0,0.467,17.6,30.2,0.246
Binghamton,2018-2019,33,10,23,0.303,-13.92,-4.69,,5,11,,5,11,,5,12,,2152,2376,,67.3,107.0,0.246,0.390,0.538,54.4,61.6,10.2,9.0,0.519,14.7,31.1,0.163
Boise State,2018-2019,33,13,20,0.394,3.61,1.08,,7,11,,8,7,,3,10,,2364,2263,,66.5,102.3,0.328,0.403,0.554,50.2,51.8,7.2,8.3,0.518,16.8,24.2,0.243
Boston College,2018-2019,31,14,17,0.452,5.83,7.76,,5,13,,10,8,,2,8,,2196,2256,,68.4,104.7,0.294,0.405,0.521,51.3,54.2,8.4,8.6,0.484,14.2,31.5,0.219
Boston University,2018-2019,33,15,18,0.455,-6.61,-5.39,,7,11,,7,7,,8,10,,2385,2387,,68.1,105.8,0.318,0.397,0.569,48.5,52.4,8.8,8.3,0.539,16.4,24.7,0.232
Bowling Green State,2018-2019,34,22,12,0.647,4.24,0.86,,12,6,,14,2,,5,8,,2668,2496,,72.8,100.0,0.301,0.435,0.529,46.5,47.0,8.9,7.2,0.500,15.8,23.8,0.209
Bradley NCAA,2018-2019,35,20,15,0.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,66.2,98.3,0.351,0.398,0.518,49.3,53.3,8.4,7.4,0.477,16.4,26.2,0.254
Brigham Young,2018-2019,32,19,13,0.594,6.15,3.31,,11,5,,13,3,,5,8,,2527,2436,,71.9,104.6,0.354,0.366,0.545,51.0,51.1,7.9,7.2,0.507,15.5,26.8,0.260
Brown,2018-2019,32,20,12,0.625,-0.62,-3.29,,7,7,,13,3,,7,9,,2355,2204,,72.6,94.2,0.302,0.409,0.510,50.0,49.6,9.1,9.3,0.479,18.3,25.6,0.208
Bryant,2018-2019,30,10,20,0.333,-15.19,-7.66,,7,11,,8,6,,2,13,,2088,2314,,69.2,111.5,0.354,0.381,0.581,52.7,54.8,8.5,11.9,0.549,16.2,30.3,0.261
Bucknell,2018-2019,33,21,12,0.636,0.59,-2.93,,13,5,,12,3,,7,8,,2534,2418,,71.4,102.3,0.324,0.346,0.525,50.2,49.8,9.5,9.2,0.492,14.6,27.4,0.228
Buffalo NCAA,2018-2019,36,32,4,0.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,74.5,94.7,0.315,0.363,0.509,47.6,40.6,7.1,8.5,0.474,18.1,26.3,0.221
Butler,2018-2019,33,16,17,0.485,9.22,8.10,,7,11,,12,4,,2,10,,2374,2337,,67.1,104.8,0.363,0.394,0.559,51.7,49.7,7.8,10.7,0.527,16.8,27.4,0.256
Cal Poly,2018-2019,29,6,23,0.207,-13.95,-3.54,,2,14,,4,8,,1,14,,1930,2183,,66.8,110.3,0.374,0.332,0.555,53.2,54.2,7.8,9.9,0.522,13.8,30.6,0.263
Cal State Bakersfield,2018-2019,34,18,16,0.529,-5.12,-2.63,,7,9,,9,4,,7,10,,2412,2412,,67.6,103.7,0.517,0.415,0.563,46.7,56.2,7.5,6.8,0.512,18.1,27.8,0.380
Cal State Fullerton,2018-2019,34,16,18,0.471,-3.29,-1.14,,10,6,,9,4,,4,11,,2437,2414,,70.3,99.1,0.341,0.333,0.512,49.7,48.5,7.6,6.6,0.478,14.9,25.7,0.233
Cal State Northridge,2018-2019,34,13,21,0.382,-6.54,-3.39,,7,9,,7,9,,4,11,,2601,2701,,72.1,109.0,0.322,0.358,0.550,52.1,52.3,8.2,7.3,0.516,14.7,31.9,0.238
California,2018-2019,31,8,23,0.258,-3.16,5.42,,3,15,,7,9,,1,10,,2121,2387,,68.5,112.0,0.361,0.418,0.596,55.4,55.3,7.2,8.7,0.569,17.9,31.5,0.259
California Baptist,2018-2019,31,16,15,0.516,-3.89,-4.12,,7,9,,8,7,,8,6,,2403,2241,,70.1,101.6,0.370,0.337,0.521,47.9,44.7,7.9,7.0,0.480,14.1,25.6,0.264
Campbell,2018-2019,33,20,13,0.606,-3.62,-4.39,,12,4,,12,4,,5,8,,2495,2328,,68.0,103.3,0.341,0.414,0.556,52.2,50.9,8.3,6.9,0.522,17.6,27.1,0.250
Canisius,2018-2019,32,15,17,0.469,-8.79,-4.85,,11,7,,5,8,,9,5,,2250,2376,,68.5,107.1,0.369,0.373,0.567,52.7,48.6,7.8,9.3,0.536,17.9,31.5,0.262
Central Arkansas,2018-2019,33,14,19,0.424,-11.37,-4.81,,8,10,,8,5,,5,13,,2383,2498,,72.0,104.3,0.339,0.403,0.540,51.8,56.6,8.6,7.5,0.508,15.9,29.3,0.237
Central Connecticut State,2018-2019,31,11,20,0.355,-14.02,-6.71,,5,13,,5,7,,5,12,,2205,2367,,70.4,106.7,0.367,0.445,0.555,49.9,58.5,9.5,10.0,0.521,16.1,29.5,0.260
