School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Iona,33,16,17,0.485,-5.19,-5.95,,10,10,,9,5,,5,8,,2354,2329,,68.0,103.8,0.375,0.400,0.566,53.1,56.5,8.2,10.4,0.528,19.6,31.0,0.277,2023-2024
Iowa,34,19,15,0.559,13.00,9.26,,10,10,,13,4,,4,9,,2827,2700,,72.6,108.9,0.329,0.360,0.552,51.1,54.0,8.1,8.4,0.523,14.3,30.3,0.232,2023-2024
Iowa State NCAA,37,29,8,0.784,22.30,8.51,,13,5,,18,0,,5,5,,2787,2277,,67.9,90.6,0.348,0.452,0.512,49.5,58.7,8.9,8.8,0.474,22.2,29.3,0.246,2023-2024
IU Indy,32,6,26,0.188,-21.31,-4.62,,2,18,,4,10,,2,14,,2108,2554,,68.8,115.5,0.334,0.375,0.603,53.0,55.3,10.6,7.7,0.578,16.9,34.9,0.242,2023-2024
Jackson State,32,15,17,0.469,-11.50,-7.15,,11,7,,6,2,,7,13,,2279,2418,,70.0,107.6,0.345,0.396,0.558,49.3,54.9,10.4,9.6,0.526,16.5,32.0,0.247,2023-2024
Jacksonville,33,16,17,0.485,-9.84,-4.87,,5,11,,11,3,,4,14,,2371,2389,,68.6,105.2,0.390,0.398,0.544,46.7,50.7,10.3,8.8,0.506,16.0,29.6,0.276,2023-2024
Jacksonville State,32,14,18,0.438,-3.55,-3.14,,6,10,,8,7,,5,10,,2240,2126,,67.1,98.7,0.339,0.357,0.528,45.5,46.3,10.5,7.8,0.494,16.6,24.5,0.238,2023-2024
James Madison NCAA,36,32,4,0.889,8.19,-3.75,,15,3,,14,1,,12,2,,2995,2506,,71.6,96.2,0.341,0.357,0.510,46.8,43.8,8.2,8.8,0.469,17.4,26.9,0.249,2023-2024
Kansas NCAA,34,23,11,0.676,16.35,11.32,,10,8,,15,1,,3,7,,2569,2376,,69.9,99.6,0.282,0.413,0.510,48.3,52.0,9.7,6.8,0.480,14.5,26.3,0.196,2023-2024
Kansas City,32,16,16,0.500,-5.32,-4.50,,10,6,,10,3,,6,9,,2300,2217,,67.3,101.4,0.430,0.374,0.540,47.1,49.6,8.6,7.6,0.497,16.5,25.8,0.306,2023-2024
Kansas State,34,19,15,0.559,11.06,9.97,,8,10,,15,3,,2,9,,2454,2417,,68.4,101.3,0.331,0.367,0.505,48.1,53.0,11.9,10.7,0.468,13.8,30.5,0.233,2023-2024
Kennesaw State,31,15,16,0.484,-8.02,-5.84,,6,10,,9,5,,4,11,,2568,2504,,75.4,106.3,0.408,0.387,0.547,49.9,47.7,9.2,12.0,0.507,15.5,29.5,0.294,2023-2024
Kent State,34,17,17,0.500,-0.76,-2.54,,8,10,,9,6,,4,9,,2544,2424,,67.7,103.4,0.345,0.398,0.548,49.0,50.6,9.2,8.6,0.512,16.9,28.7,0.251,2023-2024
Kentucky NCAA,33,23,10,0.697,16.79,7.46,,13,5,,14,4,,7,3,,2938,2630,,73.9,106.7,0.334,0.402,0.531,49.5,52.2,8.6,8.7,0.496,13.6,30.5,0.239,2023-2024
La Salle,33,16,17,0.485,-1.62,0.85,,6,12,,11,6,,3,10,,2398,2411,,67.3,106.9,0.327,0.326,0.537,52.0,51.2,7.3,9.6,0.503,13.7,30.3,0.235,2023-2024
Lafayette,32,11,21,0.344,-11.17,-6.01,,10,8,,5,10,,6,9,,2010,2154,,65.3,101.5,0.310,0.384,0.521,52.7,51.5,9.5,9.0,0.483,15.4,29.2,0.229,2023-2024
Lamar,33,19,14,0.576,-5.47,-8.28,,12,6,,11,3,,5,11,,2568,2406,,70.5,101.8,0.394,0.400,0.528,48.0,58.5,10.2,7.7,0.488,16.9,30.9,0.278,2023-2024
Le Moyne,32,15,17,0.469,-11.07,-9.55,,9,7,,10,3,,5,14,,2318,2245,,69.2,101.0,0.257,0.433,0.522,52.8,56.6,9.0,7.6,0.495,16.5,30.1,0.183,2023-2024
Lehigh,32,14,18,0.438,-7.47,-6.60,,9,9,,6,7,,8,11,,2326,2272,,69.9,99.3,0.288,0.370,0.532,50.3,46.9,9.1,9.8,0.504,16.1,23.1,0.200,2023-2024
Liberty,32,18,14,0.563,1.58,-1.56,,7,9,,12,3,,2,8,,2362,2096,,66.0,98.5,0.286,0.323,0.522,48.9,40.3,8.8,11.8,0.489,15.6,23.8,0.207,2023-2024
Lindenwood,31,9,22,0.290,-18.73,-7.23,,3,15,,4,10,,3,12,,2019,2266,,68.1,106.9,0.378,0.383,0.568,53.2,51.2,9.1,9.8,0.533,16.3,28.3,0.274,2023-2024
Lipscomb,32,20,12,0.625,-1.94,-5.04,,11,5,,12,2,,6,9,,2626,2448,,71.2,107.5,0.228,0.374,0.548,51.2,41.8,7.2,9.8,0.526,14.2,28.3,0.163,2023-2024
Little Rock,34,21,13,0.618,-3.42,-8.24,,14,4,,14,4,,6,6,,2628,2464,,69.9,103.0,0.353,0.384,0.524,48.4,48.8,8.0,7.2,0.481,15.3,30.1,0.262,2023-2024
Long Beach State NCAA,36,21,15,0.583,-1.19,-1.19,,10,10,,8,5,,9,7,,2786,2735,,72.9,103.5,0.312,0.439,0.540,48.0,59.0,9.7,6.1,0.507,16.2,29.1,0.226,2023-2024
Long Island University,29,7,22,0.241,-17.86,-7.58,,6,10,,5,5,,1,17,,1929,2227,,71.3,106.8,0.410,0.343,0.544,52.0,54.9,12.0,10.2,0.508,13.9,28.7,0.284,2023-2024
Longwood NCAA,35,21,14,0.600,-2.04,-4.76,,6,10,,13,3,,6,10,,2615,2396,,67.9,99.4,0.351,0.400,0.540,43.7,49.7,9.3,7.0,0.509,17.7,24.5,0.241,2023-2024
Louisiana,33,19,14,0.576,-0.60,-2.67,,10,8,,11,3,,5,9,,2504,2365,,70.4,101.8,0.399,0.318,0.536,50.8,43.9,9.9,9.9,0.493,18.1,32.3,0.288,2023-2024
Louisiana State,33,17,16,0.515,8.14,6.75,,9,9,,12,6,,3,7,,2520,2474,,70.7,105.6,0.337,0.414,0.538,49.6,48.7,11.6,11.2,0.497,15.6,31.4,0.254,2023-2024
Louisiana Tech,32,22,10,0.688,4.83,-1.69,,12,4,,14,2,,8,7,,2392,2065,,67.5,94.9,0.316,0.364,0.490,45.8,45.5,10.2,8.1,0.451,16.2,27.9,0.224,2023-2024
Louisiana-Monroe,30,11,19,0.367,-10.05,-2.44,,6,12,,8,6,,3,12,,2096,2233,,69.1,107.3,0.368,0.452,0.553,48.0,58.8,10.0,8.8,0.514,15.4,29.3,0.271,2023-2024
Louisville,32,8,24,0.250,0.45,7.51,,3,17,,7,11,,1,10,,2304,2530,,70.4,111.8,0.338,0.392,0.577,50.2,55.3,10.7,9.7,0.546,14.3,27.5,0.247,2023-2024
Loyola (IL),33,23,10,0.697,6.57,2.42,,15,3,,15,2,,7,5,,2412,2228,,69.3,96.7,0.370,0.360,0.510,47.7,49.5,9.6,12.2,0.463,15.9,24.8,0.272,2023-2024
Loyola (MD),32,7,25,0.219,-16.17,-6.94,,5,13,,2,11,,5,13,,2049,2301,,65.7,108.2,0.323,0.369,0.559,48.9,51.9,11.0,10.9,0.532,13.8,25.8,0.226,2023-2024
Loyola Marymount,31,12,19,0.387,-0.06,0.31,,5,11,,8,8,,3,7,,2244,2214,,66.4,107.6,0.293,0.318,0.535,48.3,51.2,8.7,10.2,0.502,11.3,26.7,0.214,2023-2024
Maine,32,15,17,0.469,-6.39,-4.87,,7,9,,8,4,,5,13,,2164,2159,,68.1,98.3,0.321,0.328,0.522,52.0,52.1,9.2,9.0,0.492,17.0,27.3,0.220,2023-2024
Manhattan,30,7,23,0.233,-15.28,-4.86,,4,16,,3,10,,4,12,,1985,2275,,69.2,108.2,0.264,0.338,0.553,53.5,60.1,11.6,11.1,0.526,14.8,30.5,0.194,2023-2024
Marist,31,18,13,0.581,-5.64,-8.09,,12,8,,9,4,,8,8,,2004,1928,,65.5,94.9,0.350,0.383,0.506,50.8,43.9,10.3,7.6,0.471,18.0,26.8,0.238,2023-2024
Marquette NCAA,37,27,10,0.730,19.27,11.02,,14,6,,14,2,,7,5,,2888,2583,,69.4,100.2,0.269,0.428,0.531,52.2,59.4,8.2,8.6,0.498,18.3,30.8,0.201,2023-2024
Marshall,33,13,20,0.394,-5.42,-1.39,,7,11,,8,7,,3,9,,2435,2531,,72.5,105.7,0.295,0.349,0.539,49.7,48.2,10.3,7.0,0.510,14.3,28.0,0.208,2023-2024
Maryland,33,16,17,0.485,10.60,7.44,,7,13,,11,6,,4,8,,2278,2174,,66.3,98.3,0.335,0.301,0.514,49.3,48.0,8.7,10.3,0.467,16.4,29.1,0.256,2023-2024
Maryland-Baltimore County,32,11,21,0.344,-8.67,-5.93,,6,10,,6,9,,5,12,,2517,2583,,74.7,107.6,0.286,0.361,0.534,51.7,45.5,10.8,7.3,0.502,13.1,30.6,0.209,2023-2024
Maryland-Eastern Shore,29,9,20,0.310,-17.33,-6.33,,4,10,,9,4,,0,15,,1890,2046,,68.3,102.0,0.365,0.355,0.528,51.6,49.3,10.5,7.9,0.496,16.9,31.5,0.248,2023-2024
Massachusetts,31,20,11,0.645,7.59,0.88,,11,7,,13,3,,4,6,,2401,2193,,69.2,101.8,0.386,0.384,0.528,47.0,55.1,9.0,8.3,0.485,16.4,30.1,0.279,2023-2024
Massachusetts-Lowell,32,22,10,0.688,-1.28,-6.07,,11,5,,12,3,,10,7,,2561,2261,,72.6,96.6,0.252,0.341,0.491,44.9,42.7,10.8,8.7,0.463,14.1,26.1,0.174,2023-2024
McNeese State NCAA,34,30,4,0.882,6.42,-6.81,,17,1,,18,0,,11,3,,2719,2116,,67.6,92.1,0.317,0.481,0.503,47.8,59.0,6.8,8.1,0.466,20.9,30.1,0.226,2023-2024
Memphis,32,22,10,0.688,9.00,4.25,,11,7,,13,2,,7,6,,2576,2424,,72.0,104.4,0.296,0.427,0.531,49.7,53.3,9.9,11.6,0.500,16.3,33.6,0.212,2023-2024
Mercer,33,16,17,0.485,-4.65,-2.55,,8,10,,10,6,,4,9,,2348,2371,,67.5,106.4,0.394,0.362,0.547,50.5,45.0,9.4,7.4,0.507,15.7,31.0,0.285,2023-2024
Merrimack,33,21,12,0.636,-5.24,-8.43,,13,3,,13,2,,7,9,,2283,2159,,68.6,94.6,0.311,0.316,0.502,54.8,56.4,10.0,10.0,0.467,20.0,34.4,0.218,2023-2024
Miami (FL),32,15,17,0.469,9.59,7.46,,6,14,,11,6,,2,9,,2424,2356,,69.9,104.9,0.223,0.460,0.533,49.4,57.4,10.2,9.4,0.510,14.4,28.6,0.159,2023-2024
Miami (OH),32,15,17,0.469,-6.45,-4.08,,9,9,,9,6,,6,10,,2259,2241,,68.5,101.8,0.315,0.365,0.521,52.4,47.3,9.4,9.9,0.485,15.7,29.6,0.229,2023-2024
Michigan,32,8,24,0.250,5.28,11.34,,3,17,,5,10,,2,10,,2334,2528,,68.9,113.3,0.305,0.326,0.555,49.6,46.4,11.0,10.6,0.525,11.9,30.4,0.222,2023-2024
Michigan State NCAA,35,20,15,0.571,17.72,10.89,,10,10,,14,4,,3,7,,2551,2312,,66.4,99.1,0.324,0.416,0.517,49.2,54.8,8.0,7.8,0.481,16.2,28.5,0.232,2023-2024
Middle Tennessee,33,14,19,0.424,-7.45,-0.52,,7,9,,11,6,,1,10,,2167,2319,,66.8,103.3,0.295,0.303,0.523,51.0,43.0,9.6,10.5,0.489,14.2,30.6,0.214,2023-2024
Milwaukee,35,20,15,0.571,-5.01,-4.47,,12,8,,12,4,,6,9,,2782,2753,,70.9,109.0,0.330,0.381,0.542,48.0,56.1,9.7,11.1,0.504,13.7,31.7,0.247,2023-2024
Minnesota,34,19,15,0.559,9.51,6.40,,9,11,,16,4,,3,9,,2550,2444,,67.7,105.7,0.296,0.305,0.536,48.5,57.2,10.5,9.1,0.504,14.0,28.8,0.215,2023-2024
Mississippi,32,20,12,0.625,8.30,7.27,,7,11,,14,4,,4,7,,2398,2365,,68.6,107.8,0.323,0.370,0.535,52.5,55.4,9.6,8.0,0.502,15.3,36.2,0.230,2023-2024
Mississippi State NCAA,35,21,14,0.600,14.19,9.16,,8,10,,11,4,,2,8,,2593,2417,,68.7,100.2,0.318,0.412,0.521,46.1,48.6,10.6,10.6,0.480,16.0,27.8,0.239,2023-2024
Mississippi Valley State,31,1,30,0.032,-26.17,-3.91,,1,17,,1,8,,0,22,,1719,2409,,66.2,116.8,0.416,0.365,0.588,54.9,54.1,13.2,8.7,0.556,14.7,35.7,0.297,2023-2024
Missouri,32,8,24,0.250,3.27,7.30,,0,18,,6,11,,2,10,,2309,2438,,68.4,110.9,0.424,0.398,0.558,54.5,52.8,9.4,9.7,0.513,15.8,35.7,0.314,2023-2024
Missouri State,33,17,16,0.515,0.98,1.01,,8,12,,9,5,,4,10,,2351,2352,,68.4,102.7,0.249,0.388,0.509,46.7,49.8,9.4,8.8,0.480,11.5,24.7,0.179,2023-2024
Monmouth,33,18,15,0.545,-3.17,-2.98,,10,8,,13,1,,2,13,,2390,2396,,68.1,106.7,0.333,0.432,0.539,51.1,56.2,8.2,9.9,0.500,15.3,32.3,0.248,2023-2024
Montana,36,24,12,0.667,-1.41,-4.11,,12,6,,13,3,,8,7,,2768,2586,,67.2,106.2,0.339,0.323,0.534,48.9,43.2,8.6,8.2,0.498,12.6,26.3,0.244,2023-2024
Montana State NCAA,35,17,18,0.486,-5.34,-4.46,,9,9,,10,7,,4,10,,2635,2606,,69.7,105.3,0.359,0.341,0.557,53.6,46.2,8.4,7.6,0.524,16.8,28.4,0.256,2023-2024
Morehead State NCAA,35,26,9,0.743,0.51,-5.52,,14,4,,14,1,,9,7,,2635,2220,,66.2,95.8,0.293,0.332,0.486,43.9,42.0,8.9,8.1,0.443,13.8,25.3,0.220,2023-2024
Morgan State,31,11,20,0.355,-16.07,-5.90,,7,7,,8,5,,3,12,,2253,2402,,71.7,107.3,0.384,0.322,0.534,51.3,47.9,11.3,8.4,0.500,15.1,35.2,0.263,2023-2024
Mount St. Mary's,32,13,19,0.406,-6.54,-7.45,,9,11,,8,5,,5,13,,2327,2298,,69.3,102.4,0.303,0.348,0.532,48.0,49.6,12.7,7.4,0.493,15.7,27.9,0.229,2023-2024
Murray State,32,12,20,0.375,0.36,1.59,,9,11,,8,8,,4,9,,2232,2237,,65.5,106.3,0.271,0.425,0.566,50.4,53.4,7.4,8.8,0.541,16.1,25.2,0.195,2023-2024
Navy,31,13,18,0.419,-11.70,-9.54,,8,10,,10,5,,3,13,,2060,2067,,65.4,101.1,0.351,0.411,0.534,50.3,55.5,7.2,12.3,0.497,17.8,30.1,0.251,2023-2024
NC State NCAA,41,26,15,0.634,12.81,8.93,,9,11,,12,5,,4,7,,3101,2942,,68.5,103.5,0.316,0.368,0.531,50.6,50.5,7.4,7.9,0.495,15.3,29.1,0.232,2023-2024
Nebraska NCAA,34,23,11,0.676,14.36,7.53,,12,8,,18,1,,3,8,,2643,2411,,69.4,101.1,0.277,0.414,0.499,49.8,52.5,8.8,11.1,0.467,13.8,30.3,0.194,2023-2024
Nevada NCAA,34,26,8,0.765,12.85,4.58,,13,5,,15,2,,8,3,,2582,2276,,66.9,99.6,0.339,0.415,0.520,48.7,55.9,7.4,6.5,0.485,15.6,26.8,0.237,2023-2024
Nevada-Las Vegas,34,21,13,0.618,8.38,6.25,,12,6,,13,6,,8,4,,2501,2341,,66.2,102.5,0.290,0.387,0.526,49.7,58.6,9.2,9.2,0.490,15.9,30.8,0.219,2023-2024
New Hampshire,31,16,15,0.516,-6.15,-3.61,,7,9,,9,5,,7,10,,2298,2297,,73.3,100.7,0.275,0.388,0.526,51.0,50.5,10.3,13.1,0.495,14.8,24.8,0.201,2023-2024
New Mexico NCAA,36,26,10,0.722,15.04,5.38,,10,8,,13,3,,5,6,,2916,2545,,72.5,97.5,0.335,0.363,0.517,47.2,54.2,8.1,9.5,0.477,17.0,26.8,0.245,2023-2024
New Mexico State,32,13,19,0.406,-8.62,0.74,,7,9,,12,3,,1,13,,2166,2318,,68.6,104.3,0.419,0.423,0.533,51.1,56.2,10.3,7.1,0.493,14.7,28.2,0.294,2023-2024
New Orleans,33,10,23,0.303,-16.80,-5.90,,4,14,,7,6,,2,15,,2427,2622,,73.2,108.2,0.370,0.316,0.558,53.6,53.6,8.7,9.2,0.523,17.1,34.6,0.267,2023-2024
Niagara,32,16,16,0.500,-8.40,-7.21,,11,9,,5,9,,10,6,,2319,2307,,67.9,105.0,0.309,0.277,0.548,50.8,41.4,9.6,8.8,0.519,14.7,26.3,0.220,2023-2024
Nicholls State,34,20,14,0.588,-7.14,-5.37,,13,5,,10,2,,8,10,,2512,2514,,67.8,105.6,0.385,0.359,0.525,51.1,49.5,10.9,11.1,0.491,14.0,31.6,0.260,2023-2024
NJIT,28,7,21,0.250,-14.65,-4.46,,3,13,,5,8,,2,13,,1902,2101,,68.6,109.4,0.392,0.355,0.554,52.1,54.0,8.8,9.7,0.522,14.9,32.0,0.271,2023-2024
Norfolk State,35,24,11,0.686,-5.76,-7.76,,11,3,,15,0,,6,8,,2608,2364,,68.3,98.5,0.412,0.451,0.530,49.0,61.2,8.5,7.9,0.485,19.4,30.7,0.297,2023-2024
North Alabama,32,15,17,0.469,-7.17,-5.00,,8,8,,10,4,,5,13,,2447,2435,,68.9,108.7,0.401,0.347,0.547,50.1,47.5,7.4,8.9,0.506,12.7,27.6,0.290,2023-2024
North Carolina NCAA,37,29,8,0.784,21.36,9.90,,17,3,,14,1,,8,2,,3032,2608,,71.3,98.6,0.282,0.358,0.504,45.1,40.0,7.7,9.5,0.467,13.2,23.7,0.209,2023-2024
North Carolina A&T,32,7,25,0.219,-16.31,-3.94,,5,13,,4,7,,2,14,,2098,2494,,68.0,114.6,0.295,0.372,0.566,56.1,53.0,7.8,9.4,0.545,13.6,34.0,0.201,2023-2024
North Carolina Central,31,18,13,0.581,-7.88,-8.84,,9,5,,11,2,,6,9,,2375,2139,,69.2,99.0,0.360,0.363,0.515,50.0,51.0,8.3,9.4,0.472,17.2,32.5,0.262,2023-2024
North Dakota,32,18,14,0.563,-6.24,-6.10,,10,6,,9,5,,7,8,,2408,2300,,67.9,105.4,0.280,0.340,0.542,47.9,39.9,8.6,5.4,0.511,13.9,25.6,0.207,2023-2024
North Dakota State,32,15,17,0.469,-7.57,-3.15,,8,8,,10,4,,5,11,,2388,2366,,66.6,108.1,0.271,0.339,0.549,48.3,42.0,7.8,9.9,0.521,12.3,23.7,0.197,2023-2024
North Florida,32,16,16,0.500,-6.95,-4.84,,9,7,,11,5,,5,11,,2496,2427,,69.4,108.0,0.318,0.301,0.547,51.5,44.3,9.8,10.7,0.513,13.1,28.3,0.233,2023-2024
North Texas,34,19,15,0.559,8.41,4.28,,10,8,,11,4,,6,6,,2353,2169,,63.2,100.2,0.374,0.359,0.516,48.5,45.8,10.5,11.7,0.474,16.6,31.1,0.267,2023-2024
Northeastern,32,12,20,0.375,-6.09,-3.15,,7,11,,7,5,,4,13,,2221,2315,,65.8,109.9,0.283,0.388,0.569,48.0,51.0,9.9,8.4,0.538,14.9,27.7,0.215,2023-2024
Northern Arizona,33,14,19,0.424,-12.17,-4.17,,7,11,,7,5,,6,12,,2265,2529,,69.0,110.2,0.374,0.340,0.563,53.9,47.0,10.6,7.8,0.529,14.6,31.1,0.268,2023-2024
Northern Colorado,33,19,14,0.576,-4.44,-5.25,,12,6,,11,3,,7,8,,2617,2542,,69.9,106.9,0.286,0.400,0.552,49.5,46.7,9.4,7.8,0.520,14.0,25.0,0.214,2023-2024
Northern Illinois,31,11,20,0.355,-9.16,-1.37,,5,13,,5,9,,5,11,,2269,2399,,69.7,109.6,0.345,0.359,0.543,50.7,53.6,9.6,7.0,0.514,13.3,31.2,0.235,2023-2024
Northern Iowa,33,19,14,0.576,3.83,2.86,,12,8,,11,3,,6,8,,2417,2346,,67.7,104.2,0.300,0.415,0.553,49.4,45.4,8.8,8.4,0.517,15.0,22.4,0.231,2023-2024
Northern Kentucky,33,18,15,0.545,-3.66,-3.73,,12,8,,12,3,,6,11,,2470,2416,,69.7,103.5,0.288,0.414,0.540,51.0,55.4,9.1,9.0,0.509,17.7,32.0,0.209,2023-2024
Northwestern NCAA,34,22,12,0.647,12.77,8.50,,12,8,,15,2,,4,7,,2493,2348,,64.8,104.7,0.393,0.374,0.553,51.6,59.2,7.4,10.7,0.515,16.6,27.8,0.283,2023-2024
Northwestern State,32,9,23,0.281,-14.42,-6.32,,7,11,,6,7,,3,13,,2257,2429,,69.3,107.8,0.406,0.372,0.547,52.3,50.4,10.2,11.3,0.512,16.2,34.5,0.283,2023-2024
Notre Dame,33,13,20,0.394,4.94,8.06,,7,13,,9,8,,2,10,,2113,2216,,64.8,102.4,0.274,0.368,0.513,48.8,50.4,9.8,11.6,0.482,13.2,26.7,0.197,2023-2024
Oakland NCAA,36,24,12,0.667,2.02,-1.24,,15,5,,10,3,,9,7,,2751,2634,,68.0,105.8,0.269,0.409,0.537,49.1,62.6,8.6,8.5,0.506,14.1,29.0,0.198,2023-2024
Ohio,33,20,13,0.606,0.48,-4.58,,13,5,,12,3,,5,7,,2551,2309,,68.3,101.3,0.341,0.376,0.522,51.0,44.9,7.2,10.1,0.487,17.0,31.4,0.238,2023-2024
Ohio State,36,22,14,0.611,13.64,8.37,,9,11,,15,5,,2,8,,2718,2528,,67.4,103.1,0.299,0.336,0.519,48.1,47.0,7.5,7.1,0.486,13.7,28.5,0.212,2023-2024
Oklahoma,32,20,12,0.625,14.66,8.07,,8,10,,14,4,,3,6,,2412,2201,,68.4,99.8,0.312,0.357,0.517,47.3,48.0,10.5,10.3,0.475,14.6,26.2,0.237,2023-2024
Oklahoma State,32,12,20,0.375,6.25,7.97,,4,14,,10,8,,1,9,,2272,2327,,68.0,105.7,0.276,0.329,0.544,50.2,45.8,11.7,9.7,0.513,14.7,28.5,0.204,2023-2024
Old Dominion,32,7,25,0.219,-8.35,-1.58,,3,15,,5,10,,1,12,,2268,2464,,71.2,107.3,0.393,0.419,0.548,53.3,57.1,8.4,10.2,0.510,15.6,30.8,0.282,2023-2024
Omaha,33,15,18,0.455,-7.38,-5.07,,7,9,,11,3,,2,13,,2441,2404,,68.0,106.4,0.317,0.431,0.558,50.1,48.7,7.8,6.2,0.525,14.8,24.6,0.235,2023-2024
Oral Roberts,31,12,19,0.387,-7.43,-2.60,,5,11,,9,5,,2,13,,2275,2334,,68.6,108.9,0.301,0.384,0.543,53.8,48.6,7.1,7.5,0.510,13.4,30.4,0.220,2023-2024
Oregon NCAA,36,24,12,0.667,12.22,8.91,,12,8,,13,3,,6,5,,2721,2602,,68.3,104.8,0.323,0.368,0.548,49.7,50.8,7.7,9.3,0.515,15.7,27.3,0.234,2023-2024
Oregon State,32,13,19,0.406,3.28,8.38,,5,15,,12,6,,1,9,,2204,2326,,66.2,107.3,0.355,0.382,0.543,51.2,55.5,9.4,8.4,0.508,14.8,30.8,0.253,2023-2024
Pacific,32,6,26,0.188,-17.42,-0.15,,0,16,,5,12,,1,13,,2071,2553,,69.3,114.3,0.356,0.396,0.585,58.1,51.3,8.9,9.4,0.554,14.5,32.7,0.260,2023-2024
Penn State,33,16,17,0.485,9.22,7.52,,9,11,,13,4,,2,8,,2478,2422,,70.2,103.7,0.363,0.328,0.547,53.4,56.7,8.3,8.8,0.502,17.9,32.2,0.279,2023-2024
Pennsylvania,29,11,18,0.379,-3.33,0.26,,3,11,,9,6,,2,10,,2159,2157,,66.5,110.0,0.266,0.435,0.556,48.3,56.1,8.7,9.2,0.532,13.0,26.6,0.189,2023-2024
Pepperdine,33,13,20,0.394,-2.14,0.70,,5,11,,9,8,,3,8,,2403,2443,,68.4,108.2,0.334,0.312,0.570,49.2,49.7,8.9,5.9,0.540,15.1,25.3,0.241,2023-2024
Pittsburgh,33,22,11,0.667,14.89,6.92,,12,8,,13,5,,7,4,,2495,2232,,67.0,101.0,0.305,0.386,0.529,47.4,51.5,7.5,10.3,0.490,14.8,23.8,0.232,2023-2024
Portland,33,12,21,0.364,-8.20,1.54,,5,11,,9,6,,2,11,,2360,2622,,69.0,114.7,0.221,0.447,0.568,51.8,57.5,9.0,8.3,0.549,11.5,27.9,0.157,2023-2024
Portland State,32,17,15,0.531,-7.15,-4.94,,8,10,,11,2,,5,11,,2302,2299,,69.4,102.7,0.328,0.381,0.540,50.0,54.8,8.2,9.8,0.511,16.5,28.0,0.226,2023-2024
Prairie View,31,10,21,0.323,-15.41,-6.92,,5,13,,5,6,,4,15,,2176,2368,,72.8,104.9,0.464,0.328,0.568,54.8,49.5,9.4,9.5,0.530,19.8,33.8,0.326,2023-2024
Presbyterian,33,14,19,0.424,-8.13,-5.57,,6,10,,8,7,,5,9,,2469,2413,,68.9,105.3,0.416,0.351,0.559,50.4,46.2,8.5,9.1,0.519,16.5,27.5,0.301,2023-2024
Princeton,29,24,5,0.828,6.55,-1.60,,12,2,,12,1,,11,3,,2235,1932,,65.8,101.3,0.249,0.389,0.534,49.0,48.6,7.1,9.5,0.508,15.1,23.6,0.180,2023-2024
Providence,35,21,14,0.600,12.56,8.93,,10,10,,14,5,,4,7,,2534,2407,,68.4,99.5,0.277,0.341,0.508,49.5,43.7,9.8,9.1,0.475,14.8,27.8,0.200,2023-2024
Purdue NCAA,39,34,5,0.872,24.93,11.60,,17,3,,16,0,,7,3,,3211,2691,,68.3,100.1,0.220,0.369,0.503,42.0,54.9,9.8,6.5,0.475,12.1,24.3,0.159,2023-2024
Purdue Fort Wayne,36,23,13,0.639,-0.74,-6.09,,11,9,,11,5,,10,8,,2886,2577,,72.3,98.3,0.320,0.370,0.538,53.1,50.4,7.7,8.3,0.506,19.5,28.7,0.227,2023-2024
Queens (NC),33,14,19,0.424,-8.75,-3.49,,7,9,,11,3,,2,16,,2643,2693,,73.6,110.8,0.294,0.377,0.564,50.4,41.7,8.7,12.3,0.534,13.8,28.7,0.217,2023-2024
Quinnipiac,34,24,10,0.706,-3.08,-7.32,,15,5,,13,3,,10,5,,2630,2422,,71.9,98.7,0.285,0.370,0.514,47.5,51.3,9.4,10.0,0.483,15.7,27.6,0.201,2023-2024
Radford,33,16,17,0.485,-5.66,-3.47,,5,11,,8,5,,4,12,,2377,2361,,65.3,108.4,0.309,0.401,0.529,50.3,46.6,7.3,6.9,0.498,13.4,33.3,0.218,2023-2024
Rhode Island,32,12,20,0.375,-2.26,2.87,,6,12,,9,8,,3,8,,2322,2443,,69.0,110.7,0.295,0.395,0.545,48.3,53.3,10.1,12.4,0.523,11.4,27.8,0.196,2023-2024
Rice,32,11,21,0.344,-3.22,1.97,,5,13,,6,10,,5,7,,2304,2421,,67.5,110.8,0.270,0.385,0.553,50.1,54.3,10.7,9.7,0.523,13.0,29.3,0.201,2023-2024
Richmond,33,23,10,0.697,7.67,2.09,,15,3,,15,1,,7,6,,2372,2188,,67.4,98.0,0.266,0.407,0.503,53.1,47.9,6.9,7.7,0.469,14.9,26.6,0.194,2023-2024
Rider,32,15,17,0.469,-5.73,-4.28,,12,8,,9,4,,6,12,,2309,2308,,69.1,103.1,0.362,0.385,0.524,48.1,51.9,10.9,7.9,0.488,14.3,28.7,0.253,2023-2024
Robert Morris,32,10,22,0.313,-9.57,-4.31,,6,14,,7,9,,3,13,,2326,2425,,68.7,108.6,0.360,0.345,0.555,48.0,50.8,10.5,7.6,0.520,13.7,28.2,0.261,2023-2024
Rutgers,32,15,17,0.469,7.41,8.57,,7,13,,12,5,,3,9,,2092,2129,,68.6,96.6,0.343,0.394,0.509,51.6,54.8,9.5,10.1,0.472,18.6,31.3,0.240,2023-2024
