School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Bradley,35,23,12,0.657,9.48,2.96,,13,7,,14,3,,6,7,,2592,2348,,66.9,99.2,0.352,0.383,0.515,48.8,49.5,9.9,6.2,0.474,16.1,27.8,0.253,2023-2024
Brigham Young NCAA,34,23,11,0.676,19.33,7.86,,10,8,,16,2,,3,7,,2768,2378,,69.9,100.0,0.320,0.340,0.515,45.8,47.3,8.7,7.5,0.482,14.2,24.6,0.224,2023-2024
Brown,31,13,18,0.419,-3.60,-1.73,,8,6,,5,7,,6,8,,2212,2227,,67.8,104.3,0.319,0.382,0.538,48.2,51.3,9.8,9.3,0.509,15.1,26.9,0.222,2023-2024
Bryant,33,20,13,0.606,-3.06,-3.54,,11,5,,11,3,,8,10,,2598,2488,,76.0,98.5,0.324,0.351,0.489,52.9,46.3,9.6,8.4,0.451,14.1,30.1,0.226,2023-2024
Bucknell,33,14,19,0.424,-8.33,-6.39,,10,8,,6,8,,8,11,,2153,2217,,64.1,103.6,0.315,0.422,0.527,50.9,60.2,9.8,10.7,0.495,14.4,28.6,0.221,2023-2024
Buffalo,31,4,27,0.129,-15.12,-2.82,,2,16,,2,13,,2,11,,2108,2471,,70.5,112.6,0.287,0.357,0.564,51.3,53.5,10.8,8.4,0.539,13.1,30.2,0.205,2023-2024
Butler,33,18,15,0.545,12.18,9.49,,9,11,,12,6,,4,7,,2544,2432,,69.4,103.8,0.219,0.371,0.526,50.5,48.6,10.2,10.8,0.500,14.1,29.1,0.162,2023-2024
Cal Poly,32,4,28,0.125,-13.64,-2.28,,0,20,,3,11,,0,16,,2037,2371,,66.7,109.7,0.418,0.305,0.556,55.2,46.8,9.6,8.6,0.513,15.1,33.4,0.307,2023-2024
Cal State Bakersfield,32,13,19,0.406,-5.37,-2.17,,8,12,,10,4,,2,13,,2199,2214,,66.3,103.1,0.464,0.365,0.542,49.1,51.4,8.6,7.6,0.493,17.1,30.9,0.336,2023-2024
Cal State Fullerton,32,14,18,0.438,-5.15,-1.15,,7,13,,7,7,,6,10,,2172,2212,,67.5,102.1,0.349,0.384,0.530,52.0,51.0,9.2,7.8,0.493,16.2,29.2,0.250,2023-2024
Cal State Northridge,34,19,15,0.559,-4.78,-4.13,,9,11,,9,7,,9,7,,2551,2503,,73.5,99.8,0.375,0.446,0.521,46.6,58.7,10.8,7.7,0.477,15.9,26.3,0.274,2023-2024
California,32,13,19,0.406,4.94,8.00,,9,11,,10,6,,3,8,,2367,2465,,69.7,108.0,0.331,0.362,0.546,49.5,47.0,8.3,9.9,0.513,13.0,26.7,0.240,2023-2024
California Baptist,33,16,17,0.485,-2.32,-2.26,,8,12,,11,7,,4,9,,2222,2197,,65.7,100.6,0.295,0.273,0.519,46.4,46.1,8.9,9.8,0.486,13.7,24.0,0.212,2023-2024
Campbell,32,14,18,0.438,-10.62,-5.66,,8,10,,11,6,,3,11,,2272,2307,,67.0,106.4,0.242,0.428,0.537,51.7,51.7,9.7,9.7,0.512,15.0,30.5,0.173,2023-2024
Canisius,32,14,18,0.438,-7.95,-4.89,,8,12,,8,4,,3,12,,2252,2307,,68.5,104.4,0.277,0.314,0.533,47.8,51.0,9.8,7.5,0.505,14.3,28.7,0.196,2023-2024
Central Arkansas,32,9,23,0.281,-15.70,-5.64,,5,11,,5,10,,4,13,,2309,2502,,70.7,110.1,0.330,0.420,0.559,50.6,48.1,10.7,8.2,0.528,14.1,29.8,0.239,2023-2024
Central Connecticut State,31,20,11,0.645,-8.15,-10.15,,13,3,,11,4,,9,7,,2237,2061,,68.0,97.0,0.262,0.350,0.507,48.6,55.0,9.8,8.5,0.482,16.3,27.1,0.176,2023-2024
Central Michigan,32,18,14,0.563,-8.07,-3.59,,12,6,,10,3,,7,9,,2127,2242,,66.3,102.8,0.304,0.407,0.511,50.9,53.1,8.5,8.9,0.473,14.1,30.8,0.224,2023-2024
Charleston Southern,30,10,20,0.333,-12.03,-1.59,,6,10,,7,7,,3,12,,2028,2210,,68.3,107.9,0.328,0.314,0.533,50.4,43.4,9.1,7.5,0.499,12.1,28.6,0.232,2023-2024
Charlotte,31,19,12,0.613,4.09,2.42,,13,5,,13,2,,5,7,,2131,2034,,63.1,103.2,0.309,0.366,0.517,50.3,46.1,9.0,8.1,0.484,13.7,29.0,0.218,2023-2024
Chattanooga,33,21,12,0.636,-0.21,-3.85,,12,6,,12,4,,8,7,,2581,2362,,68.5,103.3,0.268,0.422,0.514,48.4,48.1,9.4,9.4,0.489,13.0,28.4,0.180,2023-2024
Chicago State,32,13,19,0.406,-9.34,-3.03,,,,,6,5,,5,12,,2224,2258,,67.6,103.9,0.336,0.345,0.544,50.8,49.6,10.3,7.9,0.518,18.2,34.6,0.226,2023-2024
Cincinnati,37,22,15,0.595,15.06,8.49,,7,11,,16,5,,4,8,,2765,2522,,68.4,98.4,0.291,0.348,0.516,44.9,53.3,9.6,9.1,0.477,15.4,25.3,0.219,2023-2024
Clemson NCAA,36,24,12,0.667,16.20,10.04,,11,9,,12,4,,6,6,,2785,2563,,67.8,104.3,0.321,0.411,0.520,48.4,44.7,8.9,7.1,0.482,12.1,26.6,0.235,2023-2024
