School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2004-2005,30,18,12,0.600,8.61,2.61,,9,5,,12,1,,4,10,,1835,1629,,,,0.278,0.511,0.568,44.3,63.1,,4.3,0.543,15.5,,0.200
Akron,2004-2005,29,19,10,0.655,7.03,1.68,,11,7,,14,1,,5,8,,2082,1902,,,,0.361,0.377,0.544,48.3,64.5,,6.8,0.516,16.9,,0.244
Alabama NCAA,2004-2005,32,24,8,0.750,16.75,6.81,,12,4,,14,1,,8,4,,2426,2083,,,,0.432,0.373,0.594,53.9,55.3,,7.5,0.557,16.7,,0.318
Alabama A&M NCAA,2004-2005,32,18,14,0.563,-11.96,-12.86,,12,6,,9,3,,6,8,,2229,2169,,,,0.435,0.345,0.486,47.0,55.9,,6.5,0.453,17.6,,0.267
Alabama State,2004-2005,30,15,15,0.500,-15.00,-11.66,,11,7,,9,4,,4,8,,1739,1839,,,,0.440,0.296,0.470,51.2,53.3,,3.9,0.425,20.4,,0.286
Albany (NY),2004-2005,28,13,15,0.464,-2.63,-5.31,,9,9,,7,4,,6,10,,1886,1811,,,,0.399,0.312,0.539,50.6,56.8,,4.5,0.497,19.1,,0.288
Alcorn State,2004-2005,29,7,22,0.241,-23.60,-11.31,,6,12,,5,7,,2,13,,1677,2016,,,,0.402,0.320,0.458,47.3,56.1,,6.5,0.425,23.8,,0.241
American,2004-2005,28,16,12,0.571,-3.19,-4.30,,8,6,,9,3,,6,9,,1881,1850,,,,0.320,0.323,0.543,51.7,53.1,,5.0,0.511,19.5,,0.228
Appalachian State,2004-2005,30,18,12,0.600,-3.76,-4.04,,9,7,,13,1,,3,11,,2192,2070,,,,0.289,0.402,0.535,48.5,60.9,,8.1,0.514,17.9,,0.189
Arizona NCAA,2004-2005,37,30,7,0.811,18.00,8.02,,15,3,,15,1,,8,3,,2948,2579,,,,0.309,0.279,0.570,52.9,56.6,,6.6,0.534,17.5,,0.240
Arizona State,2004-2005,32,18,14,0.563,9.20,5.36,,7,11,,13,5,,4,7,,2433,2310,,,,0.418,0.341,0.551,52.1,63.7,,6.2,0.511,17.5,,0.299
Arkansas,2004-2005,30,18,12,0.600,12.34,3.60,,6,10,,13,3,,2,7,,2147,1885,,,,0.374,0.289,0.539,50.7,56.3,,9.8,0.511,17.7,,0.248
Arkansas State,2004-2005,29,16,13,0.552,-1.18,-1.87,,7,7,,12,2,,3,9,,2207,2097,,,,0.369,0.275,0.537,51.5,53.5,,5.0,0.507,17.2,,0.247
Arkansas-Pine Bluff,2004-2005,28,7,21,0.250,-20.72,-10.30,,5,13,,3,7,,4,13,,1654,1898,,,,0.280,0.280,0.456,47.9,53.1,,8.7,0.425,20.1,,0.182
Army,2004-2005,27,3,24,0.111,-20.27,-5.39,,1,13,,3,11,,0,13,,1510,1832,,,,0.297,0.377,0.510,43.9,59.2,,3.0,0.468,21.9,,0.228
Auburn,2004-2005,31,14,17,0.452,2.06,6.61,,4,12,,8,7,,3,7,,2191,2332,,,,0.321,0.421,0.530,46.8,53.1,,3.4,0.494,17.8,,0.233
Austin Peay,2004-2005,32,13,19,0.406,-3.75,-1.97,,9,7,,7,5,,3,11,,2090,2147,,,,0.358,0.322,0.523,48.6,55.7,,4.8,0.490,18.6,,0.244
Ball State,2004-2005,28,15,13,0.536,4.27,3.31,,10,8,,11,3,,4,8,,1990,1911,,,,0.370,0.341,0.533,51.2,48.3,,4.7,0.499,15.4,,0.254
Baylor,2004-2005,28,9,19,0.321,-2.79,4.10,,1,15,,8,9,,1,9,,1863,2008,,,,0.363,0.411,0.551,45.6,58.3,,3.6,0.519,20.8,,0.254
Belmont,2004-2005,30,14,16,0.467,-7.08,-7.32,,12,8,,9,5,,5,9,,2108,2101,,,,0.337,0.484,0.541,45.1,57.7,,5.8,0.514,18.2,,0.228
Bethune-Cookman,2004-2005,30,13,17,0.433,-15.87,-11.67,,8,10,,6,5,,5,10,,1931,2057,,,,0.321,0.343,0.511,46.1,57.2,,4.5,0.493,20.6,,0.193
Binghamton,2004-2005,29,12,17,0.414,-4.46,-2.56,,8,10,,7,5,,2,10,,1784,1839,,,,0.328,0.375,0.486,50.6,48.4,,6.0,0.454,17.7,,0.215
Birmingham-Southern,2004-2005,30,16,14,0.533,-7.24,-8.24,,7,9,,7,4,,6,9,,1974,1893,,,,0.459,0.401,0.560,52.3,52.0,,4.4,0.517,18.5,,0.331
Boise State,2004-2005,34,16,18,0.471,-2.96,0.60,,6,12,,11,7,,3,10,,2393,2524,,,,0.307,0.370,0.526,49.7,53.3,,4.1,0.497,18.2,,0.210
Boston College NCAA,2004-2005,30,25,5,0.833,14.38,6.42,,13,3,,16,1,,7,2,,2174,1935,,,,0.428,0.293,0.536,53.4,68.6,,7.1,0.493,16.6,,0.305
Boston University,2004-2005,29,20,9,0.690,3.25,-3.86,,14,4,,10,2,,10,6,,1822,1616,,,,0.363,0.270,0.507,50.5,54.0,,9.0,0.473,16.3,,0.244
Bowling Green State,2004-2005,29,18,11,0.621,2.01,1.80,,10,8,,12,3,,6,7,,2023,1990,,,,0.364,0.335,0.586,50.3,68.0,,7.3,0.552,20.1,,0.272
Bradley,2004-2005,28,13,15,0.464,3.24,4.56,,6,12,,12,3,,1,11,,1959,1996,,,,0.358,0.291,0.519,51.7,54.2,,8.8,0.480,19.1,,0.254
Brigham Young,2004-2005,30,9,21,0.300,1.01,6.69,,3,11,,6,8,,2,9,,1972,2070,,,,0.322,0.354,0.519,49.4,53.6,,6.3,0.483,18.8,,0.231
Brown,2004-2005,28,12,16,0.429,-7.29,-5.54,,5,9,,5,6,,6,9,,1849,1898,,,,0.396,0.381,0.525,46.8,60.3,,4.3,0.486,18.6,,0.275
Bucknell NCAA,2004-2005,33,23,10,0.697,2.12,-2.19,,10,4,,12,1,,8,7,,2097,1946,,,,0.424,0.373,0.551,50.3,59.1,,5.8,0.513,21.1,,0.297
Buffalo,2004-2005,33,23,10,0.697,5.93,2.36,,11,7,,13,2,,8,7,,2462,2344,,,,0.368,0.318,0.538,51.4,52.5,,4.6,0.507,18.2,,0.252
Butler,2004-2005,28,13,15,0.464,0.63,-0.83,,7,9,,10,4,,3,9,,1811,1709,,,,0.320,0.462,0.572,45.5,53.1,,4.2,0.541,15.1,,0.237
Cal Poly,2004-2005,27,5,22,0.185,-12.77,-0.56,,3,15,,4,10,,1,12,,1834,2147,,,,0.341,0.359,0.528,47.8,44.7,,5.0,0.487,20.5,,0.253
