School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2023-2024,34,16,18,0.471,-4.12,-1.12,,10,10,,8,6,,5,10,,2452,2500,,71.1,100.3,0.381,0.267,0.522,47.7,50.1,10.7,5.5,0.479,15.6,26.6,0.277
Air Force,2023-2024,31,9,22,0.290,-4.77,1.43,,2,16,,4,12,,5,8,,2051,2243,,63.4,103.6,0.296,0.472,0.560,46.2,62.0,10.2,11.8,0.538,16.9,23.8,0.202
Akron NCAA,2023-2024,35,24,11,0.686,2.77,-2.08,,13,5,,13,1,,7,6,,2577,2316,,66.9,109.6,0.318,0.428,0.555,53.0,49.7,8.4,8.0,0.523,14.5,30.6,0.231
Alabama NCAA,2023-2024,37,25,12,0.676,20.69,11.80,,13,5,,14,2,,5,5,,3335,3006,,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11.0,0.563,13.6,35.0,0.273
Alabama A&M,2023-2024,35,12,23,0.343,-14.35,-7.52,,9,9,,7,5,,4,15,,2414,2653,,71.7,95.8,0.472,0.269,0.514,49.8,45.8,10.4,10.7,0.459,19.4,31.9,0.341
Alabama State,2023-2024,32,13,19,0.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,69.7,97.0,0.284,0.380,0.463,50.1,44.7,12.2,12.0,0.423,13.2,32.4,0.205
Albany (NY),2023-2024,32,13,19,0.406,-6.60,-5.22,,5,11,,8,5,,5,13,,2517,2521,,74.6,105.1,0.288,0.368,0.538,50.0,44.8,11.1,7.4,0.507,15.4,30.5,0.209
Alcorn State,2023-2024,32,14,18,0.438,-11.58,-5.61,,13,5,,7,3,,7,14,,2300,2477,,68.3,104.8,0.378,0.266,0.527,51.4,45.4,10.0,5.7,0.487,14.5,33.6,0.269
American,2023-2024,32,16,16,0.500,-8.96,-8.79,,10,8,,8,7,,8,9,,2200,2176,,63.1,108.1,0.283,0.456,0.557,51.6,57.4,9.1,5.5,0.530,15.0,28.4,0.204
Appalachian State,2023-2024,34,27,7,0.794,6.04,-2.34,,16,2,,15,0,,8,5,,2665,2283,,69.3,110.7,0.313,0.321,0.552,53.4,49.9,8.7,15.4,0.528,13.1,30.7,0.213
Arizona NCAA,2023-2024,36,27,9,0.750,24.54,9.45,,15,5,,15,1,,7,4,,3137,2594,,73.3,116.8,0.364,0.334,0.576,56.6,59.2,11.2,9.5,0.545,13.6,35.6,0.261
Arizona State,2023-2024,32,14,18,0.438,4.58,9.55,,8,12,,10,5,,3,8,,2209,2368,,70.6,97.5,0.331,0.377,0.502,45.0,48.7,11.6,10.2,0.473,13.2,21.9,0.217
Arkansas,2023-2024,33,16,17,0.485,6.12,8.15,,6,12,,12,6,,2,7,,2566,2633,,72.2,106.1,0.453,0.329,0.556,48.7,45.1,8.2,15.0,0.505,14.6,25.2,0.342
Arkansas State,2023-2024,37,20,17,0.541,0.28,-1.53,,11,7,,10,3,,5,11,,2917,2850,,70.0,112.3,0.329,0.428,0.545,52.1,52.5,8.0,10.0,0.515,13.4,34.5,0.231
Arkansas-Pine Bluff,2023-2024,31,13,18,0.419,-15.56,-7.60,,8,10,,8,6,,5,12,,2483,2536,,74.3,107.8,0.375,0.493,0.579,47.5,57.4,7.9,5.4,0.539,16.1,24.3,0.286
Army,2023-2024,32,10,22,0.313,-14.67,-8.93,,6,12,,6,11,,4,11,,1930,2059,,63.1,94.5,0.257,0.451,0.492,50.0,56.7,9.0,12.2,0.477,16.6,27.3,0.151
