School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force NCAA,2005-2006,31,24,7,0.774,10.20,2.49,,12,4,,16,0,,6,5,,1990,1695,,,,0.331,0.484,0.609,45.7,65.2,,4.7,0.581,17.0,,0.246
Akron,2005-2006,33,23,10,0.697,5.00,0.13,,14,4,,13,0,,7,8,,2407,2180,,,,0.374,0.395,0.560,50.7,64.8,,5.8,0.525,16.1,,0.269
Alabama NCAA,2005-2006,31,18,13,0.581,10.79,8.08,,10,6,,14,4,,3,7,,2178,2094,,,,0.415,0.304,0.547,53.2,50.0,,8.3,0.508,17.5,,0.294
Alabama A&M,2005-2006,26,13,13,0.500,-9.12,-10.43,,11,7,,9,3,,4,9,,1917,1872,,,,0.407,0.316,0.500,48.3,48.4,,9.8,0.466,18.1,,0.262
Alabama State,2005-2006,30,12,18,0.400,-12.98,-8.58,,10,8,,7,4,,4,12,,1985,2117,,,,0.409,0.332,0.493,50.2,44.7,,5.2,0.460,19.1,,0.257
Albany (NY) NCAA,2005-2006,32,21,11,0.656,-0.44,-4.25,,13,3,,10,3,,8,7,,2194,2065,,,,0.411,0.355,0.553,51.7,54.2,,4.8,0.515,18.5,,0.292
Alcorn State,2005-2006,28,8,20,0.286,-15.11,-8.03,,8,10,,5,4,,3,15,,1848,2046,,,,0.369,0.341,0.509,49.0,51.7,,5.3,0.477,22.0,,0.242
American,2005-2006,29,12,17,0.414,-8.49,-4.32,,7,7,,7,4,,4,12,,1850,1971,,,,0.345,0.309,0.505,50.9,57.9,,5.7,0.469,19.8,,0.238
Appalachian State,2005-2006,30,14,16,0.467,-7.61,-4.79,,6,8,,8,4,,4,10,,2100,2113,,,,0.323,0.413,0.535,48.5,58.4,,6.6,0.502,18.8,,0.228
Arizona NCAA,2005-2006,33,20,13,0.606,15.12,10.09,,11,7,,12,2,,4,7,,2433,2267,,,,0.327,0.218,0.517,49.8,54.1,,6.9,0.481,15.7,,0.232
Arizona State,2005-2006,28,11,17,0.393,4.36,7.18,,5,13,,8,9,,3,7,,1878,1958,,,,0.374,0.275,0.525,50.1,61.5,,6.0,0.483,19.1,,0.270
Arkansas NCAA,2005-2006,32,22,10,0.688,15.01,6.17,,10,6,,15,1,,3,5,,2359,2076,,,,0.392,0.290,0.541,50.2,58.9,,10.7,0.507,16.4,,0.271
Arkansas State,2005-2006,30,12,18,0.400,-5.49,-1.45,,7,7,,8,5,,2,12,,2189,2259,,,,0.395,0.285,0.545,49.6,51.5,,4.4,0.518,18.7,,0.260
Arkansas-Pine Bluff,2005-2006,29,13,16,0.448,-12.48,-10.81,,8,10,,5,5,,6,10,,1829,1851,,,,0.316,0.280,0.487,47.3,49.4,,7.6,0.452,20.1,,0.215
Army,2005-2006,27,5,22,0.185,-19.89,-5.69,,1,13,,2,11,,3,11,,1491,1790,,,,0.314,0.329,0.491,47.0,56.1,,3.3,0.456,21.9,,0.216
Auburn,2005-2006,28,12,16,0.429,4.92,7.06,,4,12,,11,5,,1,10,,1836,1896,,,,0.351,0.361,0.522,49.1,57.8,,8.0,0.498,20.2,,0.221
Austin Peay,2005-2006,31,17,14,0.548,-5.68,-6.29,,11,9,,11,2,,4,12,,2228,2209,,,,0.421,0.302,0.553,48.9,56.9,,5.3,0.506,18.1,,0.314
Ball State,2005-2006,28,10,18,0.357,-3.53,-0.60,,6,12,,6,8,,4,10,,1779,1821,,,,0.375,0.290,0.509,50.8,51.9,,7.7,0.476,18.5,,0.248
Baylor,2005-2006,17,4,13,0.235,2.30,11.65,,4,12,,4,4,,0,8,,1074,1233,,,,0.323,0.390,0.504,44.8,50.7,,7.5,0.470,19.6,,0.223
Belmont NCAA,2005-2006,31,20,11,0.645,-3.53,-6.72,,15,5,,10,2,,7,8,,2499,2356,,,,0.353,0.380,0.588,50.3,57.7,,5.9,0.565,19.1,,0.244
Bethune-Cookman,2005-2006,30,15,15,0.500,-13.66,-10.49,,11,7,,8,3,,5,11,,1962,2057,,,,0.367,0.315,0.499,47.0,52.3,,3.7,0.473,18.9,,0.226
Binghamton,2005-2006,29,16,13,0.552,-4.73,-5.52,,12,4,,8,6,,7,7,,1812,1783,,,,0.336,0.366,0.485,48.3,47.6,,3.3,0.438,15.6,,0.249
Birmingham-Southern,2005-2006,28,19,9,0.679,-5.81,-8.12,,12,4,,11,2,,6,7,,1922,1794,,,,0.427,0.409,0.567,53.4,56.0,,3.6,0.537,17.1,,0.291
Boise State,2005-2006,29,14,15,0.483,0.83,1.09,,6,10,,10,5,,3,9,,2095,2049,,,,0.315,0.374,0.541,49.2,55.5,,3.4,0.510,18.7,,0.224
Boston College NCAA,2005-2006,36,28,8,0.778,13.79,6.10,,11,5,,14,2,,9,3,,2671,2383,,,,0.425,0.299,0.567,52.8,67.3,,7.9,0.539,16.7,,0.287
Boston University,2005-2006,28,12,16,0.429,-4.45,-3.77,,9,7,,6,5,,5,9,,1650,1669,,,,0.327,0.310,0.493,51.6,63.6,,6.0,0.461,18.3,,0.217
Bowling Green State,2005-2006,30,9,21,0.300,-7.83,0.38,,5,13,,5,8,,4,10,,1978,2142,,,,0.392,0.366,0.545,45.1,61.7,,3.3,0.505,21.5,,0.282
Bradley NCAA,2005-2006,33,22,11,0.667,11.78,5.38,,11,7,,13,1,,5,8,,2359,2148,,,,0.345,0.285,0.524,52.0,62.9,,8.2,0.487,18.1,,0.247
Brigham Young,2005-2006,29,20,9,0.690,7.19,3.19,,12,4,,14,1,,4,7,,2209,2078,,,,0.366,0.308,0.556,51.3,59.1,,6.7,0.522,17.6,,0.262
Brown,2005-2006,27,10,17,0.370,-11.37,-6.66,,6,8,,4,8,,6,7,,1613,1740,,,,0.449,0.359,0.505,49.5,62.0,,5.6,0.464,21.4,,0.296
Bucknell NCAA,2005-2006,32,27,5,0.844,7.29,-2.29,,14,0,,14,1,,11,3,,2114,1785,,,,0.429,0.322,0.563,52.4,62.9,,3.6,0.528,20.2,,0.299
Buffalo,2005-2006,32,19,13,0.594,-0.10,-1.22,,8,10,,12,3,,5,9,,2317,2247,,,,0.439,0.325,0.548,51.7,53.5,,4.1,0.498,19.8,,0.330
Butler,2005-2006,33,20,13,0.606,6.22,0.44,,11,5,,12,1,,5,10,,2254,2032,,,,0.317,0.456,0.567,43.6,55.6,,4.6,0.541,12.8,,0.224
Cal Poly,2005-2006,29,10,19,0.345,-6.00,-0.56,,7,7,,6,7,,3,11,,1907,2052,,,,0.336,0.401,0.522,51.2,50.4,,3.7,0.489,19.3,,0.233
Cal State Fullerton,2005-2006,29,16,13,0.552,-2.24,-3.07,,5,9,,7,5,,7,6,,2293,2183,,,,0.325,0.318,0.549,53.0,51.5,,3.8,0.526,17.3,,0.217
Cal State Northridge,2005-2006,28,11,17,0.393,-8.67,-1.46,,4,10,,6,6,,4,9,,1986,2072,,,,0.437,0.288,0.534,49.5,58.2,,5.6,0.484,20.9,,0.321
California NCAA,2005-2006,31,20,11,0.645,12.31,8.84,,12,6,,12,3,,7,4,,2128,2000,,,,0.448,0.283,0.549,51.2,56.1,,5.0,0.502,16.5,,0.329
Campbell,2005-2006,28,10,18,0.357,-12.28,-8.11,,9,11,,5,8,,5,9,,2319,2408,,,,0.365,0.428,0.538,52.2,59.0,,4.2,0.514,19.1,,0.234
Canisius,2005-2006,29,9,20,0.310,-6.04,-1.80,,6,12,,4,9,,4,10,,2050,2173,,,,0.301,0.336,0.543,48.1,52.6,,4.9,0.511,17.3,,0.218
Centenary (LA),2005-2006,27,4,23,0.148,-15.59,-3.78,,2,14,,3,10,,1,13,,1796,2092,,,,0.335,0.317,0.530,47.1,62.7,,4.5,0.496,22.0,,0.237
Central Connecticut State,2005-2006,29,18,11,0.621,-2.14,-6.76,,13,5,,11,4,,7,7,,2102,1968,,,,0.367,0.368,0.551,52.1,59.4,,4.3,0.515,16.3,,0.265
Central Michigan,2005-2006,28,4,24,0.143,-12.38,-1.01,,1,17,,3,10,,1,14,,1681,1941,,,,0.375,0.338,0.497,47.7,49.4,,8.2,0.460,24.0,,0.251
Charleston Southern,2005-2006,29,13,16,0.448,-10.72,-6.60,,7,9,,7,6,,6,9,,2027,2059,,,,0.360,0.364,0.519,48.7,53.0,,5.5,0.489,17.1,,0.239
Charlotte,2005-2006,32,19,13,0.594,4.72,1.97,,11,5,,9,6,,9,6,,2234,2146,,,,0.354,0.393,0.504,52.9,59.3,,8.3,0.473,15.6,,0.231
Chattanooga,2005-2006,32,19,13,0.594,-7.55,-5.22,,8,6,,12,3,,4,8,,2320,2245,,,,0.452,0.337,0.532,51.4,55.0,,4.1,0.501,17.3,,0.290
Chicago State,2005-2006,30,11,19,0.367,-7.20,-2.13,,8,8,,6,2,,3,14,,2060,2212,,,,0.368,0.325,0.512,47.0,52.0,,6.2,0.475,16.9,,0.254
Cincinnati,2005-2006,34,21,13,0.618,12.95,8.41,,8,8,,16,5,,3,7,,2530,2359,,,,0.319,0.303,0.519,49.3,50.6,,9.3,0.478,14.1,,0.239
Clemson,2005-2006,32,19,13,0.594,10.30,4.97,,7,9,,12,4,,5,8,,2378,2172,,,,0.360,0.379,0.519,50.7,53.5,,8.1,0.497,17.8,,0.222
Cleveland State,2005-2006,28,10,18,0.357,-8.20,-0.08,,5,11,,6,10,,4,8,,1803,1941,,,,0.340,0.294,0.482,48.6,56.7,,5.2,0.450,19.4,,0.220
Coastal Carolina,2005-2006,30,20,10,0.667,-5.78,-7.09,,12,4,,14,1,,5,9,,2144,2006,,,,0.310,0.398,0.566,51.3,60.4,,4.1,0.534,17.7,,0.231
Colgate,2005-2006,29,10,19,0.345,-10.72,-5.61,,4,10,,6,6,,2,11,,1690,1790,,,,0.314,0.374,0.501,49.8,52.1,,5.7,0.469,21.4,,0.213
College of Charleston,2005-2006,28,17,11,0.607,-4.12,-5.83,,9,6,,11,4,,5,6,,2052,1861,,,,0.368,0.299,0.517,56.0,50.3,,4.6,0.487,18.7,,0.241
Colorado,2005-2006,30,20,10,0.667,11.17,4.57,,9,7,,15,2,,4,7,,2305,2107,,,,0.320,0.365,0.521,52.6,59.6,,9.9,0.497,16.0,,0.207
Colorado State,2005-2006,31,16,15,0.516,3.97,4.27,,4,12,,9,6,,5,7,,2294,2219,,,,0.432,0.290,0.584,51.4,59.8,,11.3,0.548,21.2,,0.311
Columbia,2005-2006,27,11,16,0.407,-11.32,-6.32,,4,10,,7,6,,4,9,,1729,1819,,,,0.359,0.321,0.541,53.5,56.1,,3.6,0.501,22.2,,0.264
Connecticut NCAA,2005-2006,34,30,4,0.882,21.22,6.57,,14,2,,16,0,,8,2,,2781,2283,,,,0.419,0.246,0.556,56.1,54.8,,13.5,0.518,16.3,,0.295
Coppin State,2005-2006,30,12,18,0.400,-10.90,-6.07,,12,6,,7,2,,5,12,,1919,2064,,,,0.359,0.314,0.491,44.4,43.9,,3.3,0.452,16.7,,0.247
Cornell,2005-2006,28,13,15,0.464,-6.67,-5.19,,8,6,,7,5,,5,10,,1762,1776,,,,0.324,0.372,0.528,48.5,58.1,,4.9,0.494,19.0,,0.231
Creighton,2005-2006,30,20,10,0.667,10.11,4.88,,12,6,,15,2,,5,7,,1982,1825,,,,0.415,0.381,0.526,49.9,60.4,,5.8,0.487,17.5,,0.286
Dartmouth,2005-2006,27,6,21,0.222,-12.66,-5.43,,4,10,,4,6,,2,13,,1632,1815,,,,0.242,0.314,0.498,48.1,54.2,,7.1,0.471,18.3,,0.168
Davidson NCAA,2005-2006,31,20,11,0.645,1.89,-3.04,,10,5,,14,1,,3,9,,2403,2137,,,,0.290,0.398,0.560,54.1,66.3,,2.8,0.527,15.7,,0.221
Dayton,2005-2006,31,14,17,0.452,3.07,2.04,,6,10,,12,5,,2,9,,1964,1916,,,,0.312,0.297,0.513,52.6,57.5,,5.4,0.484,18.5,,0.208
Delaware,2005-2006,30,9,21,0.300,-5.31,-0.54,,4,14,,4,8,,2,12,,1983,2126,,,,0.359,0.370,0.504,48.7,56.5,,6.4,0.474,19.8,,0.233
Delaware State,2005-2006,35,21,14,0.600,-6.13,-6.22,,16,2,,9,1,,10,10,,2014,2011,,,,0.398,0.371,0.530,46.9,54.1,,5.8,0.497,19.2,,0.267
Denver,2005-2006,31,16,15,0.516,-1.19,-1.42,,7,8,,10,2,,3,12,,2060,2045,,,,0.358,0.301,0.540,50.2,57.0,,6.9,0.498,19.5,,0.268
DePaul,2005-2006,27,12,15,0.444,6.52,8.74,,5,11,,7,7,,4,8,,1752,1812,,,,0.319,0.313,0.521,48.9,53.2,,6.9,0.489,16.3,,0.223
Detroit Mercy,2005-2006,32,16,16,0.500,-2.37,0.07,,8,8,,13,1,,2,13,,2034,2083,,,,0.308,0.246,0.520,53.2,50.3,,6.3,0.489,18.2,,0.214
Drake,2005-2006,31,12,19,0.387,2.45,5.48,,5,13,,8,8,,3,9,,2139,2134,,,,0.399,0.266,0.522,53.6,54.0,,4.8,0.478,19.3,,0.286
Drexel,2005-2006,31,15,16,0.484,3.72,1.17,,8,10,,11,3,,4,9,,1930,1851,,,,0.338,0.301,0.477,52.4,53.8,,10.0,0.440,17.1,,0.226
Duke NCAA,2005-2006,36,32,4,0.889,21.77,8.77,,14,2,,14,1,,9,2,,2921,2453,,,,0.450,0.353,0.598,48.1,55.8,,9.1,0.555,16.9,,0.343
Duquesne,2005-2006,27,3,24,0.111,-10.21,1.09,,1,15,,2,13,,1,11,,1786,2091,,,,0.285,0.314,0.512,46.5,60.9,,5.8,0.477,18.0,,0.208
East Carolina,2005-2006,28,8,20,0.286,-7.66,-1.27,,2,12,,7,8,,1,11,,1747,1874,,,,0.423,0.386,0.491,50.0,64.2,,3.2,0.453,19.6,,0.271
East Tennessee State,2005-2006,28,15,13,0.536,-7.26,-9.14,,12,8,,9,5,,6,8,,2284,2185,,,,0.337,0.271,0.539,50.6,39.6,,4.3,0.516,18.1,,0.217
Eastern Illinois,2005-2006,27,6,21,0.222,-14.55,-5.85,,5,15,,3,9,,3,12,,1599,1834,,,,0.278,0.267,0.504,48.9,60.5,,4.8,0.469,20.3,,0.204
Eastern Kentucky,2005-2006,30,14,16,0.467,-8.80,-4.97,,11,9,,8,6,,5,8,,2105,2174,,,,0.335,0.386,0.562,46.9,54.1,,3.9,0.537,17.4,,0.230
