School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force NCAA,2003-2004,29,22,7,0.759,9.12,0.08,,12,2,,13,0,,8,5,,1737,1475,,,,0.373,0.532,0.607,43.4,66.0,,5.7,0.582,18.2,,0.265
Akron,2003-2004,28,13,15,0.464,-0.38,0.01,,7,11,,9,4,,4,11,,2009,2020,,,,0.461,0.320,0.552,48.6,60.8,,4.3,0.524,18.4,,0.298
Alabama NCAA,2003-2004,33,20,13,0.606,14.29,10.20,,8,8,,11,4,,4,6,,2380,2245,,,,0.408,0.342,0.553,50.4,48.6,,5.9,0.516,16.4,,0.289
Alabama A&M,2003-2004,30,13,17,0.433,-15.88,-12.30,,9,9,,8,4,,3,12,,2113,2220,,,,0.400,0.333,0.504,48.8,52.4,,4.5,0.462,18.8,,0.275
Alabama State NCAA,2003-2004,31,16,15,0.516,-11.10,-10.78,,11,7,,7,4,,5,9,,1904,1913,,,,0.454,0.339,0.514,51.9,49.3,,5.8,0.476,22.5,,0.297
Albany (NY),2003-2004,28,5,23,0.179,-15.33,-7.47,,3,15,,3,10,,2,12,,1621,1841,,,,0.263,0.305,0.483,47.2,52.5,,4.0,0.446,20.8,,0.194
Alcorn State,2003-2004,29,11,18,0.379,-20.17,-11.79,,9,9,,6,6,,4,11,,1855,2098,,,,0.389,0.303,0.515,49.7,50.9,,3.7,0.478,23.7,,0.264
American,2003-2004,31,18,13,0.581,-4.59,-7.04,,10,4,,7,4,,7,8,,2092,2016,,,,0.391,0.341,0.537,52.1,56.6,,4.4,0.505,18.5,,0.264
Appalachian State,2003-2004,30,9,21,0.300,-5.83,-1.18,,4,12,,4,8,,4,11,,2091,2170,,,,0.295,0.334,0.489,47.1,57.0,,8.2,0.463,18.8,,0.189
Arizona NCAA,2003-2004,30,20,10,0.667,15.29,6.63,,11,7,,13,2,,5,5,,2614,2354,,,,0.335,0.293,0.582,52.7,59.4,,6.9,0.543,16.6,,0.264
Arizona State,2003-2004,27,10,17,0.370,2.82,5.34,,4,14,,7,8,,2,9,,2000,2068,,,,0.497,0.319,0.540,49.9,65.9,,5.4,0.485,18.1,,0.365
