School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2006-2007,30,16,14,0.533,0.44,0.19,,8,8,,12,4,,3,7,,1760,1715,,,,0.454,0.441,0.563,46.0,64.0,,3.8,0.527,19.6,,0.316
Akron,2006-2007,35,24,11,0.686,6.24,0.33,,11,5,,13,3,,7,6,,2479,2233,,,,0.393,0.404,0.554,49.2,56.0,,5.4,0.519,16.7,,0.276
Alabama,2006-2007,33,17,16,0.515,8.12,5.70,,5,11,,13,5,,1,9,,2484,2404,,,,0.335,0.318,0.533,52.1,56.2,,7.7,0.514,15.5,,0.208
Alabama A&M,2006-2007,29,14,15,0.483,-16.14,-12.97,,11,7,,9,3,,5,9,,1910,1952,,,,0.422,0.317,0.484,48.9,45.5,,10.6,0.436,19.6,,0.289
Alabama State,2006-2007,31,20,11,0.645,-7.73,-12.70,,15,3,,11,2,,8,8,,2202,2016,,,,0.333,0.307,0.533,53.6,56.1,,7.2,0.511,16.6,,0.213
Albany (NY),2006-2007,30,15,15,0.500,-4.05,-5.92,,10,6,,8,5,,7,9,,2048,1992,,,,0.361,0.302,0.530,55.4,51.2,,4.7,0.490,18.1,,0.262
Alcorn State,2006-2007,31,7,24,0.226,-23.12,-11.47,,6,12,,5,6,,2,14,,2100,2445,,,,0.362,0.297,0.502,48.1,40.6,,2.7,0.464,20.3,,0.250
American NCAA,2006-2007,33,21,12,0.636,-1.87,-4.00,,10,4,,11,4,,10,7,,2140,2049,,,,0.413,0.402,0.564,52.2,55.9,,5.3,0.522,19.4,,0.305
Appalachian State,2006-2007,31,18,13,0.581,-0.71,-2.77,,13,7,,9,4,,7,7,,2214,2147,,,,0.370,0.367,0.573,50.7,53.8,,7.8,0.545,19.6,,0.257
Arizona NCAA,2006-2007,34,19,15,0.559,14.55,10.22,,8,10,,11,6,,6,7,,2443,2276,,,,0.406,0.321,0.580,48.8,62.4,,6.3,0.540,16.4,,0.304
Arizona State,2006-2007,34,21,13,0.618,10.31,6.28,,9,9,,15,5,,4,6,,2271,2106,,,,0.401,0.415,0.576,49.5,63.9,,6.2,0.537,17.9,,0.296
Arkansas NCAA,2006-2007,35,23,12,0.657,12.48,6.73,,9,7,,15,1,,2,7,,2593,2392,,,,0.379,0.303,0.549,53.1,54.0,,9.3,0.519,18.4,,0.257
Arkansas State,2006-2007,30,10,20,0.333,-7.75,-2.02,,5,13,,9,6,,1,14,,2118,2185,,,,0.320,0.315,0.549,49.0,49.2,,4.1,0.518,17.6,,0.230
Arkansas-Pine Bluff,2006-2007,31,13,18,0.419,-17.80,-12.56,,8,10,,5,6,,7,11,,1869,1999,,,,0.310,0.306,0.473,48.9,50.7,,8.9,0.448,18.2,,0.191
Army,2006-2007,30,14,16,0.467,-8.62,-5.04,,6,8,,7,7,,7,9,,1770,1862,,,,0.300,0.298,0.509,47.5,63.1,,4.2,0.480,21.6,,0.204
Auburn,2006-2007,30,14,16,0.467,2.31,4.70,,4,12,,8,7,,4,7,,2141,2183,,,,0.315,0.397,0.548,49.2,58.3,,4.4,0.525,17.3,,0.211
Austin Peay NCAA,2006-2007,35,24,11,0.686,-2.21,-5.24,,16,4,,13,1,,9,8,,2590,2477,,,,0.443,0.373,0.558,48.0,58.6,,4.0,0.517,15.9,,0.317
Ball State,2006-2007,30,6,24,0.200,-5.61,0.50,,5,11,,5,10,,1,13,,1733,1918,,,,0.356,0.268,0.476,48.3,49.9,,3.3,0.440,16.7,,0.232
Baylor NCAA,2006-2007,32,21,11,0.656,11.46,5.75,,9,7,,12,4,,6,4,,2601,2396,,,,0.359,0.367,0.561,49.9,43.2,,7.2,0.524,14.8,,0.267
Belmont NCAA,2006-2007,34,25,9,0.735,-0.12,-3.44,,14,2,,14,1,,9,5,,2714,2497,,,,0.332,0.471,0.564,51.1,62.6,,3.3,0.537,17.2,,0.231
Bethune-Cookman,2006-2007,32,11,21,0.344,-15.97,-10.89,,5,11,,6,9,,4,10,,1862,1976,,,,0.448,0.259,0.522,48.1,51.0,,4.9,0.484,22.1,,0.299
Binghamton,2006-2007,30,14,16,0.467,-6.84,-6.00,,9,7,,9,6,,5,10,,1976,2001,,,,0.313,0.310,0.523,49.5,50.3,,4.9,0.486,17.7,,0.229
Boise State NCAA,2006-2007,34,25,9,0.735,1.60,-2.07,,12,4,,11,5,,12,3,,2767,2567,,,,0.393,0.353,0.596,51.7,60.9,,3.8,0.577,18.7,,0.260
Boston College,2006-2007,31,14,17,0.452,6.46,7.75,,4,12,,11,8,,2,7,,2203,2243,,,,0.397,0.300,0.544,50.5,59.0,,10.0,0.509,19.1,,0.274
Boston University,2006-2007,31,14,17,0.452,-6.69,-4.91,,9,7,,7,6,,6,10,,1954,2009,,,,0.327,0.417,0.505,48.7,60.4,,5.0,0.472,18.4,,0.222
Bowling Green State,2006-2007,30,13,17,0.433,-5.09,-0.63,,7,9,,8,5,,4,10,,1904,2038,,,,0.350,0.297,0.515,49.5,54.0,,9.0,0.486,19.7,,0.229
Bradley,2006-2007,38,21,17,0.553,6.23,4.25,,9,9,,13,6,,7,9,,2805,2724,,,,0.364,0.434,0.561,48.8,64.1,,4.4,0.523,17.6,,0.271
Brigham Young NCAA,2006-2007,35,27,8,0.771,11.82,1.33,,14,2,,16,0,,8,5,,2580,2213,,,,0.374,0.388,0.556,53.0,64.8,,6.6,0.532,17.5,,0.245
Brown,2006-2007,29,19,10,0.655,-0.65,-4.65,,11,3,,9,3,,10,7,,1997,1881,,,,0.471,0.409,0.600,48.5,63.8,,4.5,0.558,18.5,,0.351
Bucknell,2006-2007,31,12,19,0.387,-6.88,-3.88,,6,8,,7,6,,4,12,,1925,2023,,,,0.368,0.398,0.525,48.8,59.8,,5.3,0.493,21.5,,0.250
Buffalo,2006-2007,30,10,20,0.333,-3.90,0.61,,3,13,,7,6,,1,12,,2146,2251,,,,0.317,0.283,0.492,50.8,51.7,,5.2,0.458,18.7,,0.217
Butler NCAA,2006-2007,34,30,4,0.882,13.00,2.64,,16,2,,14,1,,11,2,,2339,1985,,,,0.367,0.485,0.576,48.9,57.3,,4.9,0.541,14.8,,0.271
Cal Poly,2006-2007,30,12,18,0.400,-9.48,-2.08,,7,9,,7,5,,4,11,,1896,2071,,,,0.339,0.381,0.490,48.1,50.1,,5.9,0.458,17.3,,0.222
Cal State Bakersfield,2006-2007,29,8,21,0.276,,,,,,,3,9,,4,10,,1929,2177,,,,0.316,0.322,0.495,48.5,49.6,,3.2,0.462,16.9,,0.215
Cal State Fullerton NCAA,2006-2007,33,24,9,0.727,5.64,-3.06,,12,4,,11,3,,9,5,,2700,2398,,,,0.323,0.360,0.568,50.7,51.8,,2.7,0.542,15.8,,0.227
Cal State Northridge,2006-2007,30,20,10,0.667,1.23,-2.81,,12,4,,10,3,,9,5,,2340,2132,,,,0.320,0.333,0.551,50.5,53.5,,5.8,0.524,18.4,,0.221
California,2006-2007,33,17,16,0.515,9.36,8.45,,6,12,,11,8,,5,7,,2521,2478,,,,0.361,0.322,0.566,52.2,55.8,,4.1,0.523,16.7,,0.280
Campbell,2006-2007,30,10,20,0.333,-11.91,-6.62,,5,11,,7,8,,3,12,,2144,2237,,,,0.433,0.334,0.526,51.0,63.5,,5.0,0.483,19.8,,0.303
Canisius,2006-2007,31,6,25,0.194,-14.30,-3.14,,2,16,,5,8,,0,15,,1923,2269,,,,0.279,0.404,0.491,48.4,53.1,,7.4,0.466,20.5,,0.181
Centenary (LA),2006-2007,31,10,21,0.323,-10.86,-1.71,,4,14,,6,6,,3,14,,2164,2395,,,,0.376,0.328,0.536,45.7,54.2,,5.1,0.497,19.2,,0.270
Central Arkansas,2006-2007,30,14,16,0.467,,,,4,12,,6,5,,3,11,,1999,2018,,68.4,95.4,0.396,0.342,0.494,50.8,43.0,9.8,12.6,0.450,18.7,33.7,0.272
Central Connecticut State,2006-2007,30,14,16,0.467,-5.31,-6.68,,10,8,,8,6,,6,10,,2095,2054,,,,0.292,0.354,0.545,51.5,58.5,,5.3,0.517,18.6,,0.206
Central Michigan,2006-2007,31,14,17,0.452,-3.22,0.19,,8,8,,8,3,,5,12,,2208,2244,,,,0.376,0.367,0.532,49.4,41.2,,5.8,0.500,19.1,,0.255
Charleston Southern,2006-2007,30,10,20,0.333,-15.23,-4.63,,4,10,,9,6,,1,14,,2225,2307,,,,0.266,0.400,0.528,49.8,52.2,,3.7,0.506,17.4,,0.179
Charlotte,2006-2007,34,20,14,0.588,6.54,4.34,,9,7,,13,3,,4,8,,2366,2291,,,,0.417,0.406,0.510,49.4,56.2,,10.7,0.471,17.4,,0.281
Chattanooga,2006-2007,31,18,13,0.581,-1.22,-1.12,,13,7,,13,3,,4,7,,2344,2260,,,,0.456,0.399,0.556,53.9,56.7,,4.0,0.528,20.5,,0.297
Chicago State,2006-2007,28,11,17,0.393,-10.63,1.47,,,,,5,4,,4,13,,2050,2221,,,,0.302,0.367,0.536,47.4,53.6,,7.0,0.510,19.2,,0.206
Cincinnati,2006-2007,32,13,19,0.406,4.86,8.51,,8,10,,10,7,,3,11,,2067,2168,,,,0.328,0.356,0.501,52.6,55.4,,4.4,0.471,17.8,,0.218
Clemson NCAA,2006-2007,34,24,10,0.706,18.05,9.08,,10,6,,14,2,,7,5,,2693,2372,,,,0.309,0.332,0.536,51.5,53.5,,9.4,0.518,16.7,,0.193
