School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2002-2003,28,12,16,0.429,1.71,1.46,,3,11,,9,4,,3,10,,1603,1596,,,,0.430,0.523,0.597,41.4,67.9,,4.2,0.579,19.3,,0.280
Akron,2002-2003,28,14,14,0.500,-0.80,-1.43,,9,9,,10,5,,4,9,,2201,2155,,,,0.462,0.286,0.578,46.7,56.2,,4.3,0.536,15.5,,0.337
Alabama NCAA,2002-2003,29,17,12,0.586,13.36,9.40,,7,9,,13,2,,1,8,,2002,1887,,,,0.364,0.344,0.516,52.6,50.6,,7.0,0.476,16.4,,0.260
Alabama A&M,2002-2003,27,8,19,0.296,-16.71,-11.83,,4,14,,6,7,,2,12,,1962,2072,,,,0.349,0.335,0.501,48.2,60.1,,3.7,0.460,20.5,,0.247
Alabama State,2002-2003,29,14,15,0.483,-10.33,-10.00,,11,7,,9,4,,5,9,,1860,1846,,,,0.299,0.319,0.508,51.6,49.6,,6.0,0.483,21.0,,0.194
Albany (NY),2002-2003,28,7,21,0.250,-14.87,-5.09,,3,13,,5,9,,2,11,,1846,2120,,,,0.236,0.386,0.516,41.3,49.6,,3.4,0.487,16.4,,0.173
Alcorn State,2002-2003,33,14,19,0.424,-12.39,-8.36,,10,8,,7,3,,5,12,,2280,2413,,,,0.356,0.280,0.503,50.0,55.5,,6.0,0.469,21.2,,0.238
American,2002-2003,30,16,14,0.533,-1.38,-5.85,,9,5,,11,1,,3,13,,1991,1857,,,,0.309,0.432,0.541,49.1,60.7,,3.2,0.515,17.6,,0.210
Appalachian State,2002-2003,29,19,10,0.655,-1.92,-3.46,,11,5,,12,2,,6,7,,2434,2309,,,,0.399,0.340,0.543,50.4,54.1,,7.2,0.503,17.5,,0.286
Arizona NCAA,2002-2003,32,28,4,0.875,23.42,8.95,,17,1,,14,1,,11,1,,2725,2262,,,,0.368,0.306,0.549,54.0,58.5,,6.5,0.515,15.9,,0.261
Arizona State NCAA,2002-2003,32,20,12,0.625,15.02,9.27,,11,7,,12,3,,4,6,,2464,2257,,,,0.453,0.220,0.552,53.0,57.1,,7.7,0.518,16.4,,0.305
Arkansas,2002-2003,28,9,19,0.321,4.67,9.57,,4,12,,8,8,,1,9,,1726,1863,,,,0.352,0.352,0.475,53.8,45.0,,6.7,0.447,20.5,,0.215
