School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2008-2009,31,10,21,0.323,-2.99,2.37,,0,16,,7,10,,1,9,,1821,1936,,,,0.420,0.393,0.547,48.0,61.9,,8.5,0.514,19.6,,0.283
Akron NCAA,2008-2009,36,23,13,0.639,3.37,-2.01,,10,6,,11,3,,8,8,,2403,2171,,,,0.358,0.394,0.522,49.2,54.2,,6.7,0.483,17.5,,0.253
Alabama,2008-2009,32,18,14,0.563,5.49,3.99,,7,9,,13,5,,2,7,,2349,2254,,,,0.372,0.250,0.522,51.6,42.2,,11.3,0.483,17.1,,0.262
Alabama A&M,2008-2009,27,8,19,0.296,-19.72,-11.63,,6,12,,6,7,,2,11,,1761,1954,,,,0.407,0.290,0.471,46.0,49.0,,7.8,0.427,19.3,,0.271
Alabama State NCAA,2008-2009,32,22,10,0.688,-6.13,-11.20,,16,2,,10,1,,8,7,,2202,2025,,,,0.350,0.314,0.539,50.3,54.5,,11.4,0.517,17.5,,0.222
Albany (NY),2008-2009,31,15,16,0.484,-6.63,-4.11,,6,10,,10,4,,5,12,,1984,2038,,,,0.344,0.258,0.498,56.3,51.3,,6.3,0.455,19.2,,0.248
Alcorn State,2008-2009,31,6,25,0.194,-25.55,-10.26,,4,14,,5,7,,1,15,,2156,2588,,,,0.373,0.300,0.482,42.9,41.6,,4.1,0.440,16.9,,0.255
American NCAA,2008-2009,32,24,8,0.750,-0.05,-5.49,,13,1,,13,1,,11,6,,2065,1891,,,,0.318,0.381,0.556,51.9,56.1,,7.3,0.537,18.5,,0.206
Appalachian State,2008-2009,31,13,18,0.419,-8.44,-5.44,,9,11,,7,7,,5,9,,2356,2381,,,,0.415,0.363,0.557,55.3,50.9,,8.5,0.520,20.4,,0.294
Arizona NCAA,2008-2009,35,21,14,0.600,11.88,8.80,,9,9,,14,3,,2,9,,2529,2421,,,,0.375,0.290,0.567,51.7,55.7,,8.7,0.530,16.5,,0.276
Arizona State NCAA,2008-2009,35,25,10,0.714,16.70,7.82,,11,7,,12,3,,6,4,,2428,2117,,,,0.387,0.453,0.597,51.0,65.9,,6.3,0.564,16.5,,0.285
Arkansas,2008-2009,30,14,16,0.467,3.79,3.89,,2,14,,12,6,,1,9,,2238,2213,,,,0.373,0.334,0.522,51.1,48.9,,7.6,0.493,16.4,,0.243
Arkansas State,2008-2009,30,13,17,0.433,-5.42,-4.31,,5,13,,9,5,,4,12,,1996,1948,,,,0.339,0.262,0.510,51.7,55.0,,9.2,0.477,17.3,,0.231
Arkansas-Pine Bluff,2008-2009,31,13,18,0.419,-15.45,-7.48,,11,7,,6,3,,6,14,,1943,2190,,,,0.367,0.244,0.468,50.7,47.8,,7.1,0.436,22.6,,0.227
Army,2008-2009,30,11,19,0.367,-10.11,-7.59,,6,8,,7,7,,4,12,,1741,1823,,,,0.292,0.279,0.499,45.6,61.5,,8.4,0.467,20.8,,0.202
Auburn,2008-2009,36,24,12,0.667,9.93,3.56,,10,6,,18,4,,5,5,,2620,2354,,,,0.379,0.393,0.525,49.9,54.6,,10.2,0.504,15.8,,0.230
Austin Peay,2008-2009,33,19,14,0.576,-4.20,-3.69,,13,5,,9,5,,9,7,,2485,2449,,,,0.379,0.328,0.561,49.6,54.9,,8.6,0.531,16.8,,0.261
Ball State,2008-2009,31,14,17,0.452,-5.50,-3.02,,7,9,,10,6,,3,10,,1795,1852,,,,0.384,0.251,0.483,50.6,51.5,,5.6,0.454,17.9,,0.235
Baylor,2008-2009,39,24,15,0.615,12.54,7.93,,5,11,,14,5,,4,7,,2965,2732,,,,0.382,0.400,0.573,49.8,47.3,,9.8,0.540,16.2,,0.272
Belmont,2008-2009,33,20,13,0.606,0.39,-1.37,,14,6,,12,3,,8,9,,2528,2334,,,,0.339,0.484,0.555,49.6,63.2,,6.8,0.529,17.4,,0.232
Bethune-Cookman,2008-2009,33,17,16,0.515,-12.41,-9.76,,9,7,,8,4,,7,10,,1926,1941,,,,0.386,0.283,0.472,52.6,44.8,,9.2,0.437,18.8,,0.243
Binghamton NCAA,2008-2009,32,23,9,0.719,-3.27,-5.62,,13,3,,12,2,,9,6,,2239,2156,,,,0.416,0.326,0.530,48.5,49.2,,11.2,0.495,16.9,,0.278
Boise State,2008-2009,32,19,13,0.594,-0.95,0.54,,9,7,,13,3,,6,9,,2329,2315,,,,0.294,0.316,0.553,49.5,58.3,,8.6,0.527,18.4,,0.205
Boston College NCAA,2008-2009,34,22,12,0.647,10.36,7.23,,9,7,,15,4,,5,5,,2528,2397,,,,0.367,0.325,0.538,51.9,56.8,,10.4,0.497,16.3,,0.271
Boston University,2008-2009,30,17,13,0.567,-2.61,-4.91,,11,5,,9,6,,8,6,,2058,1989,,,,0.351,0.450,0.536,49.1,54.4,,8.8,0.505,17.5,,0.240
Bowling Green State,2008-2009,33,19,14,0.576,0.09,-1.75,,11,5,,10,4,,6,9,,2126,2020,,,,0.305,0.325,0.517,51.2,53.5,,10.1,0.489,17.2,,0.206
Bradley,2008-2009,36,21,15,0.583,2.48,1.95,,10,8,,14,4,,5,9,,2415,2387,,,,0.445,0.359,0.544,49.5,56.2,,10.3,0.499,19.0,,0.320
Brigham Young NCAA,2008-2009,33,25,8,0.758,15.12,4.15,,12,4,,14,2,,9,3,,2544,2150,,,,0.356,0.332,0.579,52.7,59.1,,9.9,0.547,14.6,,0.260
Brown,2008-2009,28,9,19,0.321,-12.39,-5.02,,3,11,,8,5,,1,14,,1712,1898,,,,0.379,0.366,0.516,49.6,62.3,,7.9,0.484,19.5,,0.250
Bryant,2008-2009,29,8,21,0.276,,,,,,,3,7,,3,13,,1670,1969,,62.5,92.1,0.308,0.425,0.493,44.7,60.4,9.5,7.7,0.463,18.7,27.1,0.204
Bucknell,2008-2009,30,7,23,0.233,-11.59,-4.12,,4,10,,6,8,,1,15,,1928,2152,,,,0.299,0.350,0.478,48.6,49.8,,6.2,0.444,17.4,,0.203
Buffalo,2008-2009,33,21,12,0.636,1.44,-0.90,,11,5,,9,4,,7,7,,2155,2078,,,,0.354,0.271,0.495,53.9,52.2,,7.7,0.464,17.6,,0.228
Butler NCAA,2008-2009,32,26,6,0.813,10.07,2.07,,15,3,,15,2,,11,3,,2168,1854,,,,0.430,0.454,0.559,52.5,59.1,,9.4,0.518,17.1,,0.311
Cal Poly,2008-2009,28,7,21,0.250,-8.32,-1.32,,3,13,,3,12,,3,8,,1822,1964,,,,0.306,0.352,0.500,46.7,46.5,,7.6,0.465,15.2,,0.216
Cal State Bakersfield,2008-2009,29,8,21,0.276,,,,,,,4,6,,2,14,,1875,2094,,65.6,97.3,0.357,0.354,0.488,47.1,47.5,8.2,6.0,0.449,16.6,34.2,0.242
Cal State Fullerton,2008-2009,32,15,17,0.469,-4.20,-1.26,,7,9,,7,6,,7,7,,2345,2356,,,,0.325,0.398,0.537,47.0,51.1,,9.0,0.504,16.2,,0.232
Cal State Northridge NCAA,2008-2009,31,17,14,0.548,2.65,-0.14,,11,5,,10,2,,5,11,,2282,2178,,,,0.338,0.337,0.544,52.4,52.4,,7.9,0.514,20.7,,0.235
California NCAA,2008-2009,33,22,11,0.667,13.30,7.21,,11,7,,16,2,,6,6,,2472,2271,,,,0.343,0.266,0.575,51.6,57.1,,4.9,0.540,15.7,,0.259
Campbell,2008-2009,30,14,16,0.467,-7.97,-3.42,,11,9,,10,4,,4,10,,2164,2153,,,,0.407,0.292,0.527,51.3,63.4,,7.1,0.484,19.5,,0.289
Canisius,2008-2009,31,11,20,0.355,-6.46,-1.68,,4,14,,5,8,,5,12,,1949,2097,,,,0.339,0.311,0.480,50.0,52.5,,11.1,0.453,20.1,,0.209
Centenary (LA),2008-2009,31,8,23,0.258,-8.46,-1.56,,6,12,,4,5,,2,15,,1993,2207,,,,0.319,0.391,0.503,43.4,53.6,,7.2,0.470,17.7,,0.217
Central Arkansas,2008-2009,29,10,19,0.345,,,,3,13,,4,8,,1,10,,1841,2008,,66.5,95.5,0.412,0.313,0.491,48.4,50.9,8.4,8.7,0.451,17.4,31.5,0.272
Central Connecticut State,2008-2009,30,13,17,0.433,-10.35,-6.76,,8,10,,8,5,,5,12,,1943,2043,,,,0.329,0.247,0.523,49.4,54.2,,7.2,0.487,18.8,,0.237
Central Michigan,2008-2009,31,12,19,0.387,-7.06,-4.15,,7,9,,8,6,,3,11,,1928,2018,,,,0.378,0.329,0.502,49.6,45.0,,7.6,0.473,18.9,,0.238
Charleston Southern,2008-2009,29,9,20,0.310,-14.07,-5.46,,4,14,,7,9,,2,10,,2000,2091,,,,0.277,0.339,0.514,52.2,51.6,,8.8,0.494,16.9,,0.175
Charlotte,2008-2009,31,11,20,0.355,0.79,2.47,,5,11,,9,6,,2,11,,2130,2182,,,,0.328,0.386,0.503,48.1,56.1,,9.7,0.469,16.1,,0.224
Chattanooga NCAA,2008-2009,35,18,17,0.514,-6.25,-3.13,,11,9,,13,3,,5,10,,2657,2687,,,,0.467,0.410,0.543,51.7,54.4,,6.8,0.510,18.4,,0.307
Chicago State,2008-2009,32,19,13,0.594,-5.97,-4.51,,,,,11,3,,6,9,,2693,2577,,,,0.372,0.351,0.551,50.7,53.0,,9.7,0.521,16.6,,0.254
Cincinnati,2008-2009,32,18,14,0.563,7.83,6.77,,8,10,,14,5,,4,7,,2187,2123,,,,0.301,0.376,0.512,52.6,58.8,,8.4,0.486,16.9,,0.198
Clemson NCAA,2008-2009,32,23,9,0.719,15.56,6.59,,9,7,,13,3,,7,5,,2507,2177,,,,0.315,0.347,0.553,51.3,52.4,,14.2,0.528,16.8,,0.217
Cleveland State NCAA,2008-2009,37,26,11,0.703,6.97,2.12,,12,6,,13,2,,8,8,,2455,2203,,,,0.357,0.283,0.514,50.4,58.0,,9.0,0.476,16.0,,0.250
Coastal Carolina,2008-2009,31,11,20,0.355,-11.74,-6.98,,5,13,,8,6,,2,13,,2148,2193,,,,0.327,0.371,0.525,50.7,57.9,,8.8,0.506,19.6,,0.201
