School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2022-2023,30,13,17,0.433,-2.79,0.90,,5,11,,9,5,,4,8,,2249,2133,,70.9,104.9,0.318,0.341,0.543,49.1,58.0,12.3,7.0,0.510,15.5,28.6,0.230
Air Force,2022-2023,32,14,18,0.438,2.00,2.12,,5,13,,10,9,,4,9,,2142,2146,,63.6,104.0,0.312,0.448,0.570,47.7,64.9,8.9,11.0,0.542,17.2,22.3,0.226
Akron,2022-2023,33,22,11,0.667,4.19,-1.65,,13,5,,15,1,,5,6,,2463,2209,,67.2,110.3,0.339,0.445,0.559,52.1,52.5,8.9,7.2,0.524,14.4,29.9,0.250
Alabama NCAA,2022-2023,37,31,6,0.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266
Alabama A&M,2022-2023,33,15,18,0.455,-10.78,-7.71,,10,8,,9,8,,5,8,,2297,2340,,69.9,98.9,0.347,0.327,0.528,47.8,50.9,11.4,12.0,0.501,18.6,30.0,0.228
Alabama State,2022-2023,31,8,23,0.258,-16.33,-6.29,,6,12,,5,5,,2,18,,1963,2252,,68.6,92.0,0.321,0.332,0.468,48.5,45.2,8.5,9.1,0.426,16.5,32.4,0.226
Albany (NY),2022-2023,31,8,23,0.258,-14.36,-4.53,,3,13,,5,6,,2,16,,2086,2332,,67.9,98.8,0.313,0.413,0.517,49.8,50.0,8.4,4.5,0.481,17.0,28.8,0.226
Alcorn State,2022-2023,32,18,14,0.563,-8.74,-5.81,,15,3,,7,2,,10,10,,2165,2259,,67.8,98.2,0.353,0.297,0.496,50.2,41.4,11.7,7.7,0.452,15.6,33.7,0.254
American,2022-2023,32,17,15,0.531,-8.26,-7.73,,7,11,,8,6,,9,9,,2093,2110,,62.6,102.9,0.279,0.361,0.567,51.0,55.5,11.7,11.4,0.544,19.5,28.3,0.196
Appalachian State,2022-2023,32,16,16,0.500,-1.50,-0.98,,9,9,,10,7,,6,7,,2248,2067,,67.3,103.6,0.293,0.392,0.532,49.8,50.9,9.4,12.8,0.507,14.3,25.8,0.198
Arizona NCAA,2022-2023,35,28,7,0.800,19.08,8.34,,14,6,,15,2,,6,4,,2866,2490,,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253
Arizona State NCAA,2022-2023,36,23,13,0.639,11.29,8.18,,11,9,,10,5,,7,6,,2559,2447,,69.0,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2,0.215
Arkansas NCAA,2022-2023,36,22,14,0.611,15.99,9.87,,8,10,,14,3,,2,8,,2666,2446,,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7,0.274
Arkansas State,2022-2023,33,13,20,0.394,-8.07,-3.30,,4,14,,10,8,,2,11,,2169,2232,,64.8,101.0,0.334,0.330,0.520,50.3,55.7,10.2,9.2,0.490,15.6,29.0,0.226
Arkansas-Pine Bluff,2022-2023,31,10,21,0.323,-12.99,-5.36,,6,12,,8,5,,2,16,,2074,2162,,71.3,93.0,0.328,0.433,0.501,48.7,56.5,11.2,7.9,0.460,18.6,27.2,0.238
Army,2022-2023,33,17,16,0.515,-7.13,-7.58,,10,8,,10,5,,7,8,,2412,2322,,68.1,106.5,0.308,0.387,0.568,53.0,48.8,7.4,6.0,0.546,16.7,27.5,0.210
Auburn NCAA,2022-2023,34,21,13,0.618,14.35,9.29,,10,8,,14,2,,4,8,,2474,2302,,68.7,105.6,0.363,0.352,0.530,50.4,54.7,11.2,13.6,0.495,15.1,32.8,0.253
Austin Peay,2022-2023,31,9,22,0.290,-12.17,-2.60,,3,15,,7,8,,1,13,,2067,2241,,66.8,99.4,0.277,0.385,0.510,47.1,52.1,10.6,8.8,0.477,15.2,28.0,0.201
Ball State,2022-2023,32,20,12,0.625,-1.20,-3.50,,11,7,,12,2,,6,7,,2445,2292,,68.5,111.1,0.425,0.365,0.570,52.1,50.2,8.0,9.8,0.538,15.4,31.2,0.293
