School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian NCAA,2020-2021,29,24,5,0.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,72.0,105.2,0.339,0.367,0.540,51.5,65.3,13.5,8.9,0.512,16.2,31.3,0.230
Air Force,2020-2021,25,5,20,0.200,-12.98,0.22,,3,17,,3,8,,1,10,,1468,1798,,63.9,91.9,0.309,0.450,0.547,40.1,59.0,11.1,8.0,0.521,21.2,15.3,0.214
Akron,2020-2021,23,15,8,0.652,1.85,-1.96,,12,6,,9,1,,5,5,,1798,1660,,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.520,14.3,31.0,0.230
Alabama NCAA,2020-2021,33,26,7,0.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204
Alabama A&M,2020-2021,15,6,9,0.400,-18.86,-14.99,,4,9,,5,2,,1,7,,950,1008,,70.1,88.9,0.318,0.329,0.475,49.8,47.3,7.7,9.1,0.448,18.6,28.1,0.199
Alabama State,2020-2021,18,4,14,0.222,-24.28,-16.95,,4,14,,3,6,,1,8,,1156,1288,,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277
Albany (NY),2020-2021,16,7,9,0.438,-4.53,-5.22,,6,6,,4,5,,2,4,,1110,1099,,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247
Alcorn State,2020-2021,19,6,13,0.316,-19.58,-10.06,,6,7,,4,3,,2,9,,1256,1437,,71.3,92.8,0.340,0.340,0.488,47.8,40.7,10.6,5.0,0.444,17.7,29.7,0.247
American,2020-2021,10,4,6,0.400,-6.32,-1.82,,4,5,,2,2,,2,4,,691,736,,67.5,97.5,0.268,0.427,0.550,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189
Appalachian State NCAA,2020-2021,29,17,12,0.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,66.8,103.1,0.340,0.437,0.520,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252
Arizona,2020-2021,26,17,9,0.654,15.02,8.18,,11,9,,12,4,,5,5,,1961,1783,,68.4,109.2,0.418,0.314,0.548,55.1,60.4,8.5,11.2,0.505,14.7,34.0,0.304
Arizona State,2020-2021,25,11,14,0.440,7.48,10.24,,7,10,,7,6,,2,6,,1858,1927,,72.6,101.4,0.333,0.354,0.530,44.6,49.8,9.9,8.8,0.492,13.5,21.1,0.242
Arkansas NCAA,2020-2021,32,25,7,0.781,17.80,7.18,,13,4,,16,1,,5,4,,2604,2264,,75.1,108.0,0.327,0.339,0.544,52.6,49.8,10.4,13.0,0.508,14.7,31.3,0.242
Arkansas State,2020-2021,24,11,13,0.458,-7.97,-5.87,,7,8,,9,3,,1,9,,1741,1667,,69.3,104.1,0.344,0.289,0.538,52.5,55.9,9.4,7.1,0.502,16.2,31.9,0.248
Arkansas-Pine Bluff,2020-2021,25,4,21,0.160,-22.67,-7.79,,3,12,,2,3,,2,17,,1549,1921,,69.5,88.2,0.386,0.295,0.483,46.7,45.8,9.1,9.9,0.432,19.7,26.7,0.279
Army,2020-2021,22,12,10,0.545,0.06,0.63,,7,7,,5,5,,5,3,,1578,1529,,70.0,101.9,0.283,0.410,0.541,49.5,53.8,8.9,4.2,0.523,15.9,23.2,0.180
Auburn,2020-2021,27,13,14,0.481,10.02,9.28,,7,11,,8,5,,3,8,,2084,2064,,73.4,104.1,0.362,0.461,0.546,52.0,56.3,8.4,14.8,0.512,18.7,34.8,0.256
Austin Peay,2020-2021,27,14,13,0.519,-6.66,-8.22,,10,10,,8,5,,4,6,,2007,1890,,69.0,106.7,0.286,0.354,0.546,52.1,48.7,9.7,5.9,0.513,17.8,36.0,0.215
Ball State,2020-2021,23,10,13,0.435,-1.96,-1.22,,8,9,,7,4,,3,8,,1719,1736,,72.0,102.7,0.287,0.412,0.547,49.4,51.9,7.5,6.2,0.513,17.3,27.8,0.215
Baylor NCAA,2020-2021,30,28,2,0.933,24.83,7.40,,13,1,,11,0,,7,1,,2487,1964,,69.6,118.6,0.265,0.384,0.586,53.2,55.3,12.7,10.3,0.565,14.0,36.4,0.188
Bellarmine,2020-2021,22,14,8,0.636,-1.76,-5.56,,10,3,,6,4,,7,2,,1634,1456,,65.8,112.9,0.285,0.315,0.594,50.8,55.6,11.1,8.3,0.567,15.1,26.8,0.216
Belmont,2020-2021,30,26,4,0.867,3.46,-8.71,,18,2,,11,1,,10,2,,2439,2074,,71.9,112.6,0.282,0.430,0.588,50.4,61.2,10.7,7.5,0.563,14.8,26.1,0.208
Binghamton,2020-2021,18,4,14,0.222,-12.24,-5.35,,4,10,,1,9,,3,5,,1178,1302,,66.2,96.9,0.232,0.454,0.511,50.2,46.3,7.4,8.3,0.489,17.8,29.1,0.156
Boise State,2020-2021,28,19,9,0.679,9.75,1.71,,14,6,,11,1,,6,6,,2122,1868,,70.2,107.4,0.346,0.389,0.558,52.1,50.9,9.3,7.7,0.522,14.7,26.8,0.255
Boston College,2020-2021,20,4,16,0.200,0.82,8.97,,2,11,,3,5,,0,7,,1427,1590,,71.8,98.7,0.297,0.461,0.528,47.2,46.0,10.0,10.0,0.498,16.8,25.0,0.208
Boston University,2020-2021,18,7,11,0.389,-3.71,0.84,,6,10,,2,6,,5,5,,1249,1331,,67.9,102.2,0.286,0.380,0.531,51.2,42.1,7.9,8.2,0.496,16.1,28.8,0.214
Bowling Green State,2020-2021,26,14,12,0.538,-0.17,-2.37,,10,8,,4,7,,10,3,,2015,1939,,71.9,106.8,0.278,0.385,0.514,49.4,45.3,9.8,5.9,0.480,11.5,30.5,0.204
Bradley,2020-2021,28,12,16,0.429,0.32,1.17,,6,12,,8,6,,2,9,,1948,1864,,66.4,103.9,0.240,0.369,0.534,52.3,51.9,7.7,11.3,0.509,16.0,29.3,0.174
Brigham Young NCAA,2020-2021,27,20,7,0.741,15.19,7.23,,10,3,,11,2,,7,2,,2109,1853,,70.2,109.8,0.275,0.394,0.580,54.7,56.2,6.5,7.2,0.556,16.4,28.6,0.200
Bryant,2020-2021,22,15,7,0.682,-1.37,-7.27,,10,4,,10,1,,5,5,,1843,1664,,77.2,108.5,0.344,0.398,0.577,50.8,52.7,8.9,8.6,0.541,17.3,28.2,0.262
Bucknell,2020-2021,12,5,7,0.417,-7.78,-5.36,,4,6,,2,3,,3,4,,899,928,,73.1,102.5,0.363,0.391,0.561,47.6,46.3,8.0,8.1,0.520,16.0,19.8,0.277
Buffalo,2020-2021,25,16,9,0.640,6.50,-1.58,,12,5,,8,3,,5,3,,2034,1823,,74.2,108.6,0.293,0.312,0.537,55.1,51.8,10.6,9.6,0.514,15.5,37.2,0.197
Butler,2020-2021,25,10,15,0.400,4.76,9.92,,8,12,,8,4,,1,9,,1588,1717,,65.1,96.2,0.294,0.398,0.500,48.8,53.8,8.4,6.0,0.475,15.3,26.0,0.190
Cal Poly,2020-2021,24,4,20,0.167,-13.69,-1.56,,1,15,,3,8,,0,11,,1475,1700,,68.5,89.3,0.295,0.373,0.492,46.4,57.4,9.0,9.3,0.454,18.2,22.1,0.213
Cal State Bakersfield,2020-2021,26,15,11,0.577,-0.13,-2.38,,11,7,,9,2,,6,8,,1811,1665,,65.7,105.6,0.272,0.270,0.524,56.2,53.4,9.7,10.1,0.494,16.4,39.3,0.194
Cal State Fullerton,2020-2021,16,6,10,0.375,-6.32,-3.05,,5,9,,5,4,,1,5,,1232,1257,,72.7,105.1,0.343,0.359,0.557,47.6,50.7,9.1,5.0,0.521,15.6,25.0,0.253
Cal State Northridge,2020-2021,22,9,13,0.409,-8.69,-1.97,,5,9,,4,7,,4,4,,1586,1709,,70.9,101.2,0.308,0.380,0.523,47.0,52.3,8.9,6.1,0.488,14.7,25.3,0.224
California,2020-2021,29,9,20,0.310,4.89,9.75,,3,17,,6,8,,1,11,,1897,2008,,66.3,98.7,0.346,0.405,0.530,49.4,52.3,6.6,6.2,0.497,17.1,24.6,0.242
California Baptist,2020-2021,23,13,10,0.565,-5.25,-5.04,,6,6,,11,4,,2,5,,1820,1674,,71.1,110.6,0.343,0.410,0.587,53.1,63.6,7.1,6.3,0.556,16.7,29.0,0.253
Campbell,2020-2021,27,17,10,0.630,-6.82,-7.34,,11,6,,9,3,,6,7,,1917,1840,,65.8,106.4,0.339,0.369,0.586,46.2,55.4,9.2,6.7,0.565,16.7,20.7,0.230
Canisius,2020-2021,13,7,6,0.538,-8.61,-7.84,,7,5,,3,1,,4,4,,915,925,,71.5,98.4,0.316,0.416,0.506,48.6,51.4,7.8,8.7,0.470,14.7,26.6,0.224
Central Arkansas,2020-2021,24,5,19,0.208,-14.86,-1.99,,4,12,,4,5,,1,14,,1701,1933,,74.0,95.8,0.321,0.337,0.532,51.1,53.1,6.8,6.8,0.498,20.8,28.9,0.230
Central Connecticut State,2020-2021,21,5,16,0.238,-15.12,-6.27,,5,13,,3,6,,2,9,,1439,1625,,72.0,95.2,0.283,0.376,0.516,44.7,51.7,9.6,7.1,0.485,17.6,23.4,0.199
Central Michigan,2020-2021,23,7,16,0.304,-12.34,-4.19,,3,13,,5,7,,2,9,,1766,1835,,74.9,102.5,0.369,0.326,0.530,48.3,39.0,10.9,7.6,0.499,15.6,27.7,0.248
Charleston Southern,2020-2021,21,3,18,0.143,-16.72,-6.22,,2,15,,1,9,,2,8,,1375,1550,,70.2,92.7,0.302,0.428,0.509,49.5,45.4,8.7,10.3,0.474,20.4,28.2,0.216
Charlotte,2020-2021,25,9,16,0.360,-5.68,-2.43,,5,11,,6,7,,3,8,,1587,1668,,64.6,95.9,0.384,0.350,0.532,49.4,51.7,8.2,8.6,0.489,18.3,22.2,0.281
Chattanooga,2020-2021,26,18,8,0.692,-1.54,-2.92,,9,7,,9,3,,9,4,,1888,1801,,68.6,104.8,0.282,0.399,0.547,49.3,47.8,9.9,4.9,0.510,14.3,23.9,0.221
Chicago State,2020-2021,9,0,9,0.000,-31.82,1.41,,,,,,,,0,7,,499,798,,71.2,77.9,0.254,0.408,0.448,38.0,49.4,7.6,3.7,0.413,20.1,16.6,0.177
Cincinnati,2020-2021,23,12,11,0.522,3.99,7.21,,8,6,,5,5,,5,5,,1585,1659,,71.3,96.7,0.330,0.391,0.512,51.1,60.8,9.5,10.3,0.484,17.8,29.1,0.217
Clemson NCAA,2020-2021,24,16,8,0.667,12.49,9.49,,10,6,,11,1,,2,5,,1558,1486,,64.9,99.5,0.232,0.434,0.530,49.9,56.8,9.3,9.2,0.500,17.1,26.4,0.178
Cleveland State NCAA,2020-2021,27,19,8,0.704,-5.12,-4.82,,16,4,,9,2,,8,5,,1914,1922,,67.6,102.6,0.325,0.343,0.532,49.4,52.9,10.1,7.8,0.505,16.2,30.5,0.218
