School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2009-2010,31,10,21,0.323,-4.90,3.13,,1,15,,8,10,,0,10,,1773,1957,,59.6,96.0,0.367,0.394,0.529,46.8,61.6,8.4,6.2,0.504,19.0,24.2,0.233
Akron,2009-2010,35,24,11,0.686,2.82,-1.50,,12,4,,13,5,,7,4,,2472,2293,,65.9,104.9,0.363,0.343,0.521,51.6,53.9,9.0,8.5,0.491,16.4,37.2,0.239
Alabama,2009-2010,32,17,15,0.531,10.34,6.62,,6,10,,11,6,,3,6,,2192,2073,,65.7,104.2,0.343,0.279,0.525,50.5,54.2,11.8,10.9,0.490,16.4,35.0,0.242
Alabama A&M,2009-2010,27,11,16,0.407,-20.19,-13.71,,8,10,,8,5,,3,9,,1778,1881,,73.2,89.5,0.474,0.237,0.463,46.8,48.1,12.5,12.7,0.416,18.8,33.9,0.301
Alabama State,2009-2010,31,16,15,0.516,-14.41,-12.02,,12,6,,9,3,,6,11,,1998,2043,,67.8,94.7,0.448,0.356,0.499,51.3,60.0,10.8,11.1,0.462,20.0,35.6,0.287
Albany (NY),2009-2010,32,7,25,0.219,-11.94,-5.53,,2,14,,4,9,,3,15,,2007,2212,,65.7,94.8,0.314,0.337,0.503,52.0,53.5,8.8,8.2,0.465,20.6,36.0,0.226
Alcorn State,2009-2010,31,2,29,0.065,-30.36,-9.00,,2,16,,2,8,,0,18,,1880,2542,,75.3,80.2,0.422,0.255,0.456,44.5,41.3,9.1,7.4,0.418,23.7,29.2,0.258
American,2009-2010,31,11,20,0.355,-11.47,-6.89,,7,7,,7,8,,4,12,,1941,2083,,64.1,95.7,0.356,0.333,0.518,52.4,65.6,5.4,6.6,0.482,19.6,30.2,0.246
Appalachian State,2009-2010,37,24,13,0.649,1.80,-2.76,,13,5,,14,4,,8,8,,2766,2567,,67.5,110.0,0.391,0.350,0.581,55.7,46.9,8.0,7.7,0.545,18.6,35.3,0.289
Arizona,2009-2010,31,16,15,0.516,7.97,8.10,,10,8,,11,5,,4,7,,2229,2233,,68.4,102.6,0.443,0.322,0.548,49.9,51.5,8.6,6.4,0.501,17.6,29.6,0.324
