School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2021-2022,36,25,11,0.694,2.25,-2.09,,11,7,,14,3,,6,6,,2761,2432,,71.9,105.2,0.382,0.358,0.541,48.2,56.9,14.9,6.3,0.495,15.1,29.1,0.288
Air Force,2021-2022,29,11,18,0.379,-5.67,1.33,,4,13,,7,6,,2,10,,1712,1915,,63.4,93.1,0.268,0.435,0.528,44.6,57.7,8.6,9.1,0.509,19.6,19.6,0.174
Akron NCAA,2021-2022,34,24,10,0.706,0.91,-3.93,,14,6,,12,3,,8,4,,2402,2130,,64.1,109.8,0.390,0.416,0.563,53.0,47.9,9.1,9.2,0.533,15.4,30.6,0.268
Alabama NCAA,2021-2022,33,19,14,0.576,14.62,11.59,,9,9,,13,3,,3,7,,2623,2523,,73.2,108.1,0.329,0.476,0.547,52.3,53.1,9.6,11.9,0.513,16.7,35.3,0.239
Alabama A&M,2021-2022,30,12,18,0.400,-14.43,-8.86,,10,8,,7,3,,4,14,,1843,2010,,68.3,88.5,0.335,0.249,0.459,48.8,43.4,10.1,8.8,0.412,16.8,28.7,0.239
Alabama State,2021-2022,31,10,21,0.323,-12.05,-5.45,,8,10,,7,6,,3,15,,2160,2332,,71.4,96.7,0.378,0.330,0.520,48.3,49.7,10.5,9.6,0.481,18.7,29.7,0.264
Albany (NY),2021-2022,31,13,18,0.419,-9.80,-5.77,,9,9,,4,8,,8,9,,1917,2042,,65.8,93.6,0.250,0.323,0.492,48.4,40.9,10.2,7.5,0.462,16.4,26.1,0.176
Alcorn State,2021-2022,34,17,17,0.500,-8.68,-4.12,,14,4,,6,3,,9,13,,2262,2417,,69.0,95.8,0.324,0.292,0.494,51.1,43.1,10.7,7.6,0.458,17.3,31.9,0.224
American,2021-2022,32,10,22,0.313,-15.38,-7.91,,5,13,,6,5,,4,16,,2031,2270,,66.8,94.3,0.256,0.280,0.521,48.1,49.9,9.7,8.3,0.496,18.0,21.6,0.177
Appalachian State,2021-2022,34,19,15,0.559,-1.45,-1.45,,12,6,,11,5,,6,7,,2281,2146,,65.5,102.0,0.273,0.430,0.513,50.4,51.9,8.5,7.1,0.490,13.6,27.3,0.180
Arizona NCAA,2021-2022,37,33,4,0.892,22.75,6.84,,18,2,,17,0,,9,3,,3107,2518,,72.7,114.7,0.349,0.359,0.587,55.0,65.0,9.2,13.4,0.556,15.8,34.6,0.258
Arizona State,2021-2022,31,14,17,0.452,7.64,9.48,,10,10,,9,6,,5,7,,2027,2084,,67.9,94.7,0.212,0.372,0.492,47.2,53.4,9.7,12.4,0.471,15.2,24.9,0.140
Arkansas NCAA,2021-2022,37,28,9,0.757,16.27,8.62,,13,5,,17,1,,5,4,,2810,2527,,72.0,104.8,0.372,0.342,0.533,52.0,52.7,10.5,11.7,0.486,14.6,29.5,0.282
Arkansas State,2021-2022,29,18,11,0.621,-3.27,-3.50,,8,7,,11,3,,6,7,,2055,1974,,69.5,101.5,0.332,0.306,0.537,51.5,60.7,11.3,8.5,0.498,17.4,29.8,0.247
Arkansas-Pine Bluff,2021-2022,31,7,24,0.226,-18.96,-4.58,,5,13,,5,7,,2,17,,2055,2426,,69.3,95.3,0.345,0.407,0.510,43.8,50.1,10.3,6.4,0.470,16.8,24.6,0.247
Army,2021-2022,31,15,16,0.484,-10.53,-7.53,,9,9,,10,4,,4,12,,2183,2182,,69.9,99.9,0.316,0.355,0.516,51.3,48.4,11.1,5.3,0.494,16.2,30.0,0.199
Auburn NCAA,2021-2022,34,28,6,0.824,19.20,8.17,,15,3,,16,0,,8,3,,2660,2285,,71.3,108.1,0.316,0.398,0.534,52.5,53.1,11.5,21.1,0.499,14.2,33.6,0.231
Austin Peay,2021-2022,29,12,17,0.414,-10.02,-3.39,,8,10,,6,5,,6,11,,1875,2004,,66.1,96.6,0.266,0.443,0.508,48.6,58.6,9.6,6.1,0.478,18.0,29.5,0.188
Ball State,2021-2022,31,14,17,0.452,-7.99,-4.56,,9,10,,9,5,,4,9,,2304,2380,,71.6,103.4,0.374,0.412,0.549,49.6,51.8,8.4,7.0,0.516,17.1,27.1,0.260
Baylor NCAA,2021-2022,34,27,7,0.794,21.73,8.76,,14,4,,15,2,,8,3,,2619,2178,,68.6,111.5,0.290,0.384,0.553,53.4,56.3,12.7,9.7,0.528,15.1,36.3,0.202
Bellarmine,2021-2022,33,20,13,0.606,-3.77,-1.28,,11,5,,11,4,,8,8,,2314,2217,,63.8,109.4,0.217,0.409,0.568,48.3,54.4,8.8,5.8,0.545,13.3,23.7,0.163
Belmont,2021-2022,33,25,8,0.758,6.49,-2.57,,15,3,,13,1,,10,5,,2583,2264,,70.3,110.5,0.266,0.434,0.585,49.9,62.2,12.8,11.0,0.560,15.0,24.6,0.197
Bethune-Cookman,2021-2022,30,9,21,0.300,-14.70,-6.70,,7,11,,4,6,,4,13,,1901,2086,,67.4,93.3,0.287,0.252,0.491,48.2,45.4,11.7,7.1,0.459,17.1,28.4,0.198
Binghamton,2021-2022,29,12,17,0.414,-10.41,-6.18,,8,10,,5,8,,7,9,,1962,1983,,67.3,100.0,0.230,0.356,0.523,50.5,44.8,8.4,10.0,0.504,16.3,27.2,0.152
Boise State NCAA,2021-2022,35,27,8,0.771,11.93,5.22,,15,3,,13,3,,9,3,,2389,2130,,64.9,104.1,0.350,0.388,0.536,53.6,47.0,9.1,9.6,0.512,15.9,30.6,0.227
Boston College,2021-2022,33,13,20,0.394,4.03,5.22,,6,14,,9,7,,2,10,,2209,2248,,65.5,100.7,0.296,0.324,0.511,50.9,50.2,10.8,8.6,0.478,15.4,30.0,0.208
Boston University,2021-2022,35,22,13,0.629,-5.07,-7.34,,11,7,,11,4,,8,8,,2470,2369,,65.3,106.9,0.290,0.378,0.552,53.4,43.0,8.5,6.6,0.521,15.9,31.1,0.214
Bowling Green State,2021-2022,31,13,18,0.419,-8.82,-4.44,,6,14,,9,7,,3,10,,2488,2495,,74.4,107.1,0.315,0.371,0.535,50.3,44.3,9.8,9.4,0.498,14.1,30.7,0.233
Bradley,2021-2022,31,17,14,0.548,5.79,1.19,,11,7,,12,2,,3,8,,2185,2021,,68.1,103.2,0.279,0.397,0.536,54.9,52.4,9.3,13.1,0.511,17.1,32.1,0.192
Brigham Young,2021-2022,35,24,11,0.686,10.05,5.23,,9,6,,14,3,,6,5,,2599,2392,,69.1,106.7,0.265,0.377,0.549,54.8,53.4,6.9,8.6,0.524,15.7,30.8,0.190
Brown,2021-2022,29,13,16,0.448,-3.32,-1.91,,5,9,,6,7,,6,7,,2058,2015,,69.7,101.8,0.308,0.393,0.529,50.7,47.9,9.6,11.1,0.497,16.4,29.4,0.218
Bryant NCAA,2021-2022,32,22,10,0.688,-4.80,-7.41,,15,2,,14,1,,7,7,,2497,2348,,73.0,106.1,0.322,0.431,0.538,51.8,50.5,8.8,10.1,0.502,16.1,33.1,0.236
Bucknell,2021-2022,32,9,23,0.281,-14.62,-6.37,,5,13,,7,6,,2,15,,2277,2541,,68.3,101.8,0.283,0.376,0.561,47.1,57.6,6.6,7.9,0.528,17.5,21.4,0.217
Buffalo,2021-2022,30,19,11,0.633,1.90,-3.21,,13,6,,9,3,,9,6,,2398,2168,,72.5,110.3,0.260,0.381,0.545,55.0,50.6,9.8,10.8,0.520,15.3,37.2,0.184
Butler,2021-2022,33,14,19,0.424,4.45,9.16,,6,14,,9,7,,3,8,,2107,2209,,64.9,97.2,0.304,0.417,0.512,49.1,48.5,7.9,7.0,0.480,16.1,26.7,0.211
Cal Poly,2021-2022,28,7,21,0.250,-10.60,-3.30,,4,12,,4,7,,2,12,,1721,1885,,65.5,92.5,0.368,0.350,0.505,51.3,49.7,7.1,7.0,0.460,19.5,27.9,0.268
Cal State Bakersfield,2021-2022,28,9,19,0.321,-7.57,-2.01,,2,14,,6,7,,2,11,,1816,1857,,65.6,98.9,0.303,0.231,0.492,52.8,40.9,9.4,8.4,0.456,15.1,33.6,0.214
Cal State Fullerton NCAA,2021-2022,32,21,11,0.656,-0.04,-2.28,,12,5,,11,2,,7,7,,2239,2129,,67.2,104.2,0.351,0.300,0.539,51.1,45.5,10.8,5.7,0.494,15.7,29.7,0.269
Cal State Northridge,2021-2022,30,7,23,0.233,-12.02,-1.41,,3,15,,4,11,,3,11,,1847,2137,,65.7,92.5,0.293,0.302,0.481,46.0,40.6,10.8,7.5,0.448,16.1,27.0,0.200
California,2021-2022,32,12,20,0.375,3.96,6.96,,5,15,,10,8,,2,9,,2018,2114,,64.9,96.4,0.253,0.316,0.501,50.9,45.2,7.4,7.2,0.469,15.1,25.3,0.184
