School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2013-2014,31,11,20,0.355,-19.60,-4.12,,2,12,,9,5,,0,14,,2214,2228,,67.7,104.2,0.400,0.360,0.559,50.2,54.5,10.4,6.5,0.515,18.6,30.4,0.300
Air Force,2013-2014,30,12,18,0.400,-4.08,1.71,,6,12,,8,9,,3,8,,1980,2074,,65.4,100.1,0.377,0.418,0.538,48.8,61.7,8.3,9.9,0.504,17.9,26.7,0.260
Akron,2013-2014,34,21,13,0.618,1.16,-0.48,,12,6,,13,2,,6,8,,2332,2276,,65.5,103.5,0.404,0.372,0.527,51.0,47.6,10.0,10.5,0.503,16.8,35.2,0.252
Alabama,2013-2014,32,13,19,0.406,8.34,8.88,,7,11,,13,4,,0,11,,2170,2150,,64.4,104.0,0.442,0.328,0.537,48.5,47.4,10.4,11.8,0.499,15.8,30.4,0.303
Alabama A&M,2013-2014,30,14,16,0.467,-13.86,-10.58,,10,8,,7,4,,5,11,,1936,2010,,66.5,95.9,0.421,0.350,0.504,47.1,57.9,9.3,11.0,0.467,17.1,28.1,0.276
Alabama State,2013-2014,32,19,13,0.594,-12.84,-11.40,,12,6,,13,1,,5,10,,2265,2225,,68.1,102.3,0.395,0.323,0.504,49.5,52.4,9.8,9.2,0.465,14.4,33.6,0.267
Albany (NY) NCAA,2013-2014,34,19,15,0.559,-3.31,-5.22,,9,7,,10,3,,7,11,,2239,2174,,63.1,103.3,0.420,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315
Alcorn State,2013-2014,31,12,19,0.387,-15.95,-9.27,,9,9,,9,3,,2,13,,1985,2101,,64.8,96.8,0.427,0.271,0.498,47.3,40.8,9.0,10.0,0.459,15.1,29.3,0.279
American NCAA,2013-2014,33,20,13,0.606,0.69,-3.25,,13,5,,11,3,,9,9,,2081,1951,,60.7,103.4,0.350,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248
Appalachian State,2013-2014,30,9,21,0.300,-15.32,-7.13,,5,11,,7,7,,2,13,,2034,2152,,67.4,99.8,0.403,0.289,0.493,50.6,45.5,9.2,7.2,0.459,14.9,34.0,0.257
Arizona NCAA,2013-2014,38,33,5,0.868,23.36,9.04,,15,3,,18,0,,8,3,,2769,2225,,64.1,112.3,0.410,0.264,0.546,55.1,57.6,9.0,11.5,0.517,13.2,36.4,0.270
Arizona State NCAA,2013-2014,33,21,12,0.636,13.32,7.41,,10,8,,16,1,,4,7,,2486,2291,,69.0,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295
Arkansas,2013-2014,34,22,12,0.647,14.34,5.57,,10,8,,17,2,,3,7,,2723,2425,,72.3,109.2,0.402,0.332,0.543,47.7,56.1,11.5,13.8,0.501,13.5,31.8,0.292
Arkansas State,2013-2014,32,19,13,0.594,-0.44,-3.18,,10,8,,11,4,,7,8,,2432,2299,,68.6,107.9,0.427,0.411,0.563,48.5,53.3,9.6,7.0,0.523,15.3,27.1,0.310
Arkansas-Pine Bluff,2013-2014,31,13,18,0.419,-15.39,-6.90,,11,7,,6,3,,6,12,,1957,2188,,68.0,92.9,0.421,0.350,0.508,46.6,53.1,14.1,7.3,0.471,19.9,28.9,0.278
Army,2013-2014,31,15,16,0.484,-6.16,-4.66,,10,8,,7,7,,7,8,,2244,2269,,68.2,105.4,0.322,0.386,0.540,48.9,54.4,8.8,10.9,0.509,16.2,32.1,0.225
Auburn,2013-2014,30,14,16,0.467,5.11,5.47,,6,12,,12,6,,2,8,,2144,2155,,67.7,105.5,0.441,0.335,0.535,49.3,48.3,9.0,12.8,0.489,15.3,31.7,0.318
Austin Peay,2013-2014,30,12,18,0.400,-10.50,-5.78,,6,10,,8,6,,3,11,,2287,2368,,71.9,104.8,0.493,0.281,0.568,48.7,55.7,9.4,13.4,0.537,19.0,30.2,0.328
Ball State,2013-2014,30,5,25,0.167,-10.17,0.65,,2,16,,5,9,,0,16,,1967,2214,,67.0,95.9,0.424,0.390,0.511,52.7,57.6,6.6,5.9,0.468,20.8,35.6,0.293
Baylor NCAA,2013-2014,38,26,12,0.684,15.80,10.11,,9,9,,13,4,,5,5,,2843,2577,,64.2,115.1,0.450,0.344,0.556,54.8,58.7,8.0,14.0,0.521,14.7,40.6,0.306
Belmont,2013-2014,36,26,10,0.722,3.29,-1.88,,14,2,,13,1,,10,8,,2876,2661,,69.5,114.9,0.402,0.417,0.612,48.8,58.1,9.9,6.9,0.580,16.5,28.7,0.298
Bethune-Cookman,2013-2014,32,7,25,0.219,-16.86,-7.53,,5,11,,5,6,,2,18,,2032,2252,,63.4,99.4,0.359,0.358,0.507,47.2,46.1,9.7,7.6,0.464,16.9,32.9,0.258
Binghamton,2013-2014,30,7,23,0.233,-16.15,-6.15,,4,12,,3,10,,4,12,,1840,2140,,65.6,92.3,0.442,0.366,0.489,47.5,47.7,9.2,6.2,0.439,18.5,29.1,0.306
Boise State,2013-2014,34,21,13,0.618,8.83,3.86,,9,9,,12,4,,5,7,,2591,2347,,65.9,114.0,0.374,0.364,0.564,53.3,45.7,8.9,6.0,0.524,12.9,33.2,0.280
Boston College,2013-2014,32,8,24,0.250,3.01,8.62,,4,14,,4,9,,3,11,,2197,2354,,62.7,107.4,0.435,0.437,0.567,47.1,55.4,6.8,6.7,0.523,15.6,27.2,0.323
Boston University,2013-2014,35,24,11,0.686,1.77,-2.40,,15,3,,11,6,,11,4,,2492,2346,,65.9,106.6,0.299,0.392,0.552,49.1,54.9,10.5,4.9,0.523,15.4,28.1,0.213
Bowling Green State,2013-2014,32,12,20,0.375,-3.45,-0.20,,6,12,,7,8,,4,11,,2007,2055,,67.0,92.9,0.361,0.239,0.491,49.8,52.1,11.4,15.1,0.460,18.7,30.2,0.230
Bradley,2013-2014,32,12,20,0.375,-2.72,-0.31,,7,11,,11,6,,1,11,,2036,2113,,63.8,99.7,0.365,0.278,0.504,50.0,42.4,11.1,8.5,0.464,15.9,32.3,0.256
Brigham Young NCAA,2013-2014,35,23,12,0.657,11.63,5.72,,13,5,,14,1,,5,7,,2931,2706,,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7,0.334
Brown,2013-2014,29,15,14,0.517,-1.44,-4.04,,7,7,,8,6,,7,8,,2065,1951,,69.4,101.7,0.348,0.302,0.520,51.9,52.8,8.1,11.9,0.489,15.9,30.4,0.234
Bryant,2013-2014,32,18,14,0.563,-4.25,-4.89,,10,6,,11,4,,7,9,,2351,2304,,67.9,107.3,0.374,0.337,0.558,48.5,50.0,9.4,7.7,0.526,15.9,28.7,0.263
Bucknell,2013-2014,30,16,14,0.533,-1.30,-3.14,,11,7,,8,6,,8,8,,1977,1922,,63.7,103.5,0.317,0.309,0.528,52.8,51.1,7.2,4.4,0.489,14.6,29.0,0.237
Buffalo,2013-2014,29,19,10,0.655,3.58,-2.13,,13,5,,13,1,,6,6,,2132,1952,,67.7,108.2,0.419,0.342,0.545,52.1,59.8,10.0,12.3,0.504,15.7,35.1,0.299
Butler,2013-2014,31,14,17,0.452,7.04,6.98,,4,14,,8,7,,4,7,,2125,2064,,64.0,104.2,0.372,0.323,0.514,50.3,45.7,9.1,7.4,0.482,13.0,30.7,0.246
Cal Poly NCAA,2013-2014,34,14,20,0.412,-1.34,1.69,,6,10,,6,6,,3,12,,2141,2163,,60.8,103.5,0.326,0.354,0.501,48.8,52.3,9.6,8.0,0.466,12.4,31.8,0.224
Cal State Bakersfield,2013-2014,32,13,19,0.406,-4.86,-4.31,,5,11,,6,7,,5,10,,2215,2189,,66.0,104.0,0.382,0.324,0.535,51.6,50.1,9.8,10.4,0.501,17.6,34.5,0.263
Cal State Fullerton,2013-2014,31,11,20,0.355,-5.08,-1.12,,6,10,,8,5,,3,12,,2092,2215,,66.8,100.6,0.381,0.334,0.513,49.1,46.7,7.0,4.9,0.481,15.4,29.1,0.251
Cal State Northridge,2013-2014,35,17,18,0.486,-4.89,-3.29,,7,9,,11,3,,2,14,,2689,2712,,68.8,108.6,0.495,0.206,0.557,51.9,53.0,9.8,7.6,0.492,15.6,33.6,0.391
California,2013-2014,35,21,14,0.600,10.70,7.44,,10,8,,15,4,,5,7,,2533,2419,,66.5,107.7,0.356,0.286,0.538,50.5,58.3,7.9,11.1,0.507,13.1,29.6,0.244
Campbell,2013-2014,32,12,20,0.375,-14.04,-7.33,,6,10,,9,7,,3,12,,2164,2291,,64.0,104.4,0.291,0.455,0.544,48.3,58.9,9.3,11.0,0.521,17.7,31.9,0.197
Canisius,2013-2014,34,21,13,0.618,1.24,-1.95,,14,6,,9,4,,8,7,,2661,2570,,67.1,114.1,0.383,0.353,0.566,47.9,46.5,10.0,10.3,0.527,14.4,33.2,0.284
Central Arkansas,2013-2014,29,8,21,0.276,-16.25,-5.54,,5,13,,7,8,,1,13,,2165,2360,,74.2,99.8,0.378,0.296,0.521,45.4,46.8,11.4,11.0,0.501,16.9,28.8,0.227
Central Connecticut State,2013-2014,30,11,19,0.367,-13.10,-6.06,,7,9,,5,8,,6,10,,2117,2318,,70.8,98.9,0.300,0.281,0.516,46.6,50.1,9.7,11.9,0.482,17.0,28.9,0.215
Central Michigan,2013-2014,31,10,21,0.323,-8.82,-2.72,,3,15,,8,8,,2,13,,2246,2288,,65.8,108.3,0.371,0.440,0.540,47.9,48.4,11.2,3.5,0.504,13.7,30.1,0.263
Charleston Southern,2013-2014,31,13,18,0.419,-5.27,-5.75,,6,10,,8,6,,4,12,,2523,2242,,68.6,116.3,0.367,0.421,0.573,51.9,49.4,9.3,7.7,0.538,13.2,32.6,0.268
Charlotte,2013-2014,31,17,14,0.548,-0.69,-0.50,,7,9,,10,5,,3,8,,2215,2221,,69.7,101.7,0.395,0.295,0.527,52.3,53.3,8.6,6.5,0.497,17.8,33.8,0.256
Chattanooga,2013-2014,33,18,15,0.545,-10.83,-7.90,,12,4,,11,2,,5,11,,2489,2439,,70.4,106.3,0.451,0.339,0.533,51.3,47.0,9.9,11.8,0.489,15.9,35.5,0.317
Chicago State,2013-2014,32,13,19,0.406,-10.47,-2.44,,8,8,,9,5,,4,13,,2232,2439,,69.6,98.3,0.344,0.347,0.509,43.8,45.5,12.2,7.6,0.476,15.1,26.7,0.232
Cincinnati NCAA,2013-2014,34,27,7,0.794,15.26,5.28,,15,3,,18,1,,7,3,,2325,1986,,63.6,107.6,0.387,0.309,0.519,53.2,52.8,12.4,16.0,0.477,14.4,39.1,0.274
Clemson,2013-2014,36,23,13,0.639,11.08,5.97,,10,8,,16,3,,4,7,,2287,2103,,59.9,103.9,0.361,0.326,0.519,51.4,48.1,7.6,16.2,0.474,15.4,33.8,0.269
Cleveland State,2013-2014,33,21,12,0.636,4.38,-0.52,,12,4,,12,3,,9,8,,2410,2186,,64.6,111.3,0.369,0.333,0.574,51.4,56.0,9.2,10.0,0.536,16.5,33.1,0.278
Coastal Carolina NCAA,2013-2014,34,21,13,0.618,-5.21,-6.31,,11,5,,14,5,,6,7,,2458,2326,,68.6,104.2,0.385,0.319,0.528,53.2,42.0,9.2,8.6,0.491,16.9,35.1,0.266
Colgate,2013-2014,31,13,18,0.419,-2.51,-4.08,,6,12,,7,8,,6,10,,2158,2083,,62.8,109.0,0.283,0.405,0.586,49.1,56.1,7.2,6.3,0.564,16.2,23.9,0.202
College of Charleston,2013-2014,32,14,18,0.438,-2.02,-1.89,,6,10,,9,7,,4,8,,2016,2006,,62.1,99.8,0.345,0.357,0.504,53.9,45.7,7.4,10.8,0.473,17.0,35.2,0.226
Colorado NCAA,2013-2014,35,23,12,0.657,10.80,8.80,,10,8,,16,2,,5,6,,2457,2387,,67.0,103.7,0.483,0.304,0.534,54.3,48.8,8.7,9.0,0.483,16.8,34.0,0.346
