School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2001-2002,28,9,19,0.321,-0.95,3.23,,3,11,,5,6,,2,12,,1605,1722,,,,0.404,0.485,0.585,42.3,61.4,,3.2,0.553,22.1,,0.288
Akron,2001-2002,31,10,21,0.323,-4.83,0.37,,5,13,,6,6,,3,9,,2154,2304,,,,0.462,0.311,0.559,47.5,58.7,,4.4,0.506,18.9,,0.350
Alabama NCAA,2001-2002,35,27,8,0.771,16.93,7.67,,12,4,,17,0,,4,4,,2658,2334,,,,0.408,0.339,0.538,52.8,50.5,,5.6,0.492,16.5,,0.300
Alabama A&M,2001-2002,29,19,10,0.655,-11.32,-15.80,,12,6,,12,2,,7,7,,2318,2123,,,,0.354,0.339,0.494,49.3,52.3,,6.7,0.458,17.7,,0.238
Alabama State,2001-2002,32,19,13,0.594,-13.25,-14.14,,12,6,,12,2,,5,9,,2095,2067,,,,0.449,0.317,0.514,51.2,43.9,,4.9,0.479,20.9,,0.287
Albany (NY),2001-2002,28,8,20,0.286,-16.99,-8.85,,5,11,,5,7,,3,12,,1593,1821,,,,0.235,0.323,0.466,47.5,48.0,,5.8,0.439,19.2,,0.157
Alcorn State NCAA,2001-2002,31,21,10,0.677,-11.27,-14.17,,16,2,,11,0,,8,9,,2473,2374,,,,0.402,0.237,0.537,53.3,55.1,,6.4,0.510,18.9,,0.258
American,2001-2002,30,18,12,0.600,-4.99,-6.19,,10,4,,8,6,,8,6,,1977,1941,,,,0.368,0.401,0.558,50.8,60.6,,4.8,0.523,21.4,,0.267
Appalachian State,2001-2002,28,10,18,0.357,-7.52,-0.64,,5,11,,7,6,,3,11,,2140,2211,,,,0.414,0.283,0.526,49.5,57.2,,4.5,0.488,19.1,,0.282
Arizona NCAA,2001-2002,34,24,10,0.706,16.91,12.47,,12,6,,13,4,,6,5,,2793,2642,,,,0.446,0.336,0.565,50.4,56.4,,4.6,0.522,16.2,,0.326
Arizona State,2001-2002,29,14,15,0.483,9.79,6.79,,7,11,,12,5,,2,10,,2229,2142,,,,0.394,0.242,0.526,53.0,58.5,,5.1,0.496,17.1,,0.258
Arkansas,2001-2002,29,14,15,0.483,12.27,10.14,,6,10,,11,5,,3,7,,2171,2108,,,,0.337,0.391,0.527,44.0,57.4,,6.2,0.501,16.7,,0.219
Arkansas State,2001-2002,31,15,16,0.484,2.13,-1.98,,5,9,,9,4,,3,9,,2259,2076,,,,0.317,0.298,0.541,51.7,49.6,,9.4,0.507,18.1,,0.230
Arkansas-Pine Bluff,2001-2002,28,2,26,0.071,-27.48,-8.69,,2,16,,2,7,,0,19,,1852,2378,,,,0.351,0.296,0.444,42.1,46.1,,3.7,0.402,20.3,,0.232
Army,2001-2002,28,12,16,0.429,-13.02,-7.44,,6,8,,8,6,,4,9,,1871,1962,,,,0.393,0.280,0.519,47.3,50.2,,4.8,0.476,18.6,,0.281
Auburn,2001-2002,28,12,16,0.429,6.89,7.97,,4,12,,12,5,,0,9,,1835,1865,,,,0.379,0.328,0.494,48.9,56.3,,9.3,0.470,21.3,,0.225
Austin Peay,2001-2002,32,14,18,0.438,-4.01,-1.01,,8,8,,9,4,,3,11,,2255,2253,,,,0.393,0.338,0.532,48.3,47.7,,7.2,0.506,18.1,,0.252
Ball State,2001-2002,35,23,12,0.657,8.88,3.30,,12,6,,12,2,,8,7,,2731,2517,,,,0.365,0.395,0.565,49.8,45.5,,6.7,0.525,15.5,,0.275
Baylor,2001-2002,30,14,16,0.467,6.23,5.08,,4,12,,12,4,,1,10,,2296,2166,,,,0.323,0.410,0.546,47.8,64.3,,6.3,0.514,16.9,,0.232
Belmont,2001-2002,28,11,17,0.393,-7.10,-3.39,,8,12,,7,5,,3,11,,2020,2124,,,,0.321,0.479,0.590,47.6,72.5,,2.2,0.559,21.1,,0.243
Bethune-Cookman,2001-2002,29,12,17,0.414,-14.33,-8.26,,8,10,,6,7,,5,9,,1983,2140,,,,0.454,0.275,0.521,49.2,38.5,,4.1,0.476,20.9,,0.313
Binghamton,2001-2002,28,9,19,0.321,-13.87,-9.40,,6,10,,3,8,,4,8,,1811,1936,,,,0.345,0.371,0.507,48.2,51.5,,8.0,0.468,19.8,,0.244
Boise State,2001-2002,30,13,17,0.433,-1.63,2.09,,6,12,,9,6,,3,11,,1877,1973,,,,0.321,0.326,0.499,47.7,54.2,,5.8,0.464,18.5,,0.223
Boston College NCAA,2001-2002,32,20,12,0.625,8.96,5.92,,8,8,,11,5,,5,4,,2354,2257,,,,0.406,0.329,0.516,49.6,53.8,,5.8,0.474,16.4,,0.282
Boston University NCAA,2001-2002,32,22,10,0.688,-4.68,-7.80,,13,3,,11,2,,9,6,,2147,2047,,,,0.368,0.321,0.517,51.9,53.3,,4.8,0.481,16.7,,0.254
Bowling Green State,2001-2002,33,24,9,0.727,7.69,1.47,,12,6,,13,1,,7,6,,2464,2238,,,,0.463,0.304,0.591,51.2,56.7,,5.5,0.547,18.1,,0.347
Bradley,2001-2002,29,9,20,0.310,-3.55,0.73,,5,13,,6,7,,2,10,,1759,1883,,,,0.418,0.286,0.487,51.4,53.0,,6.8,0.434,18.7,,0.299
Brigham Young,2001-2002,30,18,12,0.600,9.35,5.35,,7,7,,17,0,,1,11,,2115,1951,,,,0.454,0.283,0.574,51.7,59.1,,5.7,0.526,18.3,,0.345
Brown,2001-2002,27,17,10,0.630,-3.54,-5.89,,8,6,,9,4,,7,6,,2090,1997,,,,0.418,0.281,0.556,48.8,62.6,,5.1,0.509,17.0,,0.315
Bucknell,2001-2002,29,13,16,0.448,-10.24,-7.07,,8,6,,7,3,,4,11,,1791,1883,,,,0.420,0.313,0.511,49.1,57.7,,5.4,0.482,21.5,,0.261
Buffalo,2001-2002,30,12,18,0.400,-2.77,-0.47,,7,11,,7,5,,4,11,,2018,2087,,,,0.390,0.347,0.509,51.0,56.1,,4.2,0.476,19.0,,0.255
Butler,2001-2002,32,26,6,0.813,11.15,-0.38,,12,4,,11,2,,10,3,,2251,1849,,,,0.332,0.419,0.558,49.8,59.4,,4.9,0.532,13.8,,0.227
Cal Poly,2001-2002,27,15,12,0.556,-1.28,-1.48,,9,9,,11,2,,4,9,,1870,1833,,,,0.327,0.359,0.517,48.8,55.3,,4.8,0.487,17.2,,0.223
Cal State Fullerton,2001-2002,27,5,22,0.185,-11.41,-1.06,,2,16,,4,9,,1,13,,1689,1922,,,,0.387,0.354,0.493,47.2,56.8,,6.2,0.456,19.3,,0.254
Cal State Northridge,2001-2002,28,12,16,0.429,-2.88,0.41,,11,7,,7,6,,5,9,,1911,1946,,,,0.407,0.300,0.504,48.1,58.9,,4.1,0.466,19.4,,0.271
California NCAA,2001-2002,32,23,9,0.719,13.08,7.45,,12,6,,18,1,,4,7,,2310,2130,,,,0.362,0.322,0.533,48.8,58.3,,7.6,0.502,16.3,,0.245
Campbell,2001-2002,27,8,19,0.296,-15.38,-5.19,,6,14,,7,6,,1,13,,1909,2158,,,,0.351,0.300,0.531,46.5,55.3,,4.3,0.496,18.3,,0.246
Canisius,2001-2002,30,10,20,0.333,-8.16,-4.82,,5,13,,6,7,,2,12,,1965,2065,,,,0.306,0.352,0.475,47.3,57.2,,5.6,0.439,15.8,,0.210
