School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian NCAA,2018-2019,34,27,7,0.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,67.2,108.7,0.336,0.345,0.565,50.3,58.5,12.9,8.0,0.535,15.5,28.8,0.239
Air Force,2018-2019,32,14,18,0.438,-4.28,0.24,,8,10,,9,6,,3,9,,2179,2294,,67.4,99.5,0.283,0.400,0.541,50.1,54.1,7.0,5.8,0.517,17.4,23.7,0.192
Akron,2018-2019,33,17,16,0.515,4.86,1.09,,8,10,,14,3,,1,10,,2271,2107,,68.5,100.1,0.277,0.477,0.515,48.2,50.1,8.2,8.9,0.485,15.0,25.3,0.195
Alabama,2018-2019,34,18,16,0.529,9.45,9.01,,8,10,,10,6,,4,8,,2448,2433,,69.8,102.8,0.380,0.369,0.533,52.0,48.8,6.6,11.6,0.503,16.8,31.5,0.253
Alabama A&M,2018-2019,32,5,27,0.156,-19.23,-8.38,,4,14,,4,7,,0,18,,1938,2285,,67.5,88.7,0.250,0.320,0.479,47.1,52.3,10.7,4.7,0.457,19.4,27.6,0.157
Alabama State,2018-2019,31,12,19,0.387,-15.60,-7.84,,9,9,,8,3,,3,13,,2086,2235,,69.6,95.9,0.388,0.382,0.499,49.0,44.0,9.3,9.3,0.465,17.8,30.9,0.253
Albany (NY),2018-2019,32,12,20,0.375,-9.38,-6.70,,7,9,,6,8,,6,10,,2150,2216,,66.7,99.2,0.322,0.451,0.533,49.7,55.2,9.0,7.1,0.494,18.4,27.1,0.240
Alcorn State,2018-2019,31,10,21,0.323,-22.08,-8.97,,6,12,,10,3,,0,17,,1995,2194,,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213
American,2018-2019,30,15,15,0.500,-4.19,-7.23,,9,9,,8,7,,6,8,,2161,2070,,67.7,104.6,0.358,0.355,0.561,50.4,51.5,10.7,11.0,0.532,16.7,26.1,0.250
Appalachian State,2018-2019,32,11,21,0.344,-3.73,0.10,,6,12,,9,5,,2,12,,2557,2539,,73.7,107.6,0.364,0.420,0.562,48.6,46.1,7.2,6.9,0.529,15.5,26.5,0.261
Arizona,2018-2019,32,17,15,0.531,8.32,6.32,,8,10,,12,5,,4,7,,2269,2205,,68.6,102.6,0.333,0.376,0.526,50.5,50.1,7.5,6.6,0.490,14.7,28.4,0.240
Arizona State NCAA,2018-2019,34,23,11,0.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298
Arkansas,2018-2019,34,18,16,0.529,11.75,8.78,,8,10,,12,6,,5,8,,2559,2458,,71.7,104.2,0.384,0.375,0.540,47.0,60.8,11.2,15.4,0.510,16.0,28.3,0.256
Arkansas State,2018-2019,32,13,19,0.406,-7.10,-1.23,,7,11,,10,4,,2,13,,2359,2475,,70.2,102.6,0.379,0.372,0.525,51.5,45.6,8.0,11.8,0.480,16.6,33.2,0.278
Arkansas-Pine Bluff,2018-2019,32,13,19,0.406,-14.43,-8.18,,10,8,,8,2,,4,17,,2108,2269,,67.3,96.4,0.417,0.341,0.522,49.4,50.8,9.9,9.5,0.484,19.1,29.1,0.282
Army,2018-2019,32,13,19,0.406,-7.57,-4.73,,8,10,,10,4,,3,13,,2268,2305,,71.7,98.9,0.241,0.441,0.520,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165
Auburn NCAA,2018-2019,40,30,10,0.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.543,14.3,31.6,0.221
Austin Peay,2018-2019,33,22,11,0.667,0.59,-4.41,,13,5,,10,2,,8,7,,2712,2413,,71.8,113.1,0.342,0.341,0.566,51.7,46.7,10.5,9.2,0.537,14.1,33.1,0.242
Ball State,2018-2019,33,16,17,0.485,3.39,1.21,,6,12,,7,7,,8,7,,2478,2362,,71.7,103.1,0.375,0.328,0.556,51.5,47.9,9.0,8.8,0.523,17.7,27.7,0.263
Baylor NCAA,2018-2019,34,20,14,0.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,66.5,107.6,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.6,0.219
Belmont NCAA,2018-2019,33,27,6,0.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,74.2,116.2,0.286,0.440,0.603,52.2,61.9,8.9,9.1,0.580,13.7,25.1,0.211
Bethune-Cookman,2018-2019,31,14,17,0.452,-11.98,-9.74,,9,7,,11,4,,3,12,,2290,2245,,74.3,98.6,0.363,0.334,0.514,52.1,53.3,10.1,8.8,0.492,18.4,34.2,0.221
Binghamton,2018-2019,33,10,23,0.303,-13.92,-4.69,,5,11,,5,11,,5,12,,2152,2376,,67.3,96.9,0.245,0.428,0.523,45.6,40.9,8.2,12.6,0.505,16.6,21.4,0.158
Boise State,2018-2019,33,13,20,0.394,3.61,1.08,,7,11,,8,7,,3,10,,2364,2263,,66.5,106.9,0.324,0.397,0.569,49.8,47.1,9.0,6.4,0.539,15.4,23.7,0.234
Boston College,2018-2019,31,14,17,0.452,5.83,7.76,,5,13,,10,8,,2,8,,2196,2256,,68.4,101.9,0.350,0.380,0.521,48.7,49.7,7.4,9.1,0.485,15.2,28.6,0.244
Boston University,2018-2019,33,15,18,0.455,-6.61,-5.39,,7,11,,7,7,,8,10,,2385,2387,,68.1,105.8,0.243,0.332,0.556,51.5,48.5,8.8,6.6,0.537,16.5,28.7,0.166
Bowling Green State,2018-2019,34,22,12,0.647,4.24,0.86,,12,6,,14,2,,5,8,,2668,2496,,72.8,106.9,0.354,0.357,0.535,53.5,45.2,9.1,7.7,0.507,14.2,31.1,0.237
Bradley NCAA,2018-2019,35,20,15,0.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8.0,11.6,0.497,16.7,26.9,0.248
Brigham Young,2018-2019,32,19,13,0.594,6.15,3.31,,11,5,,13,3,,5,8,,2527,2436,,71.9,108.5,0.399,0.364,0.566,49.0,54.9,8.7,8.8,0.528,13.7,23.6,0.290
Brown,2018-2019,32,20,12,0.625,-0.62,-3.29,,7,7,,13,3,,7,9,,2355,2204,,72.6,100.6,0.377,0.410,0.549,50.0,51.9,10.3,11.0,0.513,17.6,23.5,0.270
Bryant,2018-2019,30,10,20,0.333,-15.19,-7.66,,7,11,,8,6,,2,13,,2088,2314,,69.2,100.6,0.368,0.421,0.529,47.3,45.0,7.6,7.5,0.490,16.3,26.7,0.262
Bucknell,2018-2019,33,21,12,0.636,0.59,-2.93,,13,5,,12,3,,7,8,,2534,2418,,71.4,107.2,0.339,0.459,0.566,49.8,59.9,7.3,8.9,0.530,15.5,25.5,0.254
Buffalo NCAA,2018-2019,36,32,4,0.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,74.5,112.8,0.327,0.436,0.561,52.4,55.3,9.8,10.1,0.535,13.8,31.8,0.225
Butler,2018-2019,33,16,17,0.485,9.22,8.10,,7,11,,12,4,,2,10,,2374,2337,,67.1,106.4,0.252,0.428,0.548,48.3,50.4,8.7,5.7,0.521,14.2,25.5,0.186
Cal Poly,2018-2019,29,6,23,0.207,-13.95,-3.54,,2,14,,4,8,,1,14,,1930,2183,,66.8,97.5,0.264,0.401,0.500,46.8,42.6,7.4,8.9,0.477,14.8,26.1,0.171
Cal State Bakersfield,2018-2019,34,18,16,0.529,-5.12,-2.63,,7,9,,9,4,,7,10,,2412,2412,,67.6,103.7,0.296,0.326,0.505,53.3,42.7,9.4,10.4,0.477,15.5,37.4,0.199
Cal State Fullerton,2018-2019,34,16,18,0.471,-3.29,-1.14,,10,6,,9,4,,4,11,,2437,2414,,70.3,100.1,0.380,0.308,0.540,50.3,46.9,8.2,8.7,0.503,16.6,23.9,0.269
Cal State Northridge,2018-2019,34,13,21,0.382,-6.54,-3.39,,7,9,,7,9,,4,11,,2601,2701,,72.1,105.0,0.321,0.308,0.536,47.9,52.9,9.1,11.3,0.516,14.5,27.7,0.205
California,2018-2019,31,8,23,0.258,-3.16,5.42,,3,15,,7,9,,1,10,,2121,2387,,68.5,99.5,0.348,0.341,0.525,44.6,45.7,10.7,10.0,0.486,14.8,23.3,0.251
California Baptist,2018-2019,31,16,15,0.516,-3.89,-4.12,,7,9,,8,7,,8,6,,2403,2241,,70.1,108.9,0.310,0.430,0.563,52.1,41.5,6.7,7.0,0.524,15.1,28.2,0.244
Campbell,2018-2019,33,20,13,0.606,-3.62,-4.39,,12,4,,12,4,,5,8,,2495,2328,,68.0,110.7,0.310,0.478,0.571,47.8,55.6,9.7,9.9,0.537,13.4,23.7,0.235
Canisius,2018-2019,32,15,17,0.469,-8.79,-4.85,,11,7,,5,8,,9,5,,2250,2376,,68.5,101.5,0.314,0.431,0.534,47.3,58.4,9.2,9.7,0.505,16.4,27.1,0.217
Central Arkansas,2018-2019,33,14,19,0.424,-11.37,-4.81,,8,10,,8,5,,5,13,,2383,2498,,72.0,99.5,0.350,0.412,0.537,48.2,57.2,8.4,10.1,0.498,17.7,25.1,0.256
Central Connecticut State,2018-2019,31,11,20,0.355,-14.02,-6.71,,5,13,,5,7,,5,12,,2205,2367,,70.4,99.4,0.348,0.336,0.520,50.1,46.8,7.8,10.9,0.469,16.8,29.9,0.272
Central Michigan,2018-2019,35,23,12,0.657,2.79,-0.34,,10,8,,13,4,,7,6,,2896,2690,,73.6,110.5,0.417,0.378,0.555,49.6,47.1,10.2,7.4,0.525,14.0,31.4,0.280
Charleston Southern,2018-2019,34,18,16,0.529,-2.43,-4.19,,9,7,,12,4,,4,11,,2574,2369,,71.9,104.5,0.273,0.438,0.528,51.0,52.6,10.7,9.9,0.505,15.3,30.9,0.185
Charlotte,2018-2019,29,8,21,0.276,-8.34,-0.89,,5,13,,5,9,,3,9,,1776,1992,,65.8,93.0,0.363,0.426,0.525,48.3,48.2,7.2,11.1,0.481,19.8,21.9,0.270
Chattanooga,2018-2019,32,12,20,0.375,-7.87,-0.76,,7,11,,8,6,,4,11,,2268,2376,,69.5,101.6,0.243,0.423,0.540,48.6,50.2,6.2,6.4,0.520,16.3,24.4,0.166
Chicago State,2018-2019,32,3,29,0.094,-24.83,0.67,,0,16,,3,8,,0,19,,1970,2710,,72.0,85.5,0.332,0.269,0.486,44.4,52.4,8.4,6.4,0.450,20.2,22.3,0.224
Cincinnati NCAA,2018-2019,35,28,7,0.800,14.53,5.50,,14,4,,16,2,,7,4,,2510,2194,,65.0,109.5,0.376,0.333,0.528,53.7,53.4,9.3,14.5,0.490,13.3,36.9,0.265
Clemson,2018-2019,34,20,14,0.588,13.85,8.99,,9,9,,14,5,,4,6,,2339,2174,,67.3,102.2,0.335,0.356,0.543,52.5,49.2,9.7,13.7,0.507,17.3,27.9,0.246
