School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2017-2018,32,16,16,0.500,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,71.5,102.3,0.309,0.350,0.549,49.7,55.4,11.3,11.6,0.521,17.7,28.0,0.217
Air Force,2017-2018,31,12,19,0.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.490,16.3,27.5,0.233
Akron,2017-2018,32,14,18,0.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,69.0,102.7,0.319,0.467,0.547,49.2,52.7,8.5,7.5,0.518,17.3,27.5,0.222
Alabama NCAA,2017-2018,36,20,16,0.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,70.2,103.0,0.419,0.355,0.550,50.3,50.3,9.0,14.7,0.519,17.8,29.4,0.281
Alabama A&M,2017-2018,31,3,28,0.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,68.2,88.2,0.314,0.354,0.480,48.2,50.5,5.8,3.9,0.450,20.9,29.9,0.203
Alabama State,2017-2018,31,8,23,0.258,-18.56,-8.62,,8,10,,4,8,,4,13,,2129,2437,,70.5,97.0,0.352,0.347,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.227
Albany (NY),2017-2018,32,22,10,0.688,0.02,-5.40,,10,6,,14,3,,8,7,,2375,2182,,67.3,110.3,0.370,0.273,0.550,55.2,48.3,7.0,7.9,0.507,14.7,34.9,0.279
Alcorn State,2017-2018,32,11,21,0.344,-18.07,-8.60,,7,11,,9,5,,2,16,,2244,2388,,70.4,99.2,0.328,0.382,0.532,48.4,53.0,8.8,7.7,0.499,17.9,27.2,0.232
American,2017-2018,30,6,24,0.200,-14.63,-6.16,,3,15,,4,8,,2,16,,1961,2215,,67.3,96.7,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.7,0.202
Appalachian State,2017-2018,33,15,18,0.455,-4.83,-2.67,,9,9,,9,4,,4,11,,2520,2448,,72.0,104.6,0.378,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252
Arizona NCAA,2017-2018,35,27,8,0.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,68.6,115.6,0.370,0.321,0.598,55.6,52.6,7.1,12.0,0.563,15.3,33.3,0.281
Arizona State NCAA,2017-2018,32,20,12,0.625,14.37,6.55,,8,10,,13,4,,4,6,,2645,2395,,72.2,113.5,0.413,0.413,0.576,49.0,51.6,9.0,9.9,0.538,13.0,27.9,0.303
Arkansas NCAA,2017-2018,35,23,12,0.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255
Arkansas State,2017-2018,32,11,21,0.344,-9.65,-3.02,,6,12,,7,7,,4,13,,2369,2523,,70.4,104.3,0.329,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.6,0.236
Arkansas-Pine Bluff,2017-2018,35,14,21,0.400,-14.84,-9.36,,12,6,,7,3,,6,13,,2307,2499,,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,24.0,0.247
Army,2017-2018,30,13,17,0.433,-8.62,-7.17,,6,12,,6,5,,4,12,,2230,2223,,71.7,103.3,0.243,0.418,0.542,49.6,61.1,7.9,8.2,0.524,16.4,27.1,0.160
Auburn NCAA,2017-2018,34,26,8,0.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32.0,0.308
Austin Peay,2017-2018,34,19,15,0.559,-3.28,-2.50,,12,6,,13,5,,5,9,,2512,2446,,70.1,104.7,0.366,0.294,0.532,52.2,49.5,9.4,8.9,0.505,16.8,35.7,0.239
Ball State,2017-2018,32,19,13,0.594,-1.22,-2.00,,10,8,,14,2,,5,10,,2410,2362,,71.1,104.7,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.9,0.239
