School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2016-2017,29,13,16,0.448,-11.86,-7.10,,7,11,,9,5,,4,11,,2009,2073,,68.0,100.2,0.349,0.354,0.554,47.1,56.6,10.5,8.5,0.530,18.5,23.5,0.232
Air Force,2016-2017,33,12,21,0.364,-3.06,1.00,,4,14,,11,7,,0,11,,2411,2477,,68.9,104.8,0.381,0.388,0.544,50.3,60.5,8.6,5.7,0.506,15.0,26.5,0.273
Akron,2016-2017,36,27,9,0.750,3.59,-1.21,,14,4,,13,2,,7,6,,2772,2550,,68.0,113.2,0.366,0.484,0.580,51.2,54.5,8.1,8.6,0.556,15.0,29.8,0.250
Alabama,2016-2017,34,19,15,0.559,11.29,7.47,,10,8,,11,6,,5,6,,2330,2200,,67.4,100.2,0.391,0.372,0.515,53.8,48.2,8.6,11.6,0.483,17.3,34.1,0.255
Alabama A&M,2016-2017,29,2,27,0.069,-26.99,-11.09,,2,16,,1,9,,1,18,,1794,2255,,65.4,93.4,0.396,0.289,0.487,46.4,51.9,5.2,4.4,0.446,17.3,30.0,0.265
Alabama State,2016-2017,31,8,23,0.258,-19.75,-10.75,,6,12,,6,5,,1,17,,2042,2305,,69.6,93.1,0.346,0.368,0.478,50.4,41.7,6.8,8.0,0.447,18.6,34.6,0.220
Albany (NY),2016-2017,35,21,14,0.600,-0.16,-4.69,,10,6,,11,5,,9,8,,2496,2301,,65.3,109.2,0.333,0.266,0.555,55.5,49.0,7.8,5.6,0.517,15.6,33.7,0.252
Alcorn State,2016-2017,32,18,14,0.563,-12.33,-10.95,,13,5,,11,2,,6,11,,2221,2175,,69.2,100.0,0.328,0.359,0.515,51.4,53.1,9.4,9.2,0.488,17.3,32.5,0.214
American,2016-2017,30,8,22,0.267,-10.30,-3.50,,5,13,,4,11,,4,11,,1845,2049,,65.2,94.0,0.307,0.343,0.522,46.6,49.0,10.6,6.9,0.503,18.3,21.7,0.190
Appalachian State,2016-2017,30,9,21,0.300,-8.67,-1.60,,4,14,,8,6,,1,14,,2208,2279,,72.1,101.6,0.378,0.417,0.525,50.7,55.3,7.7,7.6,0.491,16.5,29.4,0.258
Arizona NCAA,2016-2017,37,32,5,0.865,18.25,7.63,,16,2,,15,1,,9,1,,2833,2440,,67.3,113.8,0.405,0.305,0.580,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.310
Arizona State,2016-2017,33,15,18,0.455,4.02,7.11,,7,11,,9,7,,4,6,,2593,2695,,72.5,108.0,0.319,0.438,0.550,45.1,48.4,8.1,8.8,0.514,12.7,24.4,0.239
Arkansas NCAA,2016-2017,36,26,10,0.722,14.04,8.60,,12,6,,15,3,,6,5,,2855,2659,,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.290
Arkansas State,2016-2017,32,20,12,0.625,0.87,-2.10,,11,7,,12,1,,7,9,,2346,2211,,68.8,106.1,0.415,0.323,0.547,52.1,48.1,7.8,7.3,0.522,16.2,31.4,0.265
Arkansas-Pine Bluff,2016-2017,32,7,25,0.219,-22.81,-10.28,,6,12,,6,6,,1,19,,1977,2320,,68.7,88.2,0.337,0.360,0.494,46.8,48.1,12.4,9.5,0.463,22.4,29.8,0.220
Army,2016-2017,32,13,19,0.406,-5.84,-4.10,,6,12,,9,8,,4,10,,2324,2340,,72.0,99.6,0.280,0.433,0.538,51.8,61.8,7.6,4.9,0.518,18.3,27.1,0.183
