School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2010-2011,32,16,16,0.500,2.71,3.31,,6,10,,12,5,,3,11,,2074,2082,,62.5,102.5,0.387,0.367,0.572,45.3,68.4,9.9,8.7,0.540,17.5,20.4,0.273
Akron NCAA,2010-2011,36,23,13,0.639,2.15,-1.02,,9,7,,14,2,,5,9,,2524,2365,,67.0,102.9,0.313,0.379,0.530,47.9,58.3,9.8,9.2,0.499,15.4,28.3,0.220
Alabama,2010-2011,37,25,12,0.676,11.70,4.27,,12,4,,19,0,,4,6,,2473,2198,,65.3,101.6,0.316,0.247,0.520,52.0,48.8,14.4,14.2,0.487,17.8,36.8,0.223
Alabama A&M,2010-2011,28,13,15,0.464,-15.19,-11.75,,10,8,,9,4,,4,10,,1808,1870,,71.6,89.8,0.418,0.272,0.472,48.8,53.6,11.6,13.1,0.435,18.8,31.7,0.261
Alabama State NCAA,2010-2011,35,17,18,0.486,-13.37,-10.31,,11,7,,10,3,,4,14,,2146,2234,,66.5,91.5,0.473,0.317,0.476,50.7,55.5,10.9,13.1,0.440,19.6,35.7,0.285
Albany (NY),2010-2011,32,16,16,0.500,-7.05,-5.96,,9,7,,7,6,,7,8,,2013,2048,,61.0,101.1,0.297,0.369,0.517,51.7,51.1,7.5,8.3,0.494,17.4,35.1,0.192
Alcorn State,2010-2011,28,4,24,0.143,-23.02,-8.02,,4,14,,2,7,,2,17,,1838,2258,,77.6,84.2,0.469,0.216,0.452,43.5,41.5,10.0,8.3,0.404,18.9,25.5,0.297
American,2010-2011,31,22,9,0.710,-3.13,-5.64,,11,3,,10,3,,10,5,,2051,1973,,61.9,105.2,0.375,0.348,0.543,52.4,60.1,6.5,7.6,0.506,15.5,29.8,0.269
Appalachian State,2010-2011,31,16,15,0.516,-4.81,-2.95,,10,8,,9,3,,6,8,,2265,2269,,68.9,105.6,0.399,0.335,0.548,49.9,41.4,8.3,7.2,0.511,16.3,30.4,0.281
Arizona NCAA,2010-2011,38,30,8,0.789,16.54,7.99,,14,4,,17,0,,7,4,,2905,2580,,66.9,112.8,0.436,0.361,0.583,53.1,55.3,7.7,6.5,0.541,16.3,34.0,0.325
Arizona State,2010-2011,31,12,19,0.387,4.30,7.20,,4,14,,8,7,,2,10,,1983,2073,,64.4,99.0,0.290,0.409,0.521,47.3,64.4,9.8,10.9,0.501,16.6,27.7,0.182
Arkansas,2010-2011,31,18,13,0.581,6.28,2.34,,7,9,,15,3,,2,7,,2191,2069,,67.7,102.8,0.394,0.325,0.532,48.0,49.3,10.6,13.9,0.495,16.6,30.7,0.274
Arkansas State,2010-2011,32,17,15,0.531,-3.38,-3.31,,11,5,,13,0,,4,10,,2188,2066,,65.6,103.8,0.435,0.294,0.526,53.4,48.7,9.6,8.5,0.481,16.7,35.9,0.308
Arkansas-Pine Bluff,2010-2011,31,7,24,0.226,-20.00,-8.03,,7,11,,5,4,,2,19,,1850,2221,,68.4,86.3,0.401,0.345,0.483,46.7,56.9,10.9,6.4,0.449,21.3,26.9,0.252
Army,2010-2011,30,11,19,0.367,-10.71,-6.58,,3,11,,4,8,,7,10,,2038,2141,,68.2,99.5,0.298,0.426,0.525,48.8,57.0,8.3,5.1,0.493,17.9,30.1,0.212
Auburn,2010-2011,31,11,20,0.355,-2.47,2.40,,4,12,,9,11,,2,7,,1933,2051,,65.7,93.8,0.391,0.274,0.481,49.4,51.7,11.7,10.8,0.442,18.0,33.8,0.257
Austin Peay,2010-2011,34,20,14,0.588,-0.15,-3.77,,13,5,,10,3,,8,9,,2510,2279,,68.6,105.4,0.394,0.264,0.539,50.8,53.8,12.3,11.3,0.506,17.2,35.6,0.268
Ball State,2010-2011,32,19,13,0.594,-0.70,-3.40,,10,6,,11,3,,6,9,,2164,2049,,64.7,103.3,0.504,0.273,0.538,50.3,60.2,9.2,5.5,0.492,17.1,32.2,0.349
Baylor,2010-2011,31,18,13,0.581,10.00,4.80,,7,9,,15,3,,2,6,,2154,1984,,66.5,104.0,0.432,0.293,0.552,53.3,48.5,10.5,11.9,0.515,20.0,36.6,0.300
Belmont NCAA,2010-2011,35,30,5,0.857,13.07,-4.42,,19,1,,12,0,,12,4,,2790,2178,,69.2,114.4,0.382,0.422,0.577,52.5,60.9,13.9,9.7,0.542,16.6,37.4,0.281
Bethune-Cookman,2010-2011,34,21,13,0.618,-11.11,-8.04,,13,3,,11,3,,9,7,,2241,2240,,63.5,101.6,0.396,0.244,0.520,49.7,49.4,11.0,7.6,0.477,16.1,32.4,0.281
Binghamton,2010-2011,31,8,23,0.258,-13.81,-5.35,,4,12,,3,10,,4,12,,1861,2123,,61.6,96.7,0.283,0.402,0.500,46.2,51.9,8.2,9.0,0.468,17.1,30.0,0.199
Boise State,2010-2011,35,22,13,0.629,5.48,0.01,,10,6,,12,4,,9,7,,2594,2382,,68.2,106.5,0.419,0.344,0.540,50.4,51.3,12.4,8.0,0.497,15.0,31.6,0.302
Boston College,2010-2011,34,21,13,0.618,9.78,7.31,,9,7,,12,5,,5,6,,2440,2356,,64.2,111.9,0.315,0.433,0.573,49.4,60.4,7.7,6.8,0.545,15.0,30.4,0.228
Boston University NCAA,2010-2011,35,21,14,0.600,-2.48,-3.85,,12,4,,12,2,,4,10,,2270,2222,,62.7,103.0,0.373,0.401,0.517,50.2,46.1,8.6,10.5,0.473,16.0,34.0,0.272
Bowling Green State,2010-2011,33,14,19,0.424,-5.94,-2.03,,8,8,,10,5,,4,11,,2116,2215,,66.1,95.9,0.305,0.264,0.497,48.1,56.0,12.8,9.6,0.471,17.3,30.5,0.196
Bradley,2010-2011,32,12,20,0.375,-1.52,1.67,,4,14,,8,8,,2,10,,2076,2164,,65.9,98.0,0.333,0.272,0.512,48.3,50.0,9.5,7.4,0.473,16.1,26.8,0.240
Brigham Young NCAA,2010-2011,37,32,5,0.865,18.65,5.76,,14,2,,13,1,,10,1,,3012,2512,,71.1,113.4,0.382,0.382,0.562,51.9,52.8,11.2,9.9,0.518,13.1,31.2,0.292
Brown,2010-2011,28,11,17,0.393,-7.27,-4.12,,4,10,,8,5,,3,12,,2002,2054,,69.5,102.5,0.356,0.389,0.546,48.5,58.0,7.5,6.6,0.506,15.8,23.3,0.266
Bryant,2010-2011,30,9,21,0.300,-12.98,-3.12,,7,11,,5,8,,3,12,,2001,2258,,66.8,98.7,0.319,0.400,0.516,47.0,56.8,8.2,7.6,0.490,17.4,29.2,0.208
Bucknell NCAA,2010-2011,34,25,9,0.735,2.39,-3.87,,13,1,,14,1,,10,6,,2387,2174,,66.1,105.9,0.341,0.315,0.554,49.7,59.4,7.1,8.9,0.509,15.0,25.2,0.269
Buffalo,2010-2011,34,20,14,0.588,2.93,-2.22,,8,8,,13,3,,7,10,,2399,2197,,67.0,104.6,0.359,0.294,0.550,52.5,54.4,11.7,14.3,0.527,19.4,37.1,0.233
Butler NCAA,2010-2011,38,28,10,0.737,11.53,5.02,,13,5,,12,2,,7,6,,2707,2437,,64.5,109.0,0.377,0.387,0.541,52.3,49.2,9.1,4.7,0.501,14.3,33.2,0.273
Cal Poly,2010-2011,30,15,15,0.500,-1.84,-2.39,,10,6,,7,5,,8,9,,1779,1766,,61.4,96.1,0.372,0.393,0.487,50.0,55.7,9.8,6.4,0.450,16.3,32.7,0.247
Cal State Bakersfield,2010-2011,28,9,19,0.321,-11.44,-2.16,,,,,7,8,,2,11,,1907,2167,,69.7,96.8,0.360,0.329,0.490,46.5,50.1,10.4,7.7,0.450,16.4,31.8,0.248
Cal State Fullerton,2010-2011,31,11,20,0.355,-7.68,-2.81,,7,9,,7,5,,4,12,,2208,2326,,68.4,103.7,0.420,0.322,0.549,49.7,52.3,7.6,4.3,0.508,17.9,31.4,0.302
Cal State Northridge,2010-2011,32,14,18,0.438,-5.35,-1.55,,9,7,,7,5,,5,10,,2232,2280,,70.0,99.6,0.475,0.314,0.528,50.4,54.1,9.3,10.6,0.487,19.2,33.0,0.320
California,2010-2011,33,18,15,0.545,9.45,9.17,,10,8,,12,6,,5,6,,2391,2382,,68.5,103.8,0.471,0.270,0.549,51.6,60.1,8.2,7.0,0.508,17.1,30.4,0.327
Campbell,2010-2011,31,12,19,0.387,-6.67,-4.27,,6,14,,7,7,,4,10,,2032,2091,,65.6,99.5,0.404,0.214,0.520,49.9,57.3,10.7,15.3,0.490,18.6,34.4,0.259
Canisius,2010-2011,30,15,15,0.500,-2.92,-3.55,,9,9,,10,4,,5,10,,2043,2024,,67.3,101.3,0.274,0.380,0.519,49.3,60.8,10.3,12.6,0.491,17.4,34.1,0.192
Centenary (LA),2010-2011,30,1,29,0.033,-25.21,-2.85,,1,17,,1,10,,0,19,,1775,2422,,70.8,83.6,0.474,0.289,0.481,43.4,49.2,10.0,6.5,0.440,22.7,26.6,0.297
Central Arkansas,2010-2011,29,5,24,0.172,-19.16,-5.39,,1,15,,4,9,,0,14,,1984,2216,,72.3,94.2,0.413,0.318,0.501,47.3,50.1,10.5,6.6,0.466,19.1,31.4,0.265
Central Connecticut State,2010-2011,31,19,12,0.613,-1.94,-5.97,,11,7,,12,2,,6,10,,2170,2045,,67.6,102.3,0.361,0.264,0.527,51.1,59.0,11.0,10.2,0.479,17.8,36.6,0.276
Central Michigan,2010-2011,31,10,21,0.323,-8.01,-2.41,,7,9,,6,7,,3,13,,1841,2006,,64.8,90.5,0.335,0.278,0.462,49.1,41.1,11.0,10.2,0.430,17.4,32.3,0.211
Charleston Southern,2010-2011,32,16,16,0.500,-4.86,-4.57,,9,9,,12,2,,3,12,,2362,2197,,69.0,106.6,0.318,0.302,0.541,52.7,47.2,12.5,8.1,0.502,17.2,37.4,0.240
Charlotte,2010-2011,30,10,20,0.333,-2.54,1.89,,2,14,,6,7,,2,11,,1997,2130,,65.5,97.5,0.376,0.372,0.520,50.4,52.4,9.4,8.5,0.476,18.9,31.5,0.274
Chattanooga,2010-2011,32,16,16,0.500,-9.44,-2.67,,12,6,,10,6,,6,10,,2274,2380,,70.8,99.2,0.405,0.463,0.522,52.1,58.7,7.1,4.6,0.491,18.2,31.0,0.263
Chicago State,2010-2011,32,6,26,0.188,-27.71,-4.88,,3,9,,4,6,,1,17,,2128,2772,,74.7,88.0,0.379,0.259,0.476,46.1,51.6,8.5,6.7,0.439,19.8,28.4,0.246
Cincinnati NCAA,2010-2011,35,26,9,0.743,15.41,6.10,,11,7,,15,3,,7,4,,2412,2086,,63.6,107.9,0.383,0.336,0.526,53.2,58.6,11.5,10.2,0.494,14.9,38.1,0.256
Clemson NCAA,2010-2011,34,22,12,0.647,13.76,6.58,,9,7,,15,2,,3,7,,2330,2086,,65.1,104.5,0.385,0.345,0.539,51.2,54.9,12.2,13.2,0.503,17.2,34.2,0.270
Cleveland State,2010-2011,36,27,9,0.750,7.59,1.74,,13,5,,17,3,,9,5,,2556,2291,,66.5,106.8,0.415,0.351,0.539,49.1,49.7,11.2,7.4,0.494,14.8,31.2,0.304
Coastal Carolina,2010-2011,34,28,6,0.824,2.35,-5.15,,16,2,,15,3,,10,2,,2597,2178,,68.0,111.2,0.434,0.253,0.562,54.9,56.0,9.7,11.7,0.528,16.1,36.6,0.301
Colgate,2010-2011,30,7,23,0.233,-15.80,-5.03,,4,10,,3,9,,4,14,,1947,2270,,68.0,94.3,0.375,0.300,0.507,50.0,55.5,8.4,8.0,0.469,19.8,31.5,0.256
College of Charleston,2010-2011,37,26,11,0.703,6.17,-1.05,,14,4,,13,1,,10,8,,2821,2554,,67.6,112.7,0.274,0.384,0.574,49.4,47.9,8.6,9.4,0.548,15.4,32.8,0.203
Colorado,2010-2011,38,24,14,0.632,11.45,5.61,,8,8,,18,2,,3,9,,3025,2787,,69.1,114.0,0.390,0.276,0.570,52.0,49.5,9.8,7.3,0.524,14.4,35.3,0.304
Colorado State,2010-2011,32,19,13,0.594,7.49,5.26,,9,7,,9,5,,6,5,,2279,2166,,67.5,105.2,0.420,0.329,0.557,51.1,53.1,10.7,7.2,0.522,18.0,31.9,0.291
Columbia,2010-2011,28,15,13,0.536,-5.22,-4.81,,6,8,,10,4,,5,9,,1982,1988,,68.1,103.0,0.358,0.285,0.516,52.5,46.2,9.4,7.4,0.476,15.3,34.2,0.256
Connecticut NCAA,2010-2011,41,32,9,0.780,17.95,10.44,,9,9,,13,4,,5,5,,2967,2659,,65.1,109.2,0.338,0.293,0.526,52.9,50.7,9.5,13.6,0.482,14.2,38.7,0.258
Coppin State,2010-2011,30,16,14,0.533,-8.70,-7.66,,11,5,,11,3,,5,10,,2175,2169,,69.8,102.2,0.341,0.361,0.529,48.8,45.3,10.3,6.3,0.495,16.6,31.2,0.239
Cornell,2010-2011,28,10,18,0.357,-3.60,-1.60,,6,8,,6,6,,3,11,,1906,1962,,66.0,102.6,0.311,0.425,0.525,47.5,61.7,10.0,7.2,0.496,15.7,29.5,0.215
Creighton,2010-2011,39,23,16,0.590,4.87,1.41,,10,8,,19,3,,3,11,,2684,2549,,63.5,108.1,0.360,0.373,0.563,52.9,60.7,6.7,8.0,0.529,16.5,31.0,0.263
Dartmouth,2010-2011,28,5,23,0.179,-14.86,-3.39,,1,13,,3,8,,2,15,,1667,1988,,66.2,89.5,0.295,0.284,0.478,44.7,42.5,9.7,7.6,0.442,18.0,26.5,0.206
Davidson,2010-2011,33,18,15,0.545,-0.39,-2.17,,10,8,,10,3,,5,10,,2392,2266,,68.2,106.3,0.359,0.397,0.542,53.1,51.9,7.2,7.8,0.502,17.3,35.8,0.263
Dayton,2010-2011,36,22,14,0.611,4.87,3.20,,7,9,,14,5,,6,6,,2413,2353,,65.9,100.6,0.332,0.329,0.501,53.3,61.7,7.1,8.7,0.468,16.5,35.7,0.225
Delaware,2010-2011,31,14,17,0.452,-3.79,-0.11,,8,10,,6,6,,7,9,,1951,2065,,62.9,99.2,0.402,0.328,0.514,48.4,48.7,5.8,10.3,0.473,16.1,28.1,0.278
Delaware State,2010-2011,30,9,21,0.300,-12.18,-6.39,,5,11,,6,4,,3,16,,1874,1967,,61.3,101.1,0.284,0.377,0.524,42.0,51.5,13.7,10.0,0.493,15.8,27.9,0.203
Denver,2010-2011,30,13,17,0.433,-4.04,-3.48,,9,7,,11,4,,2,10,,1800,1817,,58.6,100.7,0.381,0.437,0.575,44.7,66.1,9.3,10.9,0.542,19.2,20.0,0.276
DePaul,2010-2011,31,7,24,0.226,-1.31,7.53,,1,17,,6,11,,1,9,,2104,2378,,68.9,97.3,0.333,0.288,0.505,44.5,58.2,10.7,7.7,0.471,16.8,30.0,0.227
Detroit Mercy,2010-2011,33,17,16,0.515,1.88,0.91,,10,8,,11,4,,6,11,,2459,2397,,70.5,104.1,0.471,0.260,0.548,52.4,47.7,10.6,12.9,0.509,18.7,36.4,0.324
Drake,2010-2011,31,13,18,0.419,-2.56,0.76,,7,11,,10,5,,2,10,,1997,2100,,65.4,98.1,0.381,0.356,0.526,45.8,52.3,8.6,7.6,0.490,16.6,23.9,0.261
Drexel,2010-2011,31,21,10,0.677,4.02,-0.01,,11,7,,12,2,,7,7,,1975,1850,,63.4,100.1,0.403,0.223,0.489,56.6,48.4,6.4,7.1,0.458,15.5,37.6,0.248
Duke NCAA,2010-2011,37,32,5,0.865,24.51,8.32,,13,3,,17,0,,6,4,,2993,2394,,70.2,115.2,0.374,0.353,0.576,51.9,50.9,10.4,9.7,0.537,14.7,35.1,0.282
Duquesne,2010-2011,32,19,13,0.594,10.33,1.49,,10,6,,10,2,,8,7,,2494,2177,,71.3,108.0,0.417,0.374,0.546,48.0,65.5,13.7,14.2,0.525,15.8,34.1,0.259
East Carolina,2010-2011,34,18,16,0.529,1.67,2.99,,8,8,,11,5,,4,7,,2319,2288,,65.8,102.9,0.494,0.417,0.543,48.5,59.9,9.8,7.7,0.500,18.3,31.2,0.342
East Tennessee State,2010-2011,36,24,12,0.667,2.08,-2.12,,16,4,,13,2,,9,7,,2515,2320,,66.0,105.2,0.445,0.281,0.540,51.4,44.7,10.2,11.2,0.503,17.0,33.9,0.301
Eastern Illinois,2010-2011,29,9,20,0.310,-11.41,-4.89,,4,14,,5,9,,4,11,,1749,1875,,63.7,94.3,0.320,0.239,0.500,51.2,57.2,9.3,7.6,0.460,18.8,32.4,0.232
Eastern Kentucky,2010-2011,31,15,16,0.484,-7.34,-6.48,,9,9,,8,5,,6,9,,2046,1957,,62.4,105.0,0.328,0.424,0.559,47.1,61.7,9.6,8.1,0.524,17.0,26.7,0.243
Eastern Michigan,2010-2011,31,9,22,0.290,-9.11,-3.11,,5,11,,7,6,,1,13,,1906,2030,,67.3,91.0,0.353,0.392,0.481,49.2,61.3,9.7,9.8,0.452,18.5,28.7,0.221
Eastern Washington,2010-2011,30,10,20,0.333,-8.50,-2.22,,7,9,,8,6,,2,14,,2023,2119,,66.6,100.5,0.363,0.389,0.512,49.3,51.7,8.6,10.7,0.480,17.3,34.0,0.240
Elon,2010-2011,31,14,17,0.452,-6.54,-3.32,,7,11,,8,5,,5,9,,2301,2301,,70.3,105.6,0.382,0.439,0.546,48.0,56.9,7.8,6.5,0.508,15.6,28.6,0.272
Evansville,2010-2011,32,16,16,0.500,-0.30,1.80,,9,9,,13,3,,3,12,,2122,2147,,66.1,100.0,0.465,0.257,0.541,47.9,62.5,8.3,5.7,0.496,17.5,25.4,0.329
Fairfield,2010-2011,33,25,8,0.758,2.94,-3.91,,15,3,,13,3,,10,4,,2150,1924,,65.8,98.7,0.389,0.258,0.505,51.8,58.2,12.4,9.4,0.472,17.7,35.0,0.255
FDU,2010-2011,29,5,24,0.172,-13.34,-5.00,,3,15,,3,11,,2,13,,1866,2108,,67.3,94.1,0.394,0.289,0.486,50.2,52.6,8.4,8.8,0.444,18.6,33.4,0.266
Florida NCAA,2010-2011,37,29,8,0.784,16.27,7.57,,13,3,,14,3,,8,2,,2667,2345,,63.9,110.3,0.357,0.317,0.547,54.0,53.8,9.1,9.5,0.521,15.6,37.2,0.239
Florida A&M,2010-2011,32,12,20,0.375,-16.82,-8.71,,7,9,,11,3,,1,16,,2055,2196,,68.7,92.0,0.402,0.349,0.483,50.2,41.8,11.1,9.8,0.453,19.8,35.5,0.243
Florida Atlantic,2010-2011,32,21,11,0.656,-2.41,-2.61,,13,3,,10,3,,9,7,,2191,2137,,64.7,105.0,0.392,0.292,0.523,49.1,50.5,9.2,12.8,0.492,14.7,32.8,0.258
Florida Gulf Coast,2010-2011,30,10,20,0.333,-10.27,-3.11,,7,13,,6,8,,4,12,,1970,2185,,69.2,93.7,0.426,0.319,0.493,50.7,54.3,9.0,6.3,0.454,20.0,35.3,0.277
