Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2021-2022,12,222,178,0.555,9.49,7.35,1,3,0,Arizona,Arizona
Big 12 Conference,2021-2022,10,217,126,0.633,15.54,9.75,1,6,1,Baylor Kansas,Kansas
Big Ten Conference,2021-2022,14,271,193,0.584,11.92,8.60,1,9,0,Illinois Wisconsin,Iowa
Southeastern Conference,2021-2022,14,283,196,0.591,12.34,8.45,0,6,0,Auburn,Tennessee
Conference USA,2021-2022,14,250,214,0.539,-0.35,-0.62,0,1,0,Middle Tennessee (East) North Texas (West),UAB
Atlantic 10 Conference,2021-2022,14,243,208,0.539,3.46,2.30,0,2,0,Davidson,Richmond
West Coast Conference,2021-2022,10,183,141,0.565,5.14,3.26,0,3,0,Gonzaga,Gonzaga
American Athletic Conference,2021-2022,11,194,151,0.562,7.32,4.95,0,2,0,Houston,Houston
Southern Conference,2021-2022,10,177,148,0.545,-1.71,-1.51,0,1,0,Chattanooga,Chattanooga
Missouri Valley Conference,2021-2022,10,170,153,0.526,2.66,1.53,0,1,0,Northern Iowa,Loyola (IL)
Big East Conference,2021-2022,11,218,148,0.596,11.22,8.16,0,6,1,Providence,Villanova
Atlantic Coast Conference,2021-2022,15,290,224,0.564,9.04,6.78,0,5,2,Duke,Virginia Tech
Western Athletic Conference,2021-2022,13,221,197,0.529,-2.58,-1.70,0,1,0,New Mexico State Seattle Stephen F. Austin,New Mexico State
Mid-American Conference,2021-2022,12,192,191,0.501,-5.01,-3.39,0,1,0,Toledo,Akron
Colonial Athletic Association,2021-2022,10,166,156,0.516,-2.20,-1.33,0,1,0,Towson UNC Wilmington,Delaware
Sun Belt Conference,2021-2022,12,198,169,0.540,-3.69,-2.41,0,1,0,Texas State,Georgia State
Horizon League,2021-2022,12,176,205,0.462,-8.22,-5.83,0,1,0,Cleveland State Purdue Fort Wayne,Wright State
Ivy League,2021-2022,8,108,113,0.489,-4.30,-2.82,0,1,0,Princeton,Yale
Atlantic Sun Conference,2021-2022,12,188,192,0.495,-5.90,-3.28,0,1,0,Liberty (East) Jacksonville State (West),Bellarmine
Northeast Conference,2021-2022,10,128,169,0.431,-10.96,-7.54,0,1,0,Bryant,Bryant
Big South Conference,2021-2022,12,179,194,0.480,-7.32,-4.58,0,1,0,Longwood (North) Winthrop (South),Longwood
Big Sky Conference,2021-2022,11,179,181,0.497,-7.38,-5.05,0,1,0,Montana State,Montana State
Mountain West Conference,2021-2022,11,204,153,0.571,5.83,4.18,0,4,0,Boise State,Boise State
Metro Atlantic Athletic Conference,2021-2022,11,180,169,0.516,-3.28,-2.96,0,1,0,Iona,Saint Peter's
America East Conference,2021-2022,10,148,158,0.484,-8.15,-6.26,0,1,0,Vermont,Vermont
Ohio Valley Conference,2021-2022,10,154,165,0.483,-5.92,-3.92,0,1,0,Murray State,Murray State
Summit League,2021-2022,10,158,158,0.500,-6.69,-4.83,0,1,0,South Dakota State,South Dakota State
Big West Conference,2021-2022,11,155,158,0.495,-3.65,-2.45,0,1,0,Long Beach State,Cal State Fullerton
Mid-Eastern Athletic Conference,2021-2022,8,106,131,0.447,-12.03,-7.67,0,1,0,Norfolk State,Norfolk State
Southwest Athletic Conference,2021-2022,12,137,229,0.374,-12.03,-5.86,0,1,0,Alcorn State,Texas Southern
Southland Conference,2021-2022,8,119,141,0.458,-10.58,-5.90,0,1,0,Nicholls State,Texas A&M-Corpus Christi
Patriot League,2021-2022,10,146,174,0.456,-9.62,-7.19,0,1,0,Colgate,Colgate
