Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2011-2012,10,209,131,0.615,11.71,7.49,1,6,1,Kansas,Missouri
Southeastern Conference,2011-2012,12,246,160,0.606,10.09,6.24,0,4,1,Kentucky,Vanderbilt
Big East Conference,2011-2012,16,334,217,0.606,10.66,6.81,0,9,1,Syracuse,Louisville
Atlantic Sun Conference,2011-2012,10,156,167,0.483,-2.54,-1.03,0,1,0,Belmont,Belmont
West Coast Conference,2011-2012,9,158,132,0.545,1.63,1.33,0,3,0,Saint Mary's (CA),Saint Mary's (CA)
Pac-12 Conference,2011-2012,12,226,185,0.550,6.74,4.83,0,2,0,Washington,Colorado
Big Ten Conference,2011-2012,12,260,157,0.624,12.77,8.18,0,6,1,Michigan Michigan State Ohio State,Michigan State
Mid-American Conference,2011-2012,12,195,197,0.497,-1.56,-0.91,0,1,0,Akron (East) Eastern Michigan (West),Ohio
Horizon League,2011-2012,10,167,160,0.511,-1.41,-0.21,0,1,0,Valparaiso,Detroit Mercy
Conference USA,2011-2012,12,218,172,0.559,4.15,2.48,0,2,0,Memphis,Memphis
Atlantic 10 Conference,2011-2012,14,251,205,0.550,5.28,3.59,0,4,0,Temple,St. Bonaventure
Mountain West Conference,2011-2012,8,165,96,0.632,7.04,3.36,0,4,0,New Mexico San Diego State,New Mexico
Big West Conference,2011-2012,9,133,148,0.473,-4.29,-2.33,0,1,0,Long Beach State,Long Beach State
Western Athletic Conference,2011-2012,8,150,121,0.554,0.42,-0.40,0,1,0,Nevada,New Mexico State
Colonial Athletic Association,2011-2012,12,197,200,0.496,-1.41,-0.86,0,1,0,Drexel,Virginia Commonwealth
Sun Belt Conference,2011-2012,12,177,197,0.473,-2.26,-0.88,0,1,0,Middle Tennessee (East) Little Rock (West),Western Kentucky
Patriot League,2011-2012,8,123,128,0.490,-6.16,-4.75,0,1,0,Bucknell,Lehigh
Big Sky Conference,2011-2012,9,127,145,0.467,-6.20,-3.69,0,1,0,Montana,Montana
America East Conference,2011-2012,9,121,163,0.426,-8.80,-6.12,0,1,0,Stony Brook,Vermont
Atlantic Coast Conference,2011-2012,12,232,166,0.583,8.74,5.76,0,5,0,North Carolina,Florida State
Ohio Valley Conference,2011-2012,11,172,175,0.496,-6.30,-4.05,0,1,0,Murray State,Murray State
Missouri Valley Conference,2011-2012,10,180,151,0.544,4.85,3.48,0,2,0,Wichita State,Creighton
Big South Conference,2011-2012,11,167,182,0.479,-6.22,-4.25,0,1,0,UNC Asheville,UNC Asheville
Southern Conference,2011-2012,12,179,200,0.472,-5.83,-3.13,0,1,0,UNC Greensboro (North) Davidson (South),Davidson
Independent,2011-2012,3,38,51,0.427,-10.60,-4.13,0,0,0,,
Summit League,2011-2012,10,168,153,0.523,-2.72,-1.94,0,1,0,Oral Roberts,South Dakota State
Mid-Eastern Athletic Conference,2011-2012,13,176,238,0.425,-10.63,-6.05,0,1,0,Savannah State,Norfolk State
Ivy League,2011-2012,8,125,119,0.512,-2.42,-2.08,0,1,0,Harvard,
Metro Atlantic Athletic Conference,2011-2012,10,157,169,0.482,-4.10,-2.85,0,2,0,Iona,Loyola (MD)
Southland Conference,2011-2012,12,180,197,0.477,-7.31,-4.47,0,1,0,Lamar (East) UT Arlington (West),Lamar
Northeast Conference,2011-2012,12,167,207,0.447,-7.42,-4.99,0,1,0,Long Island University,Long Island University
Great West Conference,2011-2012,6,77,112,0.407,-12.73,-5.90,0,0,0,Utah Valley,North Dakota
Southwest Athletic Conference,2011-2012,10,118,195,0.377,-16.71,-9.40,0,1,0,Mississippi Valley State,Mississippi Valley State
