Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2012-2013,12,237,168,0.585,9.84,6.67,1,5,0,UCLA,Oregon
Big 12 Conference,2012-2013,10,199,139,0.589,9.49,6.29,0,5,0,Kansas Kansas State,Kansas
Big East Conference,2012-2013,15,316,191,0.623,11.83,7.30,0,8,2,Georgetown Louisville Marquette,Louisville
Big Ten Conference,2012-2013,12,262,159,0.622,14.14,9.21,0,7,1,Indiana,Ohio State
Atlantic 10 Conference,2012-2013,16,293,225,0.566,6.10,4.25,0,5,0,Saint Louis,Saint Louis
West Coast Conference,2012-2013,9,175,130,0.574,4.57,2.80,0,2,0,Gonzaga,Gonzaga
Southeastern Conference,2012-2013,14,263,203,0.564,8.24,5.12,0,3,0,Florida,Mississippi
Western Athletic Conference,2012-2013,10,164,156,0.513,-0.50,-0.65,0,1,0,Denver Louisiana Tech,New Mexico State
Mid-American Conference,2012-2013,12,191,196,0.494,-2.29,-1.36,0,1,0,Akron (East) Ohio (East) Western Michigan (West),Akron
Atlantic Coast Conference,2012-2013,12,245,163,0.600,10.10,6.47,0,4,0,Miami (FL),Miami (FL)
Mountain West Conference,2012-2013,9,185,113,0.621,8.32,5.53,0,5,0,New Mexico,New Mexico
Metro Atlantic Athletic Conference,2012-2013,10,161,169,0.488,-2.09,-1.46,0,1,0,Niagara,Iona
Missouri Valley Conference,2012-2013,10,194,150,0.564,6.07,4.27,0,2,1,Creighton,Creighton
Conference USA,2012-2013,12,225,175,0.563,1.44,0.41,0,1,0,Memphis,Memphis
Colonial Athletic Association,2012-2013,11,163,192,0.459,-3.55,-1.82,0,1,0,Northeastern,James Madison
Big West Conference,2012-2013,10,156,169,0.480,-3.17,-1.24,0,1,0,Long Beach State,Pacific
America East Conference,2012-2013,9,135,147,0.479,-5.62,-4.15,0,1,0,Stony Brook,Albany (NY)
Northeast Conference,2012-2013,12,171,203,0.457,-7.32,-4.59,0,1,0,Robert Morris,Long Island University
Sun Belt Conference,2012-2013,11,174,178,0.494,-3.43,-2.45,0,2,0,Middle Tennessee (East) Arkansas State (West),Western Kentucky
Ivy League,2012-2013,8,107,128,0.455,-3.72,-1.97,0,1,0,Harvard,
Independent,2012-2013,2,22,34,0.393,-13.88,-4.18,0,0,0,,
Summit League,2012-2013,9,138,153,0.474,-6.43,-3.55,0,1,0,South Dakota State Western Illinois,South Dakota State
Horizon League,2012-2013,9,160,140,0.533,-0.53,-0.57,0,1,0,Valparaiso,Valparaiso
Southern Conference,2012-2013,12,175,212,0.452,-7.57,-4.78,0,1,0,Elon (North) Davidson (South),Davidson
Patriot League,2012-2013,8,125,128,0.494,-3.53,-3.03,0,1,0,Bucknell,Bucknell
Mid-Eastern Athletic Conference,2012-2013,13,173,244,0.415,-10.51,-6.01,0,1,0,Norfolk State,North Carolina A&T
Big South Conference,2012-2013,12,172,214,0.446,-8.81,-5.62,0,1,0,High Point (North) Charleston Southern (South),Liberty
Big Sky Conference,2012-2013,11,157,187,0.456,-8.32,-5.40,0,1,0,Montana,Montana
Southland Conference,2012-2013,10,145,170,0.460,-7.81,-4.52,0,1,0,Stephen F. Austin,Northwestern State
Atlantic Sun Conference,2012-2013,10,144,176,0.450,-6.84,-3.67,0,1,0,Mercer,Florida Gulf Coast
Great West Conference,2012-2013,5,71,86,0.452,-12.03,-7.45,0,0,0,NJIT,Chicago State
Ohio Valley Conference,2012-2013,12,188,187,0.501,-5.22,-3.53,0,1,0,Belmont (East) Murray State (West),Belmont
Southwest Athletic Conference,2012-2013,10,118,192,0.381,-15.30,-8.90,0,1,0,Texas Southern,Southern
