Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2015-2016,12,241,160,0.601,11.85,8.52,1,7,0,Oregon,Oregon
Big East Conference,2015-2016,10,206,134,0.606,11.63,7.92,0,5,1,Villanova,Seton Hall
Big 12 Conference,2015-2016,10,213,129,0.623,15.01,10.12,1,7,1,Kansas,Kansas
West Coast Conference,2015-2016,10,170,152,0.528,2.04,1.59,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga
Southeastern Conference,2015-2016,14,263,204,0.563,10.33,7.50,0,3,0,Kentucky Texas A&M,Kentucky
Atlantic 10 Conference,2015-2016,14,260,203,0.562,4.96,3.51,0,3,0,Dayton St. Bonaventure Virginia Commonwealth,Saint Joseph's
Mid-American Conference,2015-2016,12,224,179,0.556,-0.40,-0.97,0,1,0,Akron (East) Ball State (West) Central Michigan (West),Buffalo
Big Ten Conference,2015-2016,14,279,196,0.587,10.93,7.12,0,7,0,Indiana,Michigan State
Conference USA,2015-2016,14,225,237,0.487,-4.13,-2.70,0,1,0,UAB,Middle Tennessee
Southern Conference,2015-2016,10,170,165,0.507,-5.38,-3.40,0,1,0,Chattanooga,Chattanooga
Western Athletic Conference,2015-2016,8,125,131,0.488,-6.66,-3.85,0,1,0,New Mexico State,Cal State Bakersfield
Colonial Athletic Association,2015-2016,10,174,146,0.544,1.22,0.61,0,1,0,Hofstra UNC Wilmington,UNC Wilmington
America East Conference,2015-2016,9,137,153,0.472,-8.83,-6.24,0,1,0,Stony Brook,Stony Brook
American Athletic Conference,2015-2016,11,198,161,0.552,7.57,4.49,0,4,0,Temple,Connecticut
Atlantic Sun Conference,2015-2016,8,124,142,0.466,-7.21,-4.07,0,1,0,North Florida,Florida Gulf Coast
Atlantic Coast Conference,2015-2016,15,317,200,0.613,13.96,9.24,0,7,2,North Carolina,North Carolina
Summit League,2015-2016,9,155,131,0.542,-2.15,-1.41,0,1,0,Purdue Fort Wayne South Dakota State,South Dakota State
Big West Conference,2015-2016,9,150,143,0.512,-0.72,0.08,0,1,0,Hawaii UC Irvine,Hawaii
Big Sky Conference,2015-2016,12,181,203,0.471,-7.94,-5.05,0,1,0,Weber State,Weber State
Mountain West Conference,2015-2016,11,203,165,0.552,2.88,2.28,0,1,0,San Diego State,Fresno State
Metro Atlantic Athletic Conference,2015-2016,11,167,188,0.470,-4.51,-3.46,0,1,0,Monmouth,Iona
Ohio Valley Conference,2015-2016,12,184,198,0.482,-5.41,-3.40,0,1,0,Belmont (East) Murray State (West) Tennessee-Martin (West),Austin Peay
Sun Belt Conference,2015-2016,11,181,175,0.508,-2.91,-2.34,0,1,0,Little Rock,Little Rock
Ivy League,2015-2016,8,123,113,0.521,-1.33,-1.85,0,1,0,Yale,
Horizon League,2015-2016,10,168,163,0.508,-2.26,-0.91,0,1,0,Valparaiso,Green Bay
Missouri Valley Conference,2015-2016,10,169,159,0.515,2.02,2.01,0,2,0,Wichita State,Northern Iowa
Big South Conference,2015-2016,11,175,176,0.499,-6.54,-4.36,0,1,0,High Point Winthrop,UNC Asheville
Southwest Athletic Conference,2015-2016,10,130,194,0.401,-13.98,-8.48,0,1,0,Texas Southern,Southern
Southland Conference,2015-2016,13,186,221,0.457,-10.68,-6.56,0,1,0,Stephen F. Austin,Stephen F. Austin
Patriot League,2015-2016,10,146,173,0.458,-8.55,-6.21,0,1,0,Bucknell,Holy Cross
Mid-Eastern Athletic Conference,2015-2016,13,165,250,0.398,-14.26,-8.14,0,1,0,Hampton,Hampton
Northeast Conference,2015-2016,10,133,182,0.422,-12.87,-8.79,0,1,0,Wagner,FDU
