Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2016-2017,10,215,131,0.621,17.44,11.26,1,6,0,Kansas,Iowa State
Pac-12 Conference,2016-2017,12,238,168,0.586,9.33,6.73,1,4,1,Arizona Oregon,Arizona
Big East Conference,2016-2017,10,203,135,0.601,13.19,9.11,1,7,0,Villanova,Villanova
Southeastern Conference,2016-2017,14,274,202,0.576,11.72,8.82,0,5,1,Kentucky,Kentucky
Big Ten Conference,2016-2017,14,288,192,0.600,12.64,8.75,0,7,0,Purdue,Michigan
American Athletic Conference,2016-2017,11,199,163,0.550,6.20,4.11,0,2,0,Southern Methodist,Southern Methodist
West Coast Conference,2016-2017,10,184,147,0.556,3.01,1.94,0,2,1,Gonzaga,Gonzaga
Atlantic 10 Conference,2016-2017,14,250,211,0.542,3.80,2.66,0,3,0,Dayton,Rhode Island
Colonial Athletic Association,2016-2017,10,171,156,0.523,-1.22,-1.27,0,1,0,UNC Wilmington,UNC Wilmington
Mid-American Conference,2016-2017,12,211,185,0.533,-1.26,-1.67,0,1,0,Akron (East) Ball State (West) Western Michigan (West),Kent State
Western Athletic Conference,2016-2017,8,139,124,0.529,-4.37,-2.66,0,1,0,Cal State Bakersfield,New Mexico State
Atlantic Sun Conference,2016-2017,8,131,131,0.500,-7.21,-4.85,0,1,0,Florida Gulf Coast,Florida Gulf Coast
Atlantic Coast Conference,2016-2017,15,320,196,0.620,14.66,9.67,0,9,1,North Carolina,Duke
Southern Conference,2016-2017,10,172,160,0.518,-3.60,-2.17,0,1,0,East Tennessee State Furman UNC Greensboro,East Tennessee State
America East Conference,2016-2017,9,148,147,0.502,-6.66,-5.01,0,1,0,Vermont,Vermont
Conference USA,2016-2017,14,224,228,0.496,-3.26,-2.42,0,1,0,Middle Tennessee,Middle Tennessee
Big Sky Conference,2016-2017,12,174,210,0.453,-7.72,-5.16,0,1,0,North Dakota,North Dakota
Metro Atlantic Athletic Conference,2016-2017,11,179,186,0.490,-4.32,-3.32,0,1,0,Monmouth,Iona
Missouri Valley Conference,2016-2017,10,172,155,0.526,3.48,2.62,0,1,0,Illinois State Wichita State,Wichita State
Summit League,2016-2017,9,143,141,0.504,-3.30,-1.85,0,1,0,South Dakota,South Dakota State
Mountain West Conference,2016-2017,11,202,162,0.555,2.95,1.92,0,1,0,Nevada,Nevada
Horizon League,2016-2017,10,169,164,0.508,-3.63,-2.42,0,1,0,Oakland Valparaiso,Northern Kentucky
Ivy League,2016-2017,8,111,117,0.487,-3.17,-2.50,0,1,0,Princeton,Princeton
Sun Belt Conference,2016-2017,12,217,189,0.534,-2.80,-2.60,0,1,0,UT Arlington,Troy
Big South Conference,2016-2017,10,160,165,0.492,-9.36,-6.04,0,1,0,UNC Asheville Winthrop,Winthrop
Northeast Conference,2016-2017,10,133,186,0.417,-10.26,-6.52,0,1,0,Mount St. Mary's,Mount St. Mary's
Patriot League,2016-2017,10,151,169,0.472,-5.00,-3.52,0,1,0,Bucknell,Bucknell
Big West Conference,2016-2017,9,126,160,0.441,-7.63,-3.78,0,1,0,UC Irvine,UC Davis
Ohio Valley Conference,2016-2017,12,182,196,0.481,-5.19,-3.34,0,1,0,Belmont (East) Tennessee-Martin (West),Jacksonville State
Southland Conference,2016-2017,13,202,209,0.491,-9.35,-5.82,0,1,0,New Orleans,New Orleans
Mid-Eastern Athletic Conference,2016-2017,13,156,259,0.376,-16.34,-9.42,0,1,0,North Carolina Central,North Carolina Central
Southwest Athletic Conference,2016-2017,10,123,199,0.382,-17.06,-10.16,0,1,0,Texas Southern,Texas Southern
