Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2014-2015,12,242,166,0.593,9.74,6.59,1,4,0,Arizona,Arizona
Big 12 Conference,2014-2015,10,209,128,0.620,14.05,9.03,1,7,0,Kansas,Iowa State
Big East Conference,2014-2015,10,199,136,0.594,12.20,8.51,1,6,0,Villanova,Villanova
West Coast Conference,2014-2015,10,179,147,0.549,5.07,3.84,0,2,0,Gonzaga,Gonzaga
Big Ten Conference,2014-2015,14,287,191,0.600,12.22,8.02,0,7,2,Wisconsin,Wisconsin
Atlantic 10 Conference,2014-2015,14,250,209,0.545,4.43,3.32,0,3,0,Davidson,Virginia Commonwealth
Southeastern Conference,2014-2015,14,276,198,0.582,10.65,7.51,0,5,1,Kentucky,Kentucky
Atlantic Coast Conference,2014-2015,15,316,200,0.612,12.33,8.06,0,6,1,Virginia,Notre Dame
Mid-American Conference,2014-2015,12,216,176,0.551,1.20,-0.07,0,1,0,Buffalo (East) Kent State (East) Central Michigan (West),Buffalo
Horizon League,2014-2015,9,148,146,0.503,-1.69,-0.54,0,1,0,Valparaiso,Valparaiso
Conference USA,2014-2015,14,234,222,0.513,-1.42,-0.75,0,1,0,Louisiana Tech,UAB
Big Sky Conference,2014-2015,12,178,199,0.472,-7.10,-4.56,0,1,0,Eastern Washington Montana,Eastern Washington
Metro Atlantic Athletic Conference,2014-2015,11,166,189,0.468,-3.75,-2.93,0,1,0,Iona,Manhattan
America East Conference,2014-2015,9,125,160,0.439,-7.79,-4.73,0,1,0,Albany (NY),Albany (NY)
Big West Conference,2014-2015,9,148,143,0.509,-0.76,0.09,0,1,0,UC Davis,UC Irvine
Southern Conference,2014-2015,10,157,165,0.488,-6.24,-4.07,0,1,0,Wofford,Wofford
Atlantic Sun Conference,2014-2015,8,125,135,0.481,-9.10,-5.79,0,1,0,North Florida,North Florida
Mountain West Conference,2014-2015,11,195,163,0.545,1.69,1.32,0,3,0,Boise State San Diego State,Wyoming
Independent,2014-2015,1,21,12,0.636,-3.21,-4.07,0,0,0,,
Patriot League,2014-2015,10,154,161,0.489,-5.35,-3.55,0,1,0,Bucknell,Lafayette
Summit League,2014-2015,9,141,143,0.496,-4.83,-3.21,0,1,0,North Dakota State South Dakota State,North Dakota State
Missouri Valley Conference,2014-2015,10,187,150,0.555,2.25,1.50,0,2,0,Wichita State,Northern Iowa
American Athletic Conference,2014-2015,11,200,164,0.549,3.35,2.29,0,2,0,Southern Methodist,Southern Methodist
Northeast Conference,2014-2015,10,140,175,0.444,-7.99,-5.04,0,1,0,St. Francis (NY),Robert Morris
Western Athletic Conference,2014-2015,8,115,144,0.444,-8.14,-4.59,0,1,0,New Mexico State,New Mexico State
Ivy League,2014-2015,8,122,116,0.513,-1.99,-1.76,0,1,0,Harvard Yale,
Colonial Athletic Association,2014-2015,10,157,168,0.483,-3.02,-2.07,0,1,0,James Madison Northeastern UNC Wilmington William & Mary,Northeastern
Sun Belt Conference,2014-2015,11,181,172,0.513,-4.40,-3.48,0,1,0,Georgia State,Georgia State
Big South Conference,2014-2015,11,181,179,0.503,-7.69,-5.41,0,1,0,Charleston Southern High Point,Coastal Carolina
Ohio Valley Conference,2014-2015,12,190,192,0.497,-4.99,-3.44,0,1,0,Belmont (East) Eastern Kentucky (East) Murray State (West),Belmont
Mid-Eastern Athletic Conference,2014-2015,13,171,251,0.405,-12.87,-7.36,0,1,0,North Carolina Central,Hampton
Southwest Athletic Conference,2014-2015,10,120,198,0.377,-15.63,-8.87,0,1,0,Texas Southern,Texas Southern
Southland Conference,2014-2015,13,196,207,0.486,-9.02,-5.70,0,1,0,Stephen F. Austin,Stephen F. Austin
