Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2018-2019,10,216,137,0.612,14.82,10.54,0,6,1,Kansas State Texas Tech,Iowa State
American Athletic Conference,2018-2019,12,239,169,0.586,7.03,4.21,0,4,0,Houston,Cincinnati
Southeastern Conference,2018-2019,14,283,197,0.590,12.73,9.29,0,7,1,Louisiana State,Auburn
Big East Conference,2018-2019,10,202,142,0.587,9.92,6.96,0,4,0,Villanova,Villanova
Big Ten Conference,2018-2019,14,290,195,0.598,15.12,10.82,0,8,1,Michigan State Purdue,Michigan State
Pac-12 Conference,2018-2019,12,217,181,0.545,7.07,5.25,0,3,0,Washington,Oregon
Atlantic 10 Conference,2018-2019,14,235,227,0.509,1.47,0.83,0,2,0,Virginia Commonwealth,Saint Louis
West Coast Conference,2018-2019,10,191,142,0.574,4.99,2.24,0,2,0,Gonzaga,Saint Mary's (CA)
Atlantic Coast Conference,2018-2019,15,316,198,0.615,14.17,9.06,0,7,1,North Carolina Virginia,Duke
Mid-American Conference,2018-2019,12,226,172,0.568,3.00,1.60,0,1,0,Buffalo (East) Toledo (West),Buffalo
Colonial Athletic Association,2018-2019,10,163,165,0.497,-4.53,-3.12,0,1,0,Hofstra,Northeastern
Ohio Valley Conference,2018-2019,12,190,192,0.497,-5.82,-3.73,0,2,0,Belmont Murray State,Murray State
Conference USA,2018-2019,14,244,217,0.529,-1.76,-1.10,0,1,0,Old Dominion,Old Dominion
Missouri Valley Conference,2018-2019,10,171,159,0.518,-0.69,-0.23,0,1,0,Drake Loyola (IL),Bradley
Ivy League,2018-2019,8,132,109,0.548,-1.46,-1.58,0,1,0,Harvard Yale,Yale
Southland Conference,2018-2019,13,198,217,0.477,-10.05,-6.10,0,1,0,Sam Houston,Abilene Christian
Big South Conference,2018-2019,11,181,183,0.497,-6.03,-4.25,0,1,0,Campbell Radford,Gardner-Webb
Sun Belt Conference,2018-2019,12,204,190,0.518,-1.74,-1.14,0,1,0,Georgia State,Georgia State
Patriot League,2018-2019,10,157,163,0.491,-5.57,-4.61,0,1,0,Bucknell Colgate,Colgate
Mountain West Conference,2018-2019,11,183,175,0.511,1.49,1.12,0,2,0,Nevada Utah State,Utah State
Atlantic Sun Conference,2018-2019,9,145,155,0.483,-5.36,-2.55,0,1,0,Liberty Lipscomb,Liberty
Western Athletic Conference,2018-2019,9,161,142,0.531,-3.01,-2.14,0,1,0,New Mexico State,New Mexico State
Big Sky Conference,2018-2019,11,170,186,0.478,-8.25,-5.81,0,1,0,Montana,Montana
Southern Conference,2018-2019,10,178,150,0.543,-0.71,-0.60,0,1,0,Wofford,Wofford
Horizon League,2018-2019,10,158,173,0.477,-3.34,-1.66,0,1,0,Northern Kentucky Wright State,Northern Kentucky
Metro Atlantic Athletic Conference,2018-2019,11,150,203,0.425,-9.08,-6.58,0,1,0,Iona,Iona
America East Conference,2018-2019,9,137,155,0.469,-8.04,-5.55,0,1,0,Vermont,Vermont
Summit League,2018-2019,9,136,150,0.476,-5.49,-3.38,0,1,0,South Dakota State,North Dakota State
Mid-Eastern Athletic Conference,2018-2019,12,151,238,0.388,-16.00,-9.20,0,1,0,Norfolk State,North Carolina Central
Big West Conference,2018-2019,9,142,153,0.481,-4.77,-2.74,0,1,0,UC Irvine,UC Irvine
Northeast Conference,2018-2019,10,148,174,0.460,-10.81,-7.47,0,1,0,FDU Saint Francis (PA),FDU
Southwest Athletic Conference,2018-2019,10,129,200,0.392,-14.78,-8.26,0,1,0,Prairie View,Prairie View
