Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
West Coast Conference,2007-2008,8,122,135,0.475,-1.47,0.09,1,3,0,Gonzaga,San Diego
Pacific-10 Conference,2007-2008,10,207,133,0.609,11.70,7.75,0,6,1,UCLA,UCLA
Horizon League,2007-2008,10,169,150,0.530,0.68,1.38,1,1,0,Butler,Butler
Big 12 Conference,2007-2008,12,253,154,0.622,12.36,7.41,0,6,1,Kansas Texas,Kansas
Big Ten Conference,2007-2008,11,214,156,0.578,9.90,6.80,0,4,0,Wisconsin,Wisconsin
Conference USA,2007-2008,12,221,175,0.558,3.46,2.34,0,1,1,Memphis,Memphis
Southeastern Conference,2007-2008,12,244,157,0.608,9.92,6.08,0,6,0,Tennessee (East),Georgia
Atlantic 10 Conference,2007-2008,14,254,197,0.563,4.97,3.32,0,3,0,Xavier,Temple
Atlantic Coast Conference,2007-2008,12,248,153,0.618,12.32,7.97,0,4,1,North Carolina,North Carolina
Mid-American Conference,2007-2008,12,183,195,0.484,-0.78,0.51,0,1,0,Kent State (East) Western Michigan (West),Kent State
Missouri Valley Conference,2007-2008,10,184,145,0.559,5.36,3.82,0,1,0,Drake,Drake
Big East Conference,2007-2008,16,315,217,0.592,10.89,7.45,0,8,0,Georgetown,Pittsburgh
Western Athletic Conference,2007-2008,9,142,148,0.490,-3.45,-1.83,0,1,0,Boise State Nevada New Mexico State Utah State,Boise State
Mountain West Conference,2007-2008,9,165,126,0.567,3.96,1.95,0,2,0,Brigham Young,Nevada-Las Vegas
Atlantic Sun Conference,2007-2008,8,130,122,0.516,-6.82,-4.43,0,1,0,Belmont,Belmont
Ivy League,2007-2008,8,105,127,0.453,-7.75,-4.86,0,1,0,Cornell,
Southern Conference,2007-2008,11,173,177,0.494,-3.34,-1.47,0,1,0,Appalachian State (North) Chattanooga (North) Davidson (South),Davidson
Patriot League,2007-2008,8,125,119,0.512,-5.48,-4.97,0,1,0,American,American
Ohio Valley Conference,2007-2008,11,156,186,0.456,-9.69,-6.77,0,1,0,Austin Peay,Austin Peay
Southland Conference,2007-2008,11,179,158,0.531,-6.28,-4.02,0,1,0,Lamar (East) Stephen F. Austin (West),UT Arlington
Sun Belt Conference,2007-2008,13,213,196,0.521,-2.77,-1.74,0,2,0,South Alabama (East) Western Kentucky (East) Little Rock (West) Louisiana (West),Western Kentucky
America East Conference,2007-2008,9,124,154,0.446,-7.65,-5.54,0,1,0,Maryland-Baltimore County,Maryland-Baltimore County
Northeast Conference,2007-2008,11,158,180,0.467,-8.04,-6.18,0,1,0,Robert Morris,Mount St. Mary's
Colonial Athletic Association,2007-2008,12,189,192,0.496,-2.62,-2.05,0,1,0,Virginia Commonwealth,George Mason
Big Sky Conference,2007-2008,9,129,144,0.473,-6.43,-3.33,0,1,0,Portland State,Portland State
Big West Conference,2007-2008,9,142,140,0.504,-4.58,-2.82,0,1,0,Cal State Fullerton Cal State Northridge UC Santa Barbara,Cal State Fullerton
Independent,2007-2008,4,51,70,0.421,-14.03,-3.29,0,0,0,,
Summit League,2007-2008,8,124,127,0.494,-3.65,-1.04,0,1,0,Oral Roberts,Oral Roberts
Metro Atlantic Athletic Conference,2007-2008,10,152,164,0.481,-4.24,-3.16,0,1,0,Rider Siena,Siena
Big South Conference,2007-2008,8,125,122,0.506,-7.64,-4.85,0,1,0,UNC Asheville Winthrop,Winthrop
Mid-Eastern Athletic Conference,2007-2008,11,150,203,0.425,-14.32,-8.27,0,1,0,Morgan State,Coppin State
Southwest Athletic Conference,2007-2008,10,118,189,0.384,-17.80,-11.23,0,1,0,Alabama State Mississippi Valley State,Mississippi Valley State
