Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big Ten Conference,2005-2006,11,213,133,0.616,10.32,6.66,1,6,0,Ohio State,Iowa
Pacific-10 Conference,2005-2006,10,181,135,0.573,10.43,7.55,0,4,1,UCLA,UCLA
Atlantic Coast Conference,2005-2006,12,238,147,0.618,11.53,6.40,1,4,0,Duke,Duke
Big East Conference,2005-2006,16,309,194,0.614,11.23,7.13,0,8,0,Connecticut Villanova,Syracuse
West Coast Conference,2005-2006,8,118,117,0.502,1.87,2.63,1,1,0,Gonzaga,Gonzaga
Missouri Valley Conference,2005-2006,10,179,133,0.574,6.60,4.68,0,4,0,Wichita State,Southern Illinois
Southeastern Conference,2005-2006,12,240,149,0.617,11.01,6.96,0,6,2,Louisiana State (West),Florida
Mountain West Conference,2005-2006,9,152,124,0.551,5.02,3.53,0,2,0,San Diego State,San Diego State
Conference USA,2005-2006,12,191,169,0.531,0.31,0.29,1,2,0,Memphis,Memphis
Horizon League,2005-2006,9,138,134,0.507,-1.47,-0.33,0,1,0,Milwaukee,Milwaukee
Mid-American Conference,2005-2006,12,185,177,0.511,-0.99,-0.42,0,1,0,Kent State (East) Northern Illinois (West),Kent State
Atlantic 10 Conference,2005-2006,14,218,201,0.520,2.66,1.93,0,2,0,George Washington,Xavier
Big 12 Conference,2005-2006,12,215,146,0.596,10.39,6.84,0,4,0,Kansas Texas,Kansas
Western Athletic Conference,2005-2006,9,142,131,0.520,2.11,2.23,0,2,0,Nevada,Nevada
America East Conference,2005-2006,9,113,148,0.433,-7.40,-4.90,0,1,0,Albany (NY),Albany (NY)
Big Sky Conference,2005-2006,8,125,110,0.532,-2.08,-1.15,0,1,0,Northern Arizona,Montana
Northeast Conference,2005-2006,11,147,173,0.459,-7.50,-5.72,0,1,0,FDU,Monmouth
Southland Conference,2005-2006,11,159,162,0.495,-5.97,-3.51,0,1,0,Northwestern State,Northwestern State
Atlantic Sun Conference,2005-2006,9,122,141,0.464,-10.96,-8.01,0,1,0,Belmont Lipscomb,Belmont
Sun Belt Conference,2005-2006,11,164,159,0.508,-2.39,-1.27,0,1,0,Western Kentucky (East) South Alabama (West),South Alabama
Colonial Athletic Association,2005-2006,12,196,172,0.533,0.82,0.35,0,2,1,George Mason UNC Wilmington,UNC Wilmington
Ohio Valley Conference,2005-2006,11,153,167,0.478,-7.83,-5.40,0,1,0,Murray State,Murray State
Big South Conference,2005-2006,9,130,131,0.498,-8.92,-6.13,0,1,0,Winthrop,Winthrop
Big West Conference,2005-2006,8,115,119,0.491,-3.03,-1.54,0,1,0,Pacific,Pacific
Metro Atlantic Athletic Conference,2005-2006,10,146,147,0.498,-1.74,-1.08,0,1,0,Manhattan,Iona
Southern Conference,2005-2006,11,166,163,0.505,-7.57,-4.96,0,1,0,Elon (North) Georgia Southern (South),Davidson
Patriot League,2005-2006,8,114,122,0.483,-7.23,-4.63,0,1,0,Bucknell,Bucknell
Southwest Athletic Conference,2005-2006,10,117,175,0.401,-14.16,-8.85,0,1,0,Southern,Southern
Independent,2005-2006,4,39,78,0.333,-14.84,-2.48,0,0,0,,
Ivy League,2005-2006,8,100,121,0.452,-7.23,-5.08,0,1,0,Pennsylvania,
Mid-Eastern Athletic Conference,2005-2006,11,129,207,0.384,-14.58,-8.87,0,1,0,Delaware State,Hampton
Mid-Continent Conference,2005-2006,9,114,149,0.433,-7.02,-3.69,0,1,0,IU Indy Oral Roberts,Oral Roberts
