Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2013-2014,12,248,160,0.608,11.22,7.59,1,6,0,Arizona,UCLA
Big 12 Conference,2013-2014,10,207,133,0.609,13.24,9.09,1,7,0,Kansas,Iowa State
West Coast Conference,2013-2014,10,189,146,0.564,5.23,3.63,0,2,0,Gonzaga,Gonzaga
Atlantic 10 Conference,2013-2014,13,251,176,0.588,6.55,4.12,0,6,0,Saint Louis,Saint Joseph's
Big Ten Conference,2013-2014,12,258,159,0.619,13.18,8.31,0,6,1,Michigan,Michigan State
Southeastern Conference,2013-2014,14,281,199,0.585,9.66,6.47,0,3,2,Florida,Florida
Big East Conference,2013-2014,10,198,136,0.593,10.90,7.21,0,4,0,Villanova,Providence
Horizon League,2013-2014,9,152,145,0.512,-0.50,-0.22,0,1,0,Green Bay,Milwaukee
Atlantic Coast Conference,2013-2014,15,300,210,0.588,10.80,7.21,0,6,0,Virginia,Virginia
American Athletic Conference,2013-2014,10,204,138,0.596,9.08,5.79,0,4,1,Cincinnati Louisville,Louisville
Metro Atlantic Athletic Conference,2013-2014,11,173,187,0.481,-2.31,-1.53,0,1,0,Iona,Manhattan
Mid-American Conference,2013-2014,12,208,184,0.531,-1.49,-0.95,0,1,0,Buffalo (East) Toledo (West) Western Michigan (West),Western Michigan
Summit League,2013-2014,8,131,125,0.512,-2.92,-1.74,0,1,0,North Dakota State,North Dakota State
Conference USA,2013-2014,16,280,248,0.530,-1.15,-0.84,0,1,0,Louisiana Tech Middle Tennessee Tulsa,Tulsa
Patriot League,2013-2014,10,153,164,0.483,-4.58,-3.67,0,1,0,Boston University,American
Big West Conference,2013-2014,9,140,150,0.483,-1.90,-0.73,0,1,0,UC Irvine,Cal Poly
Ivy League,2013-2014,8,125,117,0.517,-1.77,-1.67,0,1,0,Harvard,
Colonial Athletic Association,2013-2014,9,141,152,0.481,-2.78,-1.53,0,1,0,Delaware,Delaware
Missouri Valley Conference,2013-2014,10,177,152,0.538,1.53,0.98,0,1,0,Wichita State,Wichita State
America East Conference,2013-2014,9,119,162,0.423,-9.19,-5.59,0,1,0,Vermont,Albany (NY)
Mountain West Conference,2013-2014,11,206,160,0.563,4.64,3.26,0,2,0,San Diego State,New Mexico
Northeast Conference,2013-2014,10,138,178,0.437,-8.67,-5.31,0,1,0,Robert Morris,Mount St. Mary's
Western Athletic Conference,2013-2014,9,135,153,0.469,-5.77,-3.41,0,1,0,Utah Valley,New Mexico State
Big Sky Conference,2013-2014,11,159,182,0.466,-7.38,-4.79,0,1,0,Weber State,Weber State
Sun Belt Conference,2013-2014,10,157,160,0.495,-2.75,-1.41,0,1,0,Georgia State,Louisiana
Atlantic Sun Conference,2013-2014,10,152,172,0.469,-7.47,-4.72,0,1,0,Florida Gulf Coast Mercer,Mercer
Ohio Valley Conference,2013-2014,12,185,201,0.479,-6.54,-4.28,0,1,0,Belmont (East) Murray State (West),Eastern Kentucky
Independent,2013-2014,1,13,16,0.448,-12.52,-7.48,0,0,0,,
Southwest Athletic Conference,2013-2014,10,132,184,0.418,-14.47,-9.03,0,1,0,Southern,Texas Southern
Big South Conference,2013-2014,12,186,206,0.474,-9.84,-6.56,0,1,0,High Point (North) Coastal Carolina (South),Coastal Carolina
Southern Conference,2013-2014,11,162,195,0.454,-10.38,-6.54,0,1,0,Davidson,Wofford
Mid-Eastern Athletic Conference,2013-2014,13,167,246,0.404,-11.13,-6.53,0,1,0,North Carolina Central,North Carolina Central
Southland Conference,2013-2014,14,206,226,0.477,-10.37,-6.20,0,1,0,Stephen F. Austin,Stephen F. Austin
