Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big East Conference,2017-2018,10,213,128,0.625,14.22,9.28,0,6,1,Xavier,Villanova
Pac-12 Conference,2017-2018,12,231,172,0.573,8.61,6.15,1,3,0,Arizona,Arizona
Big 12 Conference,2017-2018,10,220,130,0.629,15.16,9.83,0,7,1,Kansas,Kansas
Southeastern Conference,2017-2018,14,286,193,0.597,13.00,9.34,0,8,0,Auburn Tennessee,Kentucky
Atlantic 10 Conference,2017-2018,14,232,224,0.509,2.26,1.99,0,3,0,Rhode Island,Davidson
Atlantic Coast Conference,2017-2018,15,315,200,0.612,13.38,8.51,0,9,0,Virginia,Virginia
Big Ten Conference,2017-2018,14,289,189,0.605,13.01,7.99,0,4,1,Michigan State,Michigan
West Coast Conference,2017-2018,10,180,159,0.531,1.83,1.43,0,1,0,Gonzaga,Gonzaga
Conference USA,2017-2018,14,245,221,0.526,0.22,0.20,0,1,0,Middle Tennessee,Marshall
American Athletic Conference,2017-2018,12,224,168,0.571,5.58,3.41,0,3,0,Cincinnati,Cincinnati
Missouri Valley Conference,2017-2018,10,186,145,0.562,2.43,1.61,0,1,1,Loyola (IL),Loyola (IL)
Atlantic Sun Conference,2017-2018,8,118,140,0.457,-9.15,-4.72,0,1,0,Florida Gulf Coast,Lipscomb
Colonial Athletic Association,2017-2018,10,167,156,0.517,-3.06,-2.14,0,1,0,College of Charleston Northeastern,College of Charleston
Metro Atlantic Athletic Conference,2017-2018,11,164,191,0.462,-4.80,-3.48,0,1,0,Canisius Rider,Iona
America East Conference,2017-2018,9,145,147,0.497,-5.62,-4.40,0,1,0,Vermont,Maryland-Baltimore County
Big Sky Conference,2017-2018,12,198,195,0.504,-3.55,-2.00,0,1,0,Montana,Montana
Ohio Valley Conference,2017-2018,12,190,191,0.499,-5.25,-3.54,0,1,0,Murray State,Murray State
Mountain West Conference,2017-2018,11,198,163,0.548,4.43,3.05,0,2,0,Nevada,San Diego State
Sun Belt Conference,2017-2018,12,201,194,0.509,-2.96,-2.68,0,1,0,Louisiana,Georgia State
Summit League,2017-2018,8,134,122,0.523,-2.89,-1.41,0,1,0,South Dakota State,South Dakota State
Big South Conference,2017-2018,10,164,166,0.497,-7.38,-5.26,0,1,0,UNC Asheville,Radford
Western Athletic Conference,2017-2018,8,133,130,0.506,-3.81,-1.77,0,1,0,New Mexico State,New Mexico State
Mid-American Conference,2017-2018,12,219,181,0.548,-2.01,-1.88,0,1,0,Buffalo (East) Toledo (West),Buffalo
Ivy League,2017-2018,8,109,125,0.466,-4.65,-3.07,0,1,0,Harvard Pennsylvania,Pennsylvania
Southland Conference,2017-2018,13,201,215,0.483,-9.29,-5.77,0,1,0,Nicholls State Southeastern Louisiana,Stephen F. Austin
Horizon League,2017-2018,10,154,177,0.465,-5.88,-3.58,0,1,0,Northern Kentucky,Wright State
Southern Conference,2017-2018,10,168,161,0.511,-5.23,-3.38,0,1,0,UNC Greensboro,UNC Greensboro
Big West Conference,2017-2018,9,139,148,0.484,-4.20,-1.68,0,1,0,UC Davis,Cal State Fullerton
Mid-Eastern Athletic Conference,2017-2018,13,162,265,0.379,-16.74,-9.52,0,1,0,Bethune-Cookman Hampton Savannah State,North Carolina Central
Patriot League,2017-2018,10,145,169,0.462,-7.77,-5.83,0,1,0,Bucknell,Bucknell
Northeast Conference,2017-2018,10,146,174,0.456,-9.84,-6.89,0,1,0,Wagner,Long Island University
Southwest Athletic Conference,2017-2018,10,116,211,0.355,-15.97,-8.63,0,1,0,Grambling,Texas Southern
