Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big Ten Conference,2001-2002,11,197,153,0.563,10.93,8.37,1,5,1,Illinois Indiana Ohio State Wisconsin,Ohio State
Southeastern Conference,2001-2002,12,239,148,0.618,13.72,8.64,1,6,0,Alabama (West),Mississippi State
Pacific-10 Conference,2001-2002,10,179,131,0.577,11.15,8.67,1,6,0,Oregon,Arizona
West Coast Conference,2001-2002,8,117,120,0.494,0.39,1.10,1,2,0,Gonzaga Pepperdine,Gonzaga
Atlantic 10 Conference,2001-2002,12,189,179,0.514,3.56,3.95,0,1,0,Saint Joseph's (East) Temple (East) Xavier (West),Xavier
Horizon League,2001-2002,9,140,130,0.519,0.14,-0.17,0,1,0,Butler,Illinois-Chicago
Big East Conference,2001-2002,14,266,178,0.599,9.25,5.42,0,6,0,Connecticut (East) Pittsburgh (West),Connecticut
Big 12 Conference,2001-2002,12,232,153,0.603,10.39,6.88,0,6,2,Kansas,Oklahoma
Conference USA,2001-2002,14,247,190,0.565,8.12,5.62,0,3,0,Cincinnati (American) Memphis (National),Cincinnati
Atlantic Coast Conference,2001-2002,9,172,114,0.601,12.99,8.71,0,4,1,Maryland,Duke
Sun Belt Conference,2001-2002,11,170,158,0.518,-0.75,-0.74,0,1,0,Western Kentucky (East) Louisiana (West) New Mexico State (West),Western Kentucky
Mountain West Conference,2001-2002,8,140,104,0.574,6.56,4.44,0,3,0,Wyoming,San Diego State
Northeast Conference,2001-2002,12,154,193,0.444,-12.35,-9.26,0,1,0,Central Connecticut State,Central Connecticut State
Big West Conference,2001-2002,10,146,144,0.503,-1.78,-0.63,0,1,0,UC Irvine Utah State,UC Santa Barbara
Colonial Athletic Association,2001-2002,10,151,149,0.503,-2.61,-1.98,0,1,0,UNC Wilmington,UNC Wilmington
Western Athletic Conference,2001-2002,10,170,145,0.540,3.15,2.47,0,2,0,Hawaii Tulsa,Hawaii
Big Sky Conference,2001-2002,8,116,115,0.502,-5.15,-2.55,0,1,0,Montana State,Montana
Ivy League,2001-2002,8,118,109,0.520,-4.39,-3.90,0,1,0,Pennsylvania Princeton Yale,
Missouri Valley Conference,2001-2002,10,150,154,0.493,0.26,0.82,0,2,0,Creighton Southern Illinois,Creighton
Ohio Valley Conference,2001-2002,9,132,138,0.489,-5.63,-2.39,0,1,0,Tennessee Tech,Murray State
Mid-American Conference,2001-2002,13,204,196,0.510,0.29,0.91,0,1,0,Kent State (East) Ball State (West),Kent State
Patriot League,2001-2002,8,108,127,0.460,-8.15,-6.39,0,1,0,American,Holy Cross
Independent,2001-2002,3,39,47,0.453,-11.23,-1.85,0,0,0,,
Atlantic Sun Conference,2001-2002,11,155,162,0.489,-6.81,-4.83,0,1,0,Georgia State Troy,Florida Atlantic
Southern Conference,2001-2002,12,189,162,0.538,-1.79,-1.01,0,1,0,Davidson (North) East Tennessee State (North) UNC Greensboro (North) Chattanooga (South) College of Charleston (South) Georgia Southern (South),Davidson
Metro Atlantic Athletic Conference,2001-2002,10,135,163,0.453,-5.68,-4.86,0,1,0,Marist Rider,Siena
Southland Conference,2001-2002,11,148,168,0.468,-9.23,-6.45,0,1,0,McNeese State,McNeese State
Southwest Athletic Conference,2001-2002,10,119,171,0.410,-18.07,-12.14,0,1,0,Alcorn State,Alcorn State
Big South Conference,2001-2002,8,96,140,0.407,-12.63,-6.83,0,1,0,UNC Asheville Winthrop,Winthrop
Mid-Eastern Athletic Conference,2001-2002,11,137,189,0.420,-12.55,-8.20,0,1,0,Hampton,Hampton
America East Conference,2001-2002,9,110,153,0.418,-12.26,-8.70,0,1,0,Boston University Vermont,Boston University
Mid-Continent Conference,2001-2002,8,117,119,0.496,-2.79,-1.40,0,1,0,Valparaiso,Valparaiso
