Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2023-2024,12,226,181,0.555,10.88,8.54,1,4,0,Arizona,Oregon
Southeastern Conference,2023-2024,14,284,197,0.590,12.15,8.38,1,8,1,Tennessee,Auburn
Big Ten Conference,2023-2024,14,284,199,0.588,12.98,9.15,1,6,1,Purdue,Illinois
Big 12 Conference,2023-2024,14,295,184,0.616,15.09,9.12,1,8,0,Houston,Iowa State
West Coast Conference,2023-2024,9,157,141,0.527,1.80,1.35,1,2,0,Saint Mary's (CA),Saint Mary's (CA)
Big East Conference,2023-2024,11,219,163,0.573,12.82,9.58,0,3,1,Connecticut,Connecticut
Atlantic Coast Conference,2023-2024,15,298,218,0.578,11.35,8.31,0,5,1,North Carolina,NC State
Sun Belt Conference,2023-2024,14,230,231,0.499,-3.41,-2.42,0,1,0,Appalachian State,James Madison
American Athletic Conference,2023-2024,14,251,210,0.544,3.68,2.28,0,2,0,South Florida,UAB
Atlantic 10 Conference,2023-2024,15,285,215,0.570,4.52,2.55,0,2,0,Loyola (IL) Richmond,Duquesne
Missouri Valley Conference,2023-2024,12,221,183,0.547,2.59,1.51,0,1,0,Indiana State,Drake
Mid-American Conference,2023-2024,12,189,199,0.487,-5.68,-3.62,0,1,0,Toledo,Akron
Southern Conference,2023-2024,10,177,152,0.538,-3.08,-2.75,0,1,0,Samford,Samford
Big Sky Conference,2023-2024,10,167,166,0.502,-6.17,-4.36,0,1,0,Eastern Washington,Montana State
Ohio Valley Conference,2023-2024,11,174,183,0.487,-10.29,-6.88,0,1,0,Little Rock Morehead State Tennessee-Martin,Morehead State
Horizon League,2023-2024,11,181,187,0.492,-5.78,-4.03,0,1,0,Oakland,Oakland
Ivy League,2023-2024,8,126,107,0.541,-2.02,-1.42,0,1,0,Princeton,Yale
Western Athletic Conference,2023-2024,11,191,175,0.522,-1.60,-0.99,0,1,0,Grand Canyon,Grand Canyon
Mountain West Conference,2023-2024,11,219,154,0.587,7.08,5.21,0,6,0,Utah State,New Mexico
Atlantic Sun Conference,2023-2024,12,185,204,0.476,-7.76,-4.48,0,1,0,Eastern Kentucky,Stetson
America East Conference,2023-2024,9,147,138,0.516,-5.92,-4.69,0,1,0,Vermont,Vermont
Summit League,2023-2024,9,147,147,0.500,-6.03,-4.45,0,1,0,South Dakota State,South Dakota State
Metro Atlantic Athletic Conference,2023-2024,11,170,188,0.475,-7.71,-6.10,0,1,0,Quinnipiac,Saint Peter's
Conference USA,2023-2024,9,153,142,0.519,-2.43,-1.58,0,1,0,Sam Houston,Western Kentucky
Northeast Conference,2023-2024,9,123,160,0.435,-12.89,-8.58,0,1,0,Central Connecticut State Merrimack,Wagner
Patriot League,2023-2024,10,136,189,0.418,-10.58,-7.51,0,1,0,Colgate,Colgate
Independent,2023-2024,1,13,19,0.406,-9.34,-3.03,0,0,0,,
Coastal Athletic Association,2023-2024,14,230,230,0.500,-5.01,-3.72,0,1,0,College of Charleston,College of Charleston
Big South Conference,2023-2024,9,154,142,0.520,-4.85,-3.48,0,1,0,High Point,Longwood
Big West Conference,2023-2024,11,188,177,0.515,-2.73,-2.21,0,1,0,UC Irvine,Long Beach State
Southwest Athletic Conference,2023-2024,12,156,232,0.402,-13.45,-6.44,0,1,0,Grambling,Grambling
Southland Conference,2023-2024,10,151,173,0.466,-10.35,-6.30,0,1,0,McNeese State,McNeese State
Mid-Eastern Athletic Conference,2023-2024,8,111,145,0.434,-12.44,-7.14,0,1,0,Norfolk State,Howard
