Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2009-2010,12,260,146,0.640,13.62,8.00,1,7,0,Kansas,Kansas
Horizon League,2009-2010,10,176,152,0.537,0.29,0.93,1,1,1,Butler,Butler
West Coast Conference,2009-2010,8,135,124,0.521,1.25,2.10,1,2,0,Gonzaga,Saint Mary's (CA)
Big Ten Conference,2009-2010,11,218,155,0.584,11.38,7.92,0,5,1,Michigan State Ohio State Purdue,Ohio State
Southeastern Conference,2009-2010,12,242,160,0.602,10.71,6.47,0,4,0,Kentucky (East),Kentucky
Big East Conference,2009-2010,16,327,210,0.609,12.01,7.85,0,8,1,Syracuse,West Virginia
Atlantic Coast Conference,2009-2010,12,260,146,0.640,13.24,7.76,0,6,1,Duke Maryland,Duke
Conference USA,2009-2010,12,216,178,0.548,4.05,2.64,0,2,0,UTEP,Houston
Pacific-10 Conference,2009-2010,10,178,146,0.549,8.81,6.69,0,2,0,California,Washington
Atlantic 10 Conference,2009-2010,14,258,202,0.561,4.17,3.21,0,3,0,Temple Xavier,Temple
Missouri Valley Conference,2009-2010,10,190,139,0.578,4.12,2.46,0,1,0,Northern Iowa,Northern Iowa
Mid-American Conference,2009-2010,12,195,190,0.506,-2.25,-1.27,0,1,0,Akron (East) Kent State (East) Eastern Michigan (West),Ohio
Southern Conference,2009-2010,12,191,201,0.487,-4.63,-2.50,0,1,0,Appalachian State (North) Wofford (South),Wofford
Atlantic Sun Conference,2009-2010,9,144,141,0.505,-5.41,-2.71,0,1,0,Belmont Campbell Jacksonville Lipscomb,East Tennessee State
Western Athletic Conference,2009-2010,9,163,132,0.553,1.88,0.96,0,2,0,Utah State,New Mexico State
Ohio Valley Conference,2009-2010,10,157,163,0.491,-5.80,-3.33,0,1,0,Murray State,Murray State
Mountain West Conference,2009-2010,9,173,123,0.584,5.68,3.84,0,4,0,New Mexico,San Diego State
Metro Atlantic Athletic Conference,2009-2010,10,162,156,0.509,-2.72,-2.91,0,1,0,Siena,Siena
Colonial Athletic Association,2009-2010,12,199,195,0.505,0.23,0.42,0,1,0,Old Dominion,Old Dominion
Big West Conference,2009-2010,9,139,146,0.488,-3.89,-1.67,0,1,0,Pacific UC Santa Barbara,UC Santa Barbara
Sun Belt Conference,2009-2010,13,199,212,0.484,-5.85,-3.73,0,1,0,Middle Tennessee (East) Troy (East) North Texas (West),North Texas
Ivy League,2009-2010,8,117,123,0.488,-6.73,-4.33,0,1,0,Cornell,
Southland Conference,2009-2010,11,179,161,0.526,-6.54,-4.35,0,1,0,Stephen F. Austin (East) Sam Houston (West),Sam Houston
Patriot League,2009-2010,8,112,134,0.455,-8.90,-7.31,0,1,0,Lehigh,Lehigh
Big Sky Conference,2009-2010,9,134,140,0.489,-4.35,-2.01,0,1,0,Weber State,Montana
America East Conference,2009-2010,9,132,153,0.463,-8.18,-5.80,0,1,0,Stony Brook,Vermont
Mid-Eastern Athletic Conference,2009-2010,11,150,201,0.427,-12.07,-7.19,0,1,0,Morgan State,Morgan State
Big South Conference,2009-2010,9,142,137,0.509,-12.40,-7.59,0,1,0,Coastal Carolina,Winthrop
Northeast Conference,2009-2010,11,152,190,0.444,-11.25,-7.91,0,1,0,Quinnipiac Robert Morris,Robert Morris
Independent,2009-2010,2,23,34,0.404,-13.80,-4.75,0,0,0,,
Summit League,2009-2010,10,152,160,0.487,-8.42,-4.68,0,1,0,Oakland,Oakland
Southwest Athletic Conference,2009-2010,10,120,188,0.390,-18.01,-11.01,0,1,0,Jackson State,Arkansas-Pine Bluff
Great West Conference,2009-2010,4,37,89,0.294,-18.72,-7.39,0,0,0,South Dakota,South Dakota
